"","variable","label"
"435","risk_percp_4_w1b","How do you perceive the risk of being exposed to the COVID-19 virus while performing the following activities during the pandemic? Please answer even if you have not conducted the activity. - Walking or bicycling"
"436","risk_percp_5_w1b","How do you perceive the risk of being exposed to the COVID-19 virus while performing the following activities during the pandemic? Please answer even if you have not conducted the activity. - Taking a taxi or ride-hailing service"
"437","risk_percp_6_w1b","How do you perceive the risk of being exposed to the COVID-19 virus while performing the following activities during the pandemic? Please answer even if you have not conducted the activity. - Traveling in an airplane"
"438","att_shop_onlist_w1a","When I go to a grocery store, I usually buy only items on my list"
"439","att_shop_groconline_w1a","I would not mind shopping for groceries online"
"440","att_shop_online_nongrocery_w1a","I enjoy shopping online for other (non-grocery) items"
"441","att_shop_browse","Even if I do not end up buying anything, I still enjoy going to stores and browsing"
"442","att_shop_chore","In-person shopping is usually a chore for me"
"443","att_shop_online_w1b","I enjoy shopping online"
"444","att_wfh_team_w1a","I like to work on a team"
"445","att_wfh_family_w1a","Working at home may increase family conflicts"
"446","att_wfh_socint","I enjoy the social interaction found at a conventional workplace"
"447","att_wfh_hardmot","It is hard to get motivated to work away from the main office"
"448","att_wfh_likewfh","I like working from home"
"449","att_wfh_techfrus","Learning how to use new technologies is often frustrating"
"450","att_tech_videobusiness","Video calling is a good alternative to in-person business meetings"
"451","att_tech_videofriends","Video calling is a good alternative to visiting friends and family"
"452","att_tech_hscolonline","Online learning is a good alternative to high school- and college-level classroom instruction"
"453","att_tech_elemonline_w1a","Online learning is a good alternative to elementary-level classroom instruction"
"454","att_attr_transition_w1a","The time spent traveling to places provides a useful transition between activities"
"455","att_attr_closehome_w1a","I like to stay close to home"
"456","att_respref_aptpriv","Apartment living doesn't provide enough privacy"
"457","att_respref_walkshops","Having shops and services within walking distance of my home is important to me"
"458","att_respref_yard","I like to have a yard at home"
"459","att_lifst_oneplace_w1a","I don't like to stay in one place for long"
"460","att_lifst_dislikechange","I dislike change"
"461","att_lifst_workaholic_w1a","I'm pretty much a workaholic"
"462","att_lifst_enjoyhousehold","I enjoy spending time with the people I live with"
"463","att_lifst_transition_w1b","The time I spend traveling to places provides a useful transition between activities"
"464","att_environ_lifst","I am committed to an environmentally-friendly lifestyle"
"465","att_environ_lesspolluting","I am committed to using a less polluting means of transportation (e.g., walking, biking, and public transit) as much as possible"
"466","att_environ_myplane_w1a","Sometimes I feel guilty about the effects of my airplane trips on the environment"
"467","att_environ_plane_w1b","Sometimes I worry about the effects of airplane trips on the environment"
"468","att_socit_strangers_w1a","I feel uncomfortable around people I do not know (asked about period before COVID)"
"469","att_socit_privacy_w1a","Privacy is important to me when I travel (aked about period before COVID)"
"470","att_socit_safetransit","I felt safe on a bus or train (``I feel safe...'' in convenience sample, but still asked about period before COVID)"
"471","att_socit_outside","I liked being outside (``I like being outside'' in convenience sample, but still asked about period before COVID)"
"472","att_socit_others","I liked seeing people and having other people around me (``I like seeing people...'' in convenience sample, but still asked about period before COVID)"
"473","shdi_trap_failed_twice_w1b","shdi_trap_failed_twice"
"474","trap_att_failed_twice_w1b","att_trap_failed_twice"
"475","failed_att_and_shdi_trap_w1b","failed_att_and_shdi_trap"
"476","trap_att_wfh_correct_shdi_w1b","Please rate your agreement with the following statements: - Select ""strongly agree"" to show you are paying attention (if shopping/dining trap answered correctly)"
"477","trap_att_wfh_failed_shdi_w1b","Please rate your agreement with the following statements: - Select ""strongly agree"" to show you are paying attention (if shopping/dining trap answered incorrectly)"
"478","trap_att_wfh_correct_shdi_failed_wfh_w1b","Please make sure you are paying attention and carefully consider your responses to these questions, then answer again.Please rate your agreement with the following statements: - Select ""strongly agree"" to show you are paying attention (if shopping/dining trap answered correctly and WFH trap answered incorrectly)"
"479","enjoy_change_YN","COVID-19 has required most of us to make large changes to our daily lives. Would you like to continue any of these new ways of living after COVID-19 is no longer a threat?"
"480","enjoy_change_desc_w1a","You answered ""Yes"" or ""Maybe"" to the previous question. In the space below, please briefly describe the new ways of living you might like to continue."
"481","enjoy_change_mc_1_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Working from home, at least some of the time"
"482","enjoy_change_mc_4_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Commuting less"
"483","enjoy_change_mc_3_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Driving less"
"484","enjoy_change_mc_5_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Traveling less"
"485","enjoy_change_mc_6_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Taking more walks"
"486","enjoy_change_mc_7_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Shopping online more"
"487","enjoy_change_mc_8_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Conducting business meetings online more"
"488","enjoy_change_mc_9_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Keeping in touch with family and friends using video conferencing"
"489","enjoy_change_mc_10_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Spending more time with family"
"490","enjoy_change_mc_11_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Cooking at home more often"
"491","enjoy_change_mc_12_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Spending less money"
"492","enjoy_change_mc_13_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - A slower pace of life"
"493","enjoy_change_mc_14_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - More focus on cleanliness"
"494","enjoy_change_mc_15_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Selected Choice - Other, please specify"
"495","enjoy_change_mc_15_TEXT_w1b","You answered ""[QID173-ChoiceGroup-SelectedChoices]"" to the previous question. Which of the following experiences have you had during the pandemic and would most like to continue after COVID-19 is no longer a threat? Select up to three. - Other, please specify - Text"
"496","negative_impact_w1b","How were you most negatively affected by the pandemic?"
"497","hhveh_harm","Household vehicles, harmonized"
"498","hhveh_w1a","How many motorized vehicles are available in your household?"
"499","hhveh_w1b","How many vehicles are available in your household?"
"500","veh_purchase_w1b","Has anyone in your household acquired a vehicle since the beginning of the pandemic?"
"501","veh_pur_why_1_w1b","Why? Please select all that apply. - Selected Choice - We feel safer in a private vehicle now"
"502","veh_pur_why_6_w1b","Why? Please select all that apply. - Selected Choice - We replaced a vehicle"
"503","veh_pur_why_2_w1b","Why? Please select all that apply. - Selected Choice - We moved and needed another vehicle"
"504","veh_pur_why_3_w1b","Why? Please select all that apply. - Selected Choice - Someone changed jobs and now needs a vehicle"
"505","veh_pur_why_4_w1b","Why? Please select all that apply. - Selected Choice - We got a good deal on a vehicle"
"506","veh_pur_why_5_w1b","Why? Please select all that apply. - Selected Choice - Other, please specify:"
"507","veh_pur_why_5_TEXT_w1b","Why? Please select all that apply. - Other, please specify: - Text"
"508","veh_sold_w1b","Has anyone in your household sold or donated a vehicle since the beginning of the pandemic?"
"509","veh_sold_why_1_w1b","Why? Please select all that apply. - Selected Choice - We replaced a vehicle"
"510","veh_sold_why_2_w1b","Why? Please select all that apply. - Selected Choice - Financial reasons"
"511","veh_sold_why_3_w1b","Why? Please select all that apply. - Selected Choice - Environmental reasons"
"512","veh_sold_why_4_w1b","Why? Please select all that apply. - Selected Choice - No longer needed the vehicle for a job or commute"
"513","veh_sold_why_5_w1b","Why? Please select all that apply. - Selected Choice - The vehicle was in a crash or broke down"
"514","veh_sold_why_6_w1b","Why? Please select all that apply. - Selected Choice - Other, please specify:"
"515","veh_sold_why_6_TEXT_w1b","Why? Please select all that apply. - Other, please specify: - Text"
"516","yrborn","In what year were you born?"
"517","yrborn_miss_desc","Reason for missing values in yrborn"
"518","age","Age, derived"
"519","gender","What is your gender?"
"520","ZIP_now","What is the ZIP code for your (current) home address?"
"521","city_now","Since the impact of COVID-19 has been different in different parts of the country, it is important for us to know where you live. Please enter the city and state where you live now."
"522","state_fip_now","State FIPS code, now, derived from ZIP code"
"523","state_abbr_now","State abbreviation, now, derived from ZIP code"
"524","cbsa_code_now","Core-based statistical area ID (metropolitan or micropolitan), derived from ZIP code"
"525","cbsa_name_now","Core-based statistical area name (metropolitan or micropolitan), derived from ZIP code"
"526","tenure_harm","Tenure"
"527","tenure_TEXT_harm","Tenure - Other - Text response"
"528","tenure_w1a","Do you rent or own your home? - Selected Choice"
"529","tenure_5_TEXT_w1a","Do you rent or own your home? - Other, please explain: - Text"
"530","tenure_w1b","Do you rent or own your home? - Selected Choice"
"531","tenure_5_TEXT_w1b","Do you rent or own your home? - Other, please explain: - Text"
"532","housingunit","Which best describes your home? - Selected Choice"
"533","housingunit_7_TEXT","Which best describes your home? - Other, please explain: - Text"
"534","bedrooms","How many bedrooms are in your home?"
"535","bedrooms_miss_desc","Reason for missing values in bedrooms"
"536","patyrd","Do you have a private yard or patio at your home?"
"537","internet_con_w1a","What type of internet service do you have at your home?"
"538","internet_change_w1a","Have you changed or started new internet service since the start of the COVID-19 pandemic?"
"539","devices_w1a","How many devices do you have in your home that can browse the web (e.g., computer, laptop, tablet, smartphone)?"
"540","devices_w1a_miss_desc","Reason for missing values in devices_w1a"
"541","internet_con_w1b","Do you have high speed internet service at your home now?"
"542","mob_internet_w1b","Do you have access to the internet through a mobile device?"
"543","devices_22_w1b","Which of the following devices do you have access to at your home? Please select all that apply. - Computer (desktop or laptop)"
"544","devices_23_w1b","Which of the following devices do you have access to at your home? Please select all that apply. - Tablet"
"545","devices_24_w1b","Which of the following devices do you have access to at your home? Please select all that apply. - Smartphone"
"546","connect_change_1_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I purchased a laptop and/or desktop computer"
"547","connect_change_2_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I purchased a new smartphone"
"548","connect_change_3_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I purchased a new tablet and/or similar device"
"549","connect_change_9_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I sold/got rid of a device"
"550","connect_change_5_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I purchased or upgraded my home internet service/router/Wi-Fi subscription"
"551","connect_change_13_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I downgraded or cancelled my home internet service/router/Wi-Fi subscription"
"552","connect_change_6_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I purchased or upgraded my cell phone plan and/or smartphone data plan"
"553","connect_change_7_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I downgraded or cancelled my cell phone plan and/or smartphone data plan"
"554","connect_change_8_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I purchased items to improve my home workspace (e.g. printer, desk, external monitor)"
"555","connect_change_10_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - I made other changes. Please specify:"
"556","connect_change_11_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - Selected Choice - No, I kept the same devices and/or services (if any) as before"
"557","connect_change_10_TEXT_w1b","Did you do any of the following as a result of the COVID-19 pandemic? Please check ALL that apply. - I made other changes. Please specify: - Text"
"558","devices_suff_w1b","Do you have enough internet-connected devices in your home for all the people who want to use them?"
"559","home_move","Have you moved since the COVID-19 pandemic began, even temporarily or to a second home? (even temporarily or to a second home not included in convenience sample)"
"560","home_move_exp_w1a","Do you expect that your household will be able to stay in your home during the COVID-19 pandemic?"
"561","home_move_exp_w1b","Do you expect that your household will continue to live in your home during the COVID-19 pandemic?"
"562","home_move_why_1_w1b","Why did you move? Please select all that apply. - Selected Choice - Financial reasons"
"563","home_move_why_2_w1b","Why did you move? Please select all that apply. - Selected Choice - I was already planning to move"
"564","home_move_why_3_w1b","Why did you move? Please select all that apply. - Selected Choice - I did not feel safe sharing the house with others"
"565","home_move_why_4_w1b","Why did you move? Please select all that apply. - Selected Choice - I did not feel safe in my building or neighborhood due to the virus"
"566","home_move_why_5_w1b","Why did you move? Please select all that apply. - Selected Choice - I do not need to commute"
"567","home_move_why_8_w1b","Why did you move? Please select all that apply. - Selected Choice - Moved to a more comfortable home"
"568","home_move_why_9_w1b","Why did you move? Please select all that apply. - Selected Choice - Moved to care for family"
"569","home_move_why_7_w1b","Why did you move? Please select all that apply. - Selected Choice - Other, please specify:"
"570","home_move_why_7_TEXT_w1b","Why did you move? Please select all that apply. - Other, please specify: - Text"
"571","ZIP_pre","What was the ZIP code of your home before the COVID-19 pandemic began?"
"572","ZIP_pre_na_1","OR - I lived outside of the U.S. before COVID-19"
"573","city_pre","Since the impact of COVID-19 has been different in different areas, it is important for us to know where you lived when the COVID-19 pandemic began. Please enter the city and state or city and country where you lived when the COVID-19 pandemic began."
"574","state_fip_pre","State FIPS code, pre-pandemic, derived from ZIP code (only asked of movers)"
"575","state_abbr_pre","State abbreviation, pre-pandemic, derived from ZIP code (only asked of movers)"
"576","cbsa_code_pre","Core-based statistical area ID (metropolitan or micropolitan) before the pandemic, derived from ZIP code (only for movers)"
"577","cbsa_name_pre","Core-based statistical area name (metropolitan or micropolitan) before the pandemic, derived from ZIP code (only for movers)"
"578","hispanic","Do you consider yourself Hispanic or Latino/a?"
"579","race_1","Which of the following categories do you identify with? Please select all that apply. - Selected Choice - White/Caucasian"
"580","race_2","Which of the following categories do you identify with? Please select all that apply. - Selected Choice - Black/African American"
"581","race_3","Which of the following categories do you identify with? Please select all that apply. - Selected Choice - American Indian and Alaska Native"
"582","race_4","Which of the following categories do you identify with? Please select all that apply. - Selected Choice - Asian"
"583","race_5","Which of the following categories do you identify with? Please select all that apply. - Selected Choice - Native Hawaiian or Other Pacific Islander"
"584","race_6","Which of the following categories do you identify with? Please select all that apply. - Selected Choice - Some other race. Please specify:"
"585","race_7","Which of the following categories do you identify with? Please select all that apply. - Selected Choice - Prefer not to answer"
"586","race_6_TEXT","Which of the following categories do you identify with? Please select all that apply. - Some other race. Please specify: - Text"
"587","educ","What is your educational background? Check the highest level of education you have attained."
"588","hhsize","hhsize"
"589","hhsize_miss_desc","Reason for missing values in hhsize"
"590","hhcomp_1_w1b","Who lives with you? Please select all that apply. - I live alone"
"591","hhcomp_4_w1b","Who lives with you? Please select all that apply. - Significant other"
"592","hhcomp_5_w1b","Who lives with you? Please select all that apply. - Children 17 and younger"
"593","hhcomp_6_w1b","Who lives with you? Please select all that apply. - My parent(s), and/or my partner’s parent(s)"
"594","hhcomp_7_w1b","Who lives with you? Please select all that apply. - Other relative"
"595","hhcomp_8_w1b","Who lives with you? Please select all that apply. - Unrelated housemates"
"596","hhcomp_9_w1b","Who lives with you? Please select all that apply. - Other adult"
"597","hhchild_w1b","You reported previously to live with children 17 and younger, however, you indicated in this page to live with 0 children. Please revise your answers, or if you wish to not indicate the children's age, please indicate here the number of children present in your household:"
"598","hhchild_w1b_miss_desc","Reason for missing values in hhchild_w1b"
"599","nadults","Including yourself, how many adults (18 and above) live in your household now?Note: By “household” we mean “people who live together and share at least some financial resources”. Unrelated housemates/roommates are usually not considered members of the same household even if they live in the same housing unit. (not asked of people who reported living alone in NSF sample)"
"600","nadults_miss_desc","Reason for missing values in nadults"
"601","hhadults_1_1_1","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 2 - Employed"
"602","hhadults_1_1_2","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 2 - Student"
"603","hhadults_1_1_3","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 2 - Neither worker or student"
"604","hhadults_1_2_1","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 3 - Employed"
"605","hhadults_1_2_2","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 3 - Student"
"606","hhadults_1_2_3","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 3 - Neither worker or student"
"607","hhadults_1_3_1","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 4 - Employed"
"608","hhadults_1_3_2","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 4 - Student"
"609","hhadults_1_3_3","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 4 - Neither worker or student"
"610","hhadults_1_4_1","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 5 - Employed"
"611","hhadults_1_4_2","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 5 - Student"
"612","hhadults_1_4_3","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 5 - Neither worker or student"
"613","hhadults_1_5_1","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 6 - Employed"
"614","hhadults_1_5_2","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 6 - Student"
"615","hhadults_1_5_3","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 6 - Neither worker or student"
"616","hhadults_1_6_1","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 7 - Employed"
"617","hhadults_1_6_2","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 7 - Student"
"618","hhadults_1_6_3","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 7 - Neither worker or student"
"619","hhadults_1_7_1","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 8 - Employed"
"620","hhadults_1_7_2","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 8 - Student"
"621","hhadults_1_7_3","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 8 - Neither worker or student"
"622","hhadults_1_8_1","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 9 - Employed"
"623","hhadults_1_8_2","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 9 - Student"
"624","hhadults_1_8_3","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 9 - Neither worker or student"
"625","hhadults_1_9_1","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 10 - Employed"
"626","hhadults_1_9_2","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 10 - Student"
"627","hhadults_1_9_3","Please check the appropriate description for the additional adults in your household. - Occupation before COVID-19 - Adult 10 - Neither worker or student"
"628","hhadults_2_1_1","Please check the appropriate description for the additional adults in your household. - Age - Adult 2 - 65 or older"
"629","hhadults_2_2_1","Please check the appropriate description for the additional adults in your household. - Age - Adult 3 - 65 or older"
"630","hhadults_2_3_1","Please check the appropriate description for the additional adults in your household. - Age - Adult 4 - 65 or older"
"631","hhadults_2_4_1","Please check the appropriate description for the additional adults in your household. - Age - Adult 5 - 65 or older"
"632","hhadults_2_5_1","Please check the appropriate description for the additional adults in your household. - Age - Adult 6 - 65 or older"
"633","hhadults_2_6_1","Please check the appropriate description for the additional adults in your household. - Age - Adult 7 - 65 or older"
"634","hhadults_2_7_1","Please check the appropriate description for the additional adults in your household. - Age - Adult 8 - 65 or older"
"635","hhadults_2_8_1","Please check the appropriate description for the additional adults in your household. - Age - Adult 9 - 65 or older"
"636","hhadults_2_9_1","Please check the appropriate description for the additional adults in your household. - Age - Adult 10 - 65 or older"
"637","hhchildren0_4","How many children under 5 live in your household? (not asked of people who did not report living with children in NSF sample)"
"638","hhchildren0_4_miss_desc","Reason for missing values in hhchildren0_4"
"639","hhchildren5_12","How many children aged 5-12 live in your household? (not asked of people who did not report living with children in NSF sample)"
"640","hhchildren5_12_miss_desc","Reason for missing values in hhchildren5_12"
"641","hhchildren13_17","How many children aged 13-17 live in your household? (not asked of people who did not report living with children in NSF sample)"
"642","hhchildren13_17_miss_desc","Reason for missing values in hhchildren13_17"
"643","nchildren","Number of children in household"
"644","nchildren_miss_desc","Reason for missing values in nchildren"
"645","hhincome","What was your 2019 household income? Include income from all household members that you share financial resources with. (specified as before taxes in NSF sample)"
"646","income_impact","How would a $400 emergency expense that you had to pay impact your ability to pay your other bills this month?"
"647","income_change","How has your household income changed since COVID-19 began?"
"648","roommates_w1a","Do you have roommates/housemates that you did not include in your answers above?"
"649","roommates_number_w1a","How many roommates/housemates do you have?"
"650","roommates_number_w1a_miss_desc","Reason for missing values in roommates_number_w1a"
"651","disability_1_w1b","Do you have any of the following difficulties? Please select all that apply. - Hearing difficulty - Deaf or have serious difficulty hearing"
"652","disability_4_w1b","Do you have any of the following difficulties? Please select all that apply. - Vision difficulty - Blind or have serious difficulty seeing, even when wearing glasses"
"653","disability_5_w1b","Do you have any of the following difficulties? Please select all that apply. - Cognitive difficulty - Difficulty remembering, concentrating, or making decisions"
"654","disability_6_w1b","Do you have any of the following difficulties? Please select all that apply. - Physical difficulty - Difficulty walking, using arms or hands, limited stamina"
"655","disability_7_w1b","Do you have any of the following difficulties? Please select all that apply. - None of above"
"656","disability_8_w1b","Do you have any of the following difficulties? Please select all that apply. - I prefer not to answer"
"657","dif_errand_w1b","Do you have difficulty running errands, like grocery shopping at a store, alone?"
"658","dif_errand_acomp_1_w1b","Who usually accompanies you when you run errands? Select all that apply. - Selected Choice - A friend or family member"
"659","dif_errand_acomp_4_w1b","Who usually accompanies you when you run errands? Select all that apply. - Selected Choice - A nurse/caregiver/attendant"
"660","dif_errand_acomp_5_w1b","Who usually accompanies you when you run errands? Select all that apply. - Selected Choice - A volunteer"
"661","dif_errand_acomp_9_w1b","Who usually accompanies you when you run errands? Select all that apply. - Selected Choice - No one"
"662","dif_errand_acomp_7_w1b","Who usually accompanies you when you run errands? Select all that apply. - Selected Choice - I have someone else run errands for me"
"663","dif_errand_acomp_6_w1b","Who usually accompanies you when you run errands? Select all that apply. - Selected Choice - Other, please specify:"
"664","dif_errand_acomp_6_TEXT_w1b","Who usually accompanies you when you run errands? Select all that apply. - Other, please specify: - Text"
"665","dif_travel_w1b","Do you have difficulty traveling by yourself to the places you need to go?"
"666","dif_travel_acomp_1_w1b","Who usually accompanies you when you travel to the places you need to go? Select all that apply. - Selected Choice - A friend or family member"
"667","dif_travel_acomp_4_w1b","Who usually accompanies you when you travel to the places you need to go? Select all that apply. - Selected Choice - A nurse/caregiver/attendant"
"668","dif_travel_acomp_5_w1b","Who usually accompanies you when you travel to the places you need to go? Select all that apply. - Selected Choice - A volunteer"
"669","dif_travel_acomp_7_w1b","Who usually accompanies you when you travel to the places you need to go? Select all that apply. - Selected Choice - No one"
"670","dif_travel_acomp_8_w1b","Who usually accompanies you when you travel to the places you need to go? Select all that apply. - Selected Choice - I do not travel"
"671","dif_travel_acomp_6_w1b","Who usually accompanies you when you travel to the places you need to go? Select all that apply. - Selected Choice - Other, please specify:"
"672","dif_travel_acomp_6_TEXT_w1b","Who usually accompanies you when you travel to the places you need to go? Select all that apply. - Other, please specify: - Text"
"673","dis_device_1_w1b","Do you typically use any of the following aids/devices when traveling outside the home? Please select all that apply. - Manual wheelchair"
"674","dis_device_4_w1b","Do you typically use any of the following aids/devices when traveling outside the home? Please select all that apply. - Motorized wheelchair/scooter"
"675","dis_device_5_w1b","Do you typically use any of the following aids/devices when traveling outside the home? Please select all that apply. - Support cane/walker/crutches/walking stick"
"676","dis_device_6_w1b","Do you typically use any of the following aids/devices when traveling outside the home? Please select all that apply. - A hearing device (e.g., hearing aids, cochlear implant)"
"677","dis_device_7_w1b","Do you typically use any of the following aids/devices when traveling outside the home? Please select all that apply. - A communication device (e.g., an AAC device, a smartphone)"
"678","dis_device_8_w1b","Do you typically use any of the following aids/devices when traveling outside the home? Please select all that apply. - White cane"
"679","dis_device_9_w1b","Do you typically use any of the following aids/devices when traveling outside the home? Please select all that apply. - Service animal"
"680","dis_device_10_w1b","Do you typically use any of the following aids/devices when traveling outside the home? Please select all that apply. - None"
"681","soc_net_1_harm","For each situation, please choose who you would turn to first for help - Help you with a household or a garden job that you can’t do yourself (help you for in convenience sample)"
"682","soc_net_2_harm","For each situation, please choose who you would turn to first for help - Help you around the house if you were sick and had to stay in bed for a few days"
"683","soc_net_3_harm","For each situation, please choose who you would turn to first for help - Be there if you felt a bit down or depressed and wanted to talk about it"
"684","soc_net_4_harm","For each situation, please choose who you would turn to first for help - Give you advice on family problems"
"685","soc_net_5_harm","For each situation, please choose who you would turn to first for help - Help you if you needed to borrow a large sum of money"
"686","soc_net_6_harm","For each situation, please choose who you would turn to first for help - Help you with finding a job"
"687","soc_net_7_harm","For each situation, please choose who you would turn to first for help - Help you with finding a new place to live"
"688","soc_net_8_harm","For each situation, please choose who you would turn to first for help - Look after you if you were seriously ill"
"689","soc_net_5_w1a","For each situation, please choose who you would turn to first for help - Help you if you had problems with your computer that you cannot solve yourself"
"690","soc_net_7_w1a","For each situation, please choose who you would turn to first for help - Help you look for information about a serious personal health issue"
"691","soc_net_8_w1a","For each situation, please choose who you would turn to first for help - Help you if you needed advice on administrative formalities and on other legal matters"
"692","soc_net_11_w1a","For each situation, please choose who you would turn to first for help - Make you feel appreciated for who you really are"
"693","soc_net_12_w1a","For each situation, please choose who you would turn to first for help - Be there if you just wanted to talk about your day"
"694","soc_net_14_w1a","For each situation, please choose who you would turn to first for help - Pick you up from a social event in the evening"
"695","covid_test_w1a","Have you tested positive for COVID-19?"
"696","covid_test_w1b","Have you been tested for COVID-19?"
"697","covid_test_negative","Even though you have not tested positive, do you believe that you have had COVID-19?"
"698","covid_hh","Has anyone who lives with you tested positive for COVID-19?"
"699","covid_hh_test_neg","Does anyone who lives with you believe they have had COVID-19, even though they have not tested positive?"
"700","cumulative_cases_per_100k","Cumulative COVID-19 cases per 100,000 in county of residence, as of day prior to survey start date"
"701","cumulative_deaths_per_100k","Cumulative COVID-19 deaths per 100,000 in county of residence, as of day prior to survey start date"
"702","cases_14_day_avg_per_100k","Daily new COVID-19 cases per 100,000 in county of residence, as of day prior to survey start date (14 day moving average)"
"703","deaths_14_day_avg_per_100k","Daily new COVID-19 cases per 100,000 in county of residence, as of day prior to survey start date (14 day moving average)"
"704","popdens_sqkm","Population density, persons/sq. km., derived"
