Study ID,PTSDpubs ID,"Author, Year",Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Adjusted Variables in Statistical Analysis,Method for Handling Missing Data,Statistical Analysis,Arms Compared,Assessment Point,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,EPC Calculated: Comparison Standardized Effect Size,EPC Calculated: Comparison Standardized Effect Size Standard Error,EPC Calculated: Comparison Standardized Effect Size 95% CI Lower Bound,EPC Calculated: Comparison Standardized Effect Size 95% CI Upper Bound,EPC Calculated: Comparison  Standardized Effect Size Data Source,Score Difference 1 Detail,Comparison Score Difference 1 Adjusted Indicator,Score Difference 1,Comparison Score Difference 1 Calculated Indicator,Score Difference 1 Standard Deviation,Comparison Score Difference 1 SE Calculated Indicator,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Comparison Score Difference 1 p value,Score Difference 2 Detail,Comparison Score Difference 2 Adjusted Indicator,Score Difference 2,Comparison Score Difference 2 Calculated Indicator,Score Difference 2 Standard Deviation,Comparison Score Difference 2 SE Calculated Indicator,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Comparison Score Difference 2 p value,unique_row_identifier,Citation,Study Publication Year,Study Class,Overall ROB Assessment (Study Level),Military Status (Study Level),Race/Ethnicity Reported (Study Level),Trauma Type (Study Level),Trauma Detail (Study Level),Total N Randomized (Study Level),Treatment Focus (Study Level)
martenyi2007,29532,"Martenyi, 2007",Self report,DTS,DTS,ITT,Investigator,LOCF,"ANOVA for CAPS score change, Fisher exact test for response, ITT analysis using subjects with baseline and at least 1 postbaseline measurement",A vs B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martenyi2007_Self report_DTS_ITT_A vs B_0,"Martenyi F, Brown EB, Caldwell CD. Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: results of a fixed-dose, placebo-controlled study. J Clin Psychopharmacol. 2007;27(2):166-70. doi: 10.1097/JCP.0b013e31803308ce. PMID: 17414240.",2007,Pharmacotherapy,High,,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",411,PTSD
martenyi2007,29532,"Martenyi, 2007",Self report,DTS,DTS,ITT,Investigator,LOCF,"ANOVA for CAPS score change, Fisher exact test for response, ITT analysis using subjects with baseline and at least 1 postbaseline measurement",A vs B vs C,0,,,,,,,p=0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martenyi2007_Self report_DTS_ITT_A vs B vs C_0,"Martenyi F, Brown EB, Caldwell CD. Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: results of a fixed-dose, placebo-controlled study. J Clin Psychopharmacol. 2007;27(2):166-70. doi: 10.1097/JCP.0b013e31803308ce. PMID: 17414240.",2007,Pharmacotherapy,High,,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",411,PTSD
martenyi2007,29532,"Martenyi, 2007",Self report,DTS,DTS,ITT,Investigator,LOCF,"ANOVA for CAPS score change, Fisher exact test for response, ITT analysis using subjects with baseline and at least 1 postbaseline measurement",A vs C,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martenyi2007_Self report_DTS_ITT_A vs C_0,"Martenyi F, Brown EB, Caldwell CD. Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: results of a fixed-dose, placebo-controlled study. J Clin Psychopharmacol. 2007;27(2):166-70. doi: 10.1097/JCP.0b013e31803308ce. PMID: 17414240.",2007,Pharmacotherapy,High,,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",411,PTSD
martenyi2007,29532,"Martenyi, 2007",Self report,DTS,DTS,ITT,Investigator,LOCF,"ANOVA for CAPS score change, Fisher exact test for response, ITT analysis using subjects with baseline and at least 1 postbaseline measurement",B vs C,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martenyi2007_Self report_DTS_ITT_B vs C_0,"Martenyi F, Brown EB, Caldwell CD. Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: results of a fixed-dose, placebo-controlled study. J Clin Psychopharmacol. 2007;27(2):166-70. doi: 10.1097/JCP.0b013e31803308ce. PMID: 17414240.",2007,Pharmacotherapy,High,,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",411,PTSD
martenyi2007,29532,"Martenyi, 2007",Structured Clinical Interview,TOP-8,TOP-8,ITT,Investigator,LOCF,"ANOVA for CAPS score change, Fisher exact test for response, ITT analysis using subjects with baseline and at least 1 postbaseline measurement",A vs B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martenyi2007_Structured Clinical Interview_TOP-8_ITT_A vs B_0,"Martenyi F, Brown EB, Caldwell CD. Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: results of a fixed-dose, placebo-controlled study. J Clin Psychopharmacol. 2007;27(2):166-70. doi: 10.1097/JCP.0b013e31803308ce. PMID: 17414240.",2007,Pharmacotherapy,High,,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",411,PTSD
martenyi2007,29532,"Martenyi, 2007",Structured Clinical Interview,TOP-8,TOP-8,ITT,Investigator,LOCF,"ANOVA for CAPS score change, Fisher exact test for response, ITT analysis using subjects with baseline and at least 1 postbaseline measurement",A vs B vs C,0,,,,,,,p=0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martenyi2007_Structured Clinical Interview_TOP-8_ITT_A vs B vs C_0,"Martenyi F, Brown EB, Caldwell CD. Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: results of a fixed-dose, placebo-controlled study. J Clin Psychopharmacol. 2007;27(2):166-70. doi: 10.1097/JCP.0b013e31803308ce. PMID: 17414240.",2007,Pharmacotherapy,High,,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",411,PTSD
martenyi2007,29532,"Martenyi, 2007",Structured Clinical Interview,TOP-8,TOP-8,ITT,Investigator,LOCF,"ANOVA for CAPS score change, Fisher exact test for response, ITT analysis using subjects with baseline and at least 1 postbaseline measurement",A vs C,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martenyi2007_Structured Clinical Interview_TOP-8_ITT_A vs C_0,"Martenyi F, Brown EB, Caldwell CD. Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: results of a fixed-dose, placebo-controlled study. J Clin Psychopharmacol. 2007;27(2):166-70. doi: 10.1097/JCP.0b013e31803308ce. PMID: 17414240.",2007,Pharmacotherapy,High,,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",411,PTSD
martenyi2007,29532,"Martenyi, 2007",Structured Clinical Interview,TOP-8,TOP-8,ITT,Investigator,LOCF,"ANOVA for CAPS score change, Fisher exact test for response, ITT analysis using subjects with baseline and at least 1 postbaseline measurement",B vs C,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,martenyi2007_Structured Clinical Interview_TOP-8_ITT_B vs C_0,"Martenyi F, Brown EB, Caldwell CD. Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: results of a fixed-dose, placebo-controlled study. J Clin Psychopharmacol. 2007;27(2):166-70. doi: 10.1097/JCP.0b013e31803308ce. PMID: 17414240.",2007,Pharmacotherapy,High,,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",411,PTSD
mathew2011,35587,"Mathew, 2011",Structured Clinical Interview,CAPS,CAPS,ITT,Site,LOCF,Linear mixed model for CAPS scores,A vs B,0,Group x Time interaction,,,,,,p=0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mathew2011_Structured Clinical Interview_CAPS_ITT_A vs B_0,"Mathew SJ, Vythilingam M, Murrough JW, et al. A selective neurokinin-1 receptor antagonist in chronic PTSD: a randomized, double-blind, placebo-controlled, proof-of-concept trial. Eur. Neuropsychopharmacol. 2011;21(3):221-9. doi: 10.1016/j.euroneuro.2010.11.012. PMID: 21194898.",2011,Pharmacotherapy,High,Community,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unexpected death)",47,PTSD
mathew2011,35587,"Mathew, 2011",Structured Clinical Interview,CAPS,CAPS,mITT,Site,LOCF,Linear mixed model for CAPS scores,A vs B,0,Group x Time interaction,,,,,,p=0.62,,,,,,,,,,,,,Endpoint difference; SE 7.2,,7.6,,,,-6.7,21.9,,,,,,,,,,,mathew2011_Structured Clinical Interview_CAPS_mITT_A vs B_0,"Mathew SJ, Vythilingam M, Murrough JW, et al. A selective neurokinin-1 receptor antagonist in chronic PTSD: a randomized, double-blind, placebo-controlled, proof-of-concept trial. Eur. Neuropsychopharmacol. 2011;21(3):221-9. doi: 10.1016/j.euroneuro.2010.11.012. PMID: 21194898.",2011,Pharmacotherapy,High,Community,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unexpected death)",47,PTSD
mathew2011,35587,"Mathew, 2011",Structured Clinical Interview,CAPS,CAPS,mITT (randomized patients who received ≥1 dose and had CAPS scores at baseline and week 1),Site,LOCF,Linear mixed model for CAPS scores,A vs B,0,,,,,,,,,,,,,,,-0.313,0.323,-0.945,0.32,Follow-up,,,,,,,,,,,,,,,,,,,mathew2011_Structured Clinical Interview_CAPS_mITT (randomized patients who received ≥1 dose and had CAPS scores at baseline and week 1)_A vs B_0,"Mathew SJ, Vythilingam M, Murrough JW, et al. A selective neurokinin-1 receptor antagonist in chronic PTSD: a randomized, double-blind, placebo-controlled, proof-of-concept trial. Eur. Neuropsychopharmacol. 2011;21(3):221-9. doi: 10.1016/j.euroneuro.2010.11.012. PMID: 21194898.",2011,Pharmacotherapy,High,Community,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unexpected death)",47,PTSD
mathew2011,35587,"Mathew, 2011",Self report,DTS,DTS,mITT,Site,LOCF,Linear mixed model for CAPS scores,A vs B,0,,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mathew2011_Self report_DTS_mITT_A vs B_0,"Mathew SJ, Vythilingam M, Murrough JW, et al. A selective neurokinin-1 receptor antagonist in chronic PTSD: a randomized, double-blind, placebo-controlled, proof-of-concept trial. Eur. Neuropsychopharmacol. 2011;21(3):221-9. doi: 10.1016/j.euroneuro.2010.11.012. PMID: 21194898.",2011,Pharmacotherapy,High,Community,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unexpected death)",47,PTSD
mathew2011,35587,"Mathew, 2011",Self report,DTS,DTS,mITT (randomized patients who received ≥1 dose and had CAPS scores at baseline and week 1),Site,LOCF,Linear mixed model for CAPS scores,A vs B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mathew2011_Self report_DTS_mITT (randomized patients who received ≥1 dose and had CAPS scores at baseline and week 1)_A vs B_0,"Mathew SJ, Vythilingam M, Murrough JW, et al. A selective neurokinin-1 receptor antagonist in chronic PTSD: a randomized, double-blind, placebo-controlled, proof-of-concept trial. Eur. Neuropsychopharmacol. 2011;21(3):221-9. doi: 10.1016/j.euroneuro.2010.11.012. PMID: 21194898.",2011,Pharmacotherapy,High,Community,Race and Ethnicity data reported,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unexpected death)",47,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Structured Clinical Interview,CAPS,CAPS-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs B,0,,,,,,,,,,,,,,,-0.129,0.355,-0.824,0.566,Follow-up,,,,,,,,,,,,,,,,,,,matthijssen2024_Structured Clinical Interview_CAPS-5_Completer_A vs B_0,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Structured Clinical Interview,CAPS,CAPS-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs B,12,,,,,,,,,,,,,,,-0.023,0.354,-0.718,0.671,Follow-up,,,,,,,,,,,,,,,,,,,matthijssen2024_Structured Clinical Interview_CAPS-5_Completer_A vs B_12,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Structured Clinical Interview,CAPS,CAPS-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs B vs C,0,,,,,,,,,,,,,,,,,,,,"post-hoc ANOVA for score differences, comparing 3 arms for pre to post: BF=1.73 (supports null hypothesis)",,,,,,,,,,,,,,,,,,matthijssen2024_Structured Clinical Interview_CAPS-5_Completer_A vs B vs C_0,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Structured Clinical Interview,CAPS,CAPS-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs B vs C,12,,,,,,,,,,,,,,,,,,,,"Bayesian rm ANOVA, comparison across 3 time points and 3 arms:
analysis indicates most support for model including only main effect of time (BF=5.31); model with group x time interaction is not supported (BF=0.84)",,,,,,,,,"post-hoc ANOVA for score differences, comparing 3 arms for pre to followup: BF=1.05 (equivocal)",,,,,,,,,matthijssen2024_Structured Clinical Interview_CAPS-5_Completer_A vs B vs C_12,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Structured Clinical Interview,CAPS,CAPS-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs C,0,,,,,,,,,,,,,,,-0.652,0.383,-1.403,0.098,Follow-up,"post-hoc analysis of slopes (score differences): larger decrease pre to post for VSDT (arm A) than control (arm C), Bayes Factor = 1.57",,,,,,,,,,,,,,,,,,matthijssen2024_Structured Clinical Interview_CAPS-5_Completer_A vs C_0,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Structured Clinical Interview,CAPS,CAPS-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs C,12,,,,,,,,,,,,,,,-0.703,0.385,-1.457,0.05,Follow-up,"post-hoc analysis of slopes (score differences): larger decrease pre to followup for VSDT (arm A) than control (arm C), Bayes Factor = 1.43",,,,,,,,,,,,,,,,,,matthijssen2024_Structured Clinical Interview_CAPS-5_Completer_A vs C_12,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Structured Clinical Interview,CAPS,CAPS-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),B vs C,0,,,,,,,,,,,,,,,-0.435,0.366,-1.152,0.282,Follow-up,,,,,,,,,,,,,,,,,,,matthijssen2024_Structured Clinical Interview_CAPS-5_Completer_B vs C_0,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Structured Clinical Interview,CAPS,CAPS-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),B vs C,12,,,,,,,,,,,,,,,-0.499,0.367,-1.218,0.221,Follow-up,"post-hoc analysis of slopes (score differences): larger decrease pre to followup for EMDR (arm B) than control (arm C), Bayes Factor = 1.86",,,,,,,,,,,,,,,,,,matthijssen2024_Structured Clinical Interview_CAPS-5_Completer_B vs C_12,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Self report,PCL,PCL-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs B,0,,,,,,,,,,,,,,,0.036,0.354,-0.658,0.73,Follow-up,"post-hoc analysis of slopes (score differences): pre to post for VSDT (arm A) vs EMDR (arm B), Bayes Factor = 2.23",,,,,,,,,,,,,,,,,,matthijssen2024_Self report_PCL-5_Completer_A vs B_0,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Self report,PCL,PCL-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs B,12,,,,,,,,,,,,,,,-0.001,0.354,-0.695,0.693,Follow-up,"post-hoc analysis of slopes (score differences): pre to follow-up for VSDT (arm A) vs EMDR (arm B), Bayes Factor = 2.12",,,,,,,,,,,,,,,,,,matthijssen2024_Self report_PCL-5_Completer_A vs B_12,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Self report,PCL,PCL-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs B vs C,0,,,,,,,,,,,,,,,,,,,,post hoc ANOVA for slope differences supports difference across groups (omnibus) in score differences pre to post (BF=21.05),,,,,,,,,,,,,,,,,,matthijssen2024_Self report_PCL-5_Completer_A vs B vs C_0,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Self report,PCL,PCL-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs B vs C,12,,,,,,,,,,,,,,,,,,,,"Bayesian rm ANOVA, comparison across 3 time points and 3 arms:
analysis indicates most support for model including group x time interaction (BF=24.79)",,,,,,,,,post hoc ANOVA for slope differences supports difference across groups (omnibus) in score differences pre to f/u (BF=4.15),,,,,,,,,matthijssen2024_Self report_PCL-5_Completer_A vs B vs C_12,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Self report,PCL,PCL-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs C,0,,,,,,,,,,,,,,,-0.899,0.393,-1.669,-0.13,Follow-up,"post-hoc analysis of slopes (score differences): larger decrease pre to post for VSDT (arm A) than control (arm C), Bayes Factor = 5.76",,,,,,,,,,,,,,,,,,matthijssen2024_Self report_PCL-5_Completer_A vs C_0,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Self report,PCL,PCL-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),A vs C,12,,,,,,,,,,,,,,,-0.917,0.393,-1.688,-0.146,Follow-up,"post-hoc analysis of slopes (score differences): larger decrease pre to post for VSDT (arm A) than control (arm C), Bayes Factor = 2.60",,,,,,,,,,,,,,,,,,matthijssen2024_Self report_PCL-5_Completer_A vs C_12,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Self report,PCL,PCL-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),B vs C,0,,,,,,,,,,,,,,,-0.854,0.379,-1.597,-0.111,Follow-up,"post-hoc analysis of slopes (score differences): larger decrease pre to post for EMDR (arm B) than control (arm C), Bayes Factor = 22.05",,,,,,,,,,,,,,,,,,matthijssen2024_Self report_PCL-5_Completer_B vs C_0,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
matthijssen2024,1633611,"Matthijssen, 2024",Self report,PCL,PCL-5,Completer,,,Bayesian repeated measures ANOVAs (see Study Comments),B vs. C,12,,,,,,,,,,,,,,,-0.713,0.374,-1.445,0.019,Follow-up,"post-hoc analysis of slopes (score differences): larger decrease pre to followup for EMDR (arm B) than control (arm C), Bayes Factor = 8.78",,,,,,,,,,,,,,,,,,matthijssen2024_Self report_PCL-5_Completer_B vs. C_12,"Matthijssen S, Brouwers TC, de Jongh A. Visual Schema Displacement Therapy versus Eye Movement Desensitization and Reprocessing therapy versus waitlist in the treatment of post-traumatic stress disorder: results of a randomized clinical trial. Front Psychiatry. 2024;15(1377108). doi: 10.3389/fpsyt.2024.1377108. PMID: 38651013.",2024,Psychotherapy,High,Community,Not reported,,,57,PTSD
maxwell2016,50402,"Maxwell, 2016",Self report,MPSS,MPSS,,None,No missing data,Cohen's d,A vs B,0,Endpoint difference,Cohen's d,0.5,,,,,,,,,,,,0.475,0.509,-0.522,1.473,Follow-up,,,,,,,,,,,,,,,,,,,maxwell2016_Self report_MPSS_NA_A vs B_0,"Maxwell K, Callahan JL, Holtz P, et al. Comparative study of group treatments for posttraumatic stress disorder. Psychotherapy (Chic). 2016 Dec;53(4):433-45. doi: 10.1037/pst0000032. PMID: 26390014.",2016,Psychotherapy,Some Concerns,Community,Race and Ethnicity data reported,Mixed,"rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence, other (military-related, not specified)",18,PTSD
maxwell2016,50402,"Maxwell, 2016",Self report,MPSS,MPSS,,None,No missing data,Cohen's d,A vs B,12,,,,,,,,,,,,,,,0.325,0.504,-0.664,1.313,Follow-up,,,,,,,,,,,,,,,,,,,maxwell2016_Self report_MPSS_NA_A vs B_12,"Maxwell K, Callahan JL, Holtz P, et al. Comparative study of group treatments for posttraumatic stress disorder. Psychotherapy (Chic). 2016 Dec;53(4):433-45. doi: 10.1037/pst0000032. PMID: 26390014.",2016,Psychotherapy,Some Concerns,Community,Race and Ethnicity data reported,Mixed,"rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence, other (military-related, not specified)",18,PTSD
mccall2018,51299,"McCall, 2018",Self report,PCL,PCL (minus sleep),ITT,,Models assumed data were missing at random,Longitudinal mixed-effects models to assess change in outcomes over time and treatment effects,A vs B,0,,,,,,,,,,,,,,,,,,,,"Endpoint difference, averaged across all follow-up visits; SE 4.48",,6.88,,,,,,,,,,,,,,,,mccall2018_Self report_PCL (minus sleep)_ITT_A vs B_0,"McCall WV, Pillai A, Case D, et al. A pilot, randomized clinical trial of bedtime doses of prazosin versus placebo in suicidal posttraumatic stress disorder patients with nightmares. J Clin Psychopharmacol. 2018 Dec;38(6):618-21. doi: 10.1097/JCP.0000000000000968. PMID: 30335633.",2018,Pharmacotherapy,High,Mixed,Race data reported,Mixed,"combat-related, other (not specified)",20,PTSD
mcdonagh2005,27712,"McDonagh, 2005",Structured Clinical Interview,CAPS,CAPS,Completer,None,,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,A vs B,0,Endpoint difference,Cohen's d,0.26,,,,p=NS,,,,,,,,-0.252,0.331,-0.902,0.397,Follow-up,,,,,,,,,,,,,,,,,,,mcdonagh2005_Structured Clinical Interview_CAPS_Completer_A vs B_0,"McDonagh A, Friedman MJ, McHugo GJ, et al. Randomized trial of cognitive-behavioral therapy for chronic posttraumatic stress disorder in adult female survivors of childhood sexual abuse. J Consult Clin Psychol. 2005 Jun;73(3):515-24. doi: 10.1037/0022-006X.73.3.515. PMID: 15982149.",2005,Psychotherapy,High,Community,Race data reported,Child sexual abuse,,74,PTSD
