id,Title,Authors,Keywords,Published Year,Journal,DOI,States,Cities,Geography Keywords,Citation
695,Examining social vulnerability and its effect on COVID-19 transmission in households,"Goodman, S. H.; Mellis, A.; Grijalva, C. G.; Talbot, H. K.; Stockwell, M.; McLaren, S. H.; Sano, E.; Rao, S.; Asturias, E. J.; McLean, H.; Belongia, E.; Govindaranjan, P.; Sarnquist, C.; Maldonado, Y. A.; Ellingson, K.; Lutrick, K.; Bowman, N. M.; Smith-Jeffcoat, S. E.; Rolfes, M. A.; Biddle, J. E.; Lin, J. T.","svi, social, vulnerability, health, index, level, study, data, risk, status, age, rates, association, results, vulnerable, compared, socioeconomic, regression, analysis, census, conclusion, result, background",2023,Open Forum Infectious Diseases,10.1093/ofid/ofad500.1915,NA,NA ,NA,"Goodman, S. H.; Mellis, A.; Grijalva, C. G.; Talbot, H. K.; Stockwell, M.; McLaren, S. H.; Sano, E.; Rao, S.; Asturias, E. J.; McLean, H.; Belongia, E.; Govindaranjan, P.; Sarnquist, C.; Maldonado, Y. A.; Ellingson, K.; Lutrick, K.; Bowman, N. M.; Smith-Jeffcoat, S. E.; Rolfes, M. A.; Biddle, J. E.; Lin, J. T. (2023). Examining social vulnerability and its effect on COVID-19 transmission in households. Open Forum Infectious Diseases, 10(Supplement 2), S975-S976. doi:https://dx.doi.org/10.1093/ofid/ofad500.1915"
696,Disparities in Mpox Care: Use of the Social Vulnerability Index to Predict Mpox Infections,"Leonard, M.; Fairman, R.; Polk, C.; Inman, M.; Passaretti, C.; Sampson, M.","svi, social, patients, vulnerability, health, index, level, study, data, care, risk, status, disease, age, results, regression, census, patient, conclusion, black, population, result, significant, background",2023,Open Forum Infectious Diseases,10.1093/ofid/ofad500.2285,NA,NA ,NA,"Leonard, M.; Fairman, R.; Polk, C.; Inman, M.; Passaretti, C.; Sampson, M. (2023). Disparities in Mpox Care: Use of the Social Vulnerability Index to Predict Mpox Infections. Open Forum Infectious Diseases, 10(Supplement 2), S1171. doi:https://dx.doi.org/10.1093/ofid/ofad500.2285"
697,Breaking Barriers: A Single-Center Real-World Experience With Recruitment and Administration of COVID-19 Monoclonal Antibodies and Opportunities for Improvement,"Brenner, S.; Knee, A.; Salvador, D.; Housman, E.; Fernandez, G.; Paez, A.","social, patients, vulnerability, index, study, risk, factors, disease, patient, increased",2024,Open Forum Infectious Diseases,10.1093/ofid/ofad665,NA,NA ,NA,"Brenner, S.; Knee, A.; Salvador, D.; Housman, E.; Fernandez, G.; Paez, A. (2024). Breaking Barriers: A Single-Center Real-World Experience With Recruitment and Administration of COVID-19 Monoclonal Antibodies and Opportunities for Improvement. Open Forum Infectious Diseases, 11(2) (no pagination). doi:https://dx.doi.org/10.1093/ofid/ofad665"
698,"Addressing Unmet PrEP Needs in Women: Impact of a Laboratory-Driven Protocol at an Urban, Essential Hospital","Stewart, J.; Ruiz-Mercado, G.; Sperring, H.; Pierre, C. M.; Assoumou, S. A.; Taylor, J. L.","health, care, results, odds, conclusion, black, increased, access, hispanic, low, result, white, significant, background",2024,Open Forum Infectious Diseases,10.1093/ofid/ofae056,NA,NA ,NA,"Stewart, J.; Ruiz-Mercado, G.; Sperring, H.; Pierre, C. M.; Assoumou, S. A.; Taylor, J. L. (2024). Addressing Unmet PrEP Needs in Women: Impact of a Laboratory-Driven Protocol at an Urban, Essential Hospital. Open Forum Infectious Diseases, 11(3). doi:10.1093/ofid/ofae056"
699,Respiratory Syncytial Virus Hospitalizations Associated With Social Vulnerability by Census Tract: An Opportunity for Intervention?,"Thomas, C. M.; Raman, R.; Schaffner, W.; Markus, T. M.; Ndi, D.; Fill, M. M. A.; Dunn, J. R.; Talbot, H. K.","social, vulnerability, health, level, data, care, factors, age, results, vulnerable, compared, regression, census, patient, conclusion, population, result, background",2024,Open Forum Infectious Diseases,10.1093/ofid/ofae184,Tennessee,NA ,NA,"Thomas, C. M.; Raman, R.; Schaffner, W.; Markus, T. M.; Ndi, D.; Fill, M. M. A.; Dunn, J. R.; Talbot, H. K. (2024). Respiratory Syncytial Virus Hospitalizations Associated With Social Vulnerability by Census Tract: An Opportunity for Intervention?. Open Forum Infectious Diseases, 11(5). doi:10.1093/ofid/ofae184"
700,Local Social Vulnerability as a Predictor for Cancer-Related Mortality Among US Counties,"Chen, K. Y.; Blackford, A. L.; Sedhom, R.; Gupta, A.; Hussaini, S. M. Q.","svi, social, vulnerability, health, index, level, data, care, risk, mortality, factors, cancer, status, disease, age, rates, vulnerable, counties, compared, disparities, county, socioeconomic, regression, analysis, black, increased, hispanic, adjusted, related",2023,Oncologist,10.1093/oncolo/oyad176,NA,NA ,NA,"Chen, K. Y.; Blackford, A. L.; Sedhom, R.; Gupta, A.; Hussaini, S. M. Q. (2023). Local Social Vulnerability as a Predictor for Cancer-Related Mortality Among US Counties. Oncologist, 28(9), E835-E838. doi:https://dx.doi.org/10.1093/oncolo/oyad176"
701,Associations of social vulnerability index with patient-reported outcomes in women treated with chemotherapy for early-stage breast cancer,"Almond, N.; Deal, A. M.; Page, A.; Nyrop, K. A.; Muss, H. B.","svi, social, vulnerability, health, index, level, study, cancer, status, disease, age, association, results, socioeconomic, patient, conclusion, lower, low, related, result, white, background",2024,Oncologist,10.1093/oncolo/oyae311,NA,NA ,NA,"Almond, N.; Deal, A. M.; Page, A.; Nyrop, K. A.; Muss, H. B. (2024). Associations of social vulnerability index with patient-reported outcomes in women treated with chemotherapy for early-stage breast cancer. Oncologist, 26, 26. doi:https://dx.doi.org/10.1093/oncolo/oyae311"
702,Socioeconomic vulnerability and differential impact of severe weather-induced power outages,"Ganz, S. C.; Duan, C.; Ji, C.","social, vulnerability, index, data, outcomes, status, disease, age, vulnerable, counties, county, socioeconomic, low, significant",2023,Oxford : Oxford University Press on behalf of the National Academy of Sciences,10.1093/pnasnexus/pgad295,NA,NA ,NA,"Ganz, S. C.; Duan, C.; Ji, C. (2023). Socioeconomic vulnerability and differential impact of severe weather-induced power outages. Oxford : Oxford University Press on behalf of the National Academy of Sciences, 2(10). doi:10.1093/pnasnexus/pgad295"
703,COVID stress and sleep disturbance among a racially/ethnically diverse sample of adolescents: Analysis from the nested study,"Seixas, A.; Honaker, S.; Wolfson, A.; Wahlstrom, K.; Owens, J.; Wong, P.; Saletin, J.; Tsvetovat, M.; Carskadon, M.; Meltzer, L.",adolescent; age; Alaska Native; American Indian; anxiety; Asian; child; conference abstract; controlled study; coronavirus disease 2 19; demography; depression; education; ethnic group; ethnicity; female; gender; Hispanic; household; human; learning; major clinical study; male; mental health; multicenter study; neighborhood; pandemic; physiological stress; race; sleep disorder; Social Vulnerability Index,2021,Sleep,10.1093/sleep/zsab072.231,NA,NA,Urban Neighborhood Community,"Seixas, A., Honaker, S., Wolfson, A., Wahlstrom, K., Owens, J., Wong, P., Saletin, J., Tsvetovat, M., Carskadon, M., & Meltzer, L. (2021). 232 COVID stress and sleep disturbance among a racially/ethnically diverse sample of adolescents: Analysis from the NESTED study. Sleep, 44(Supplement_2), A92-A93. https://doi.org/10.1093/sleep/zsab072.231"
704,Insufficient sleep linked with higher COVID-19 infection cases and deaths in the United States,"Seixas, A.; Pantaleo, N.; Adhikari, S.; Grandner, M.; Jean-Louis, G.",conference abstract; controlled study; coronavirus disease 2 19; disease control; human; incidence; infection rate; major clinical study; medically uninsured; mortality rate; obesity; sleep; Social Vulnerability Index; United States,2021,Sleep,10.1093/sleep/zsab072.692,NA,NA,County State Rural Urban Community,"Seixas, A., Pantaleo, N., Adhikari, S., Grandner, M., & Jean-Louis, G. (2021). 694 Insufficient sleep linked with higher COVID-19 infection cases and deaths in the United States. Sleep, 44(Supplement_2), A271-A271. https://doi.org/10.1093/sleep/zsab072.692"
705,Is SVI a Risk Factor for Sleep and Cardiometabolic Health among Blacks?,"Locklear, C.; Jin, P.; Seixas, A.; Briggs, A.; Rogers, A.; Turner, A.; Blanc, J.; Jean-Louis, G.",adult; Black person; conference abstract; controlled study; diabetes mellitus; diet; education; female; heart disease; home use apnea monitor; household; housing; human; hypertension; insomnia; language; major clinical study; male; middle aged; New York; obesity; questionnaire; resident; risk factor; self report; sleep disordered breathing; sleep quality; sleep time; social status; Social Vulnerability Index; unclassified drug,2022,Sleep,10.1093/sleep/zsac079.617,New York,NA,Tract,"Locklear, C., Jin, P., Seixas, A., Briggs, A., Rogers, A., Turner, A., Blanc, J., & Jean-Louis, G. (2022). 0620 Is SVI a Risk Factor for Sleep and Cardiometabolic Health Among Blacks? Sleep, 45(Supplement_1), A271-A272. https://doi.org/10.1093/sleep/zsac079.617"
706,Utilization of Pap Titration as Indicator for Prediction of Pap Adherence,"Tran, J.; Park, J.; Modi, J.; Faryad, S.; Prasad, B.","svi, social, patients, vulnerability, index, data, age, association, regression, analysis, patient, odds, conclusion, lower, population, low, result, significant",2024,Sleep,10.1093/sleep/zsae067.0565,NA,NA ,NA,"Tran, J.; Park, J.; Modi, J.; Faryad, S.; Prasad, B. (2024). Utilization of Pap Titration as Indicator for Prediction of Pap Adherence. Sleep, 47(Supplement 1), A241-A242. doi:https://dx.doi.org/10.1093/sleep/zsae067.0565"
707,Social Vulnerability and Sleep Health in Young Adults with Type 1 Diabetes,"Howard, Q.; Hickman, R.; Griggs, S.","social, vulnerability, health, index, level, study, risk, outcomes, status, disease, age, association, socioeconomic, patient, conclusion, race, based, adjusted, result, significant",2024,Sleep,10.1093/sleep/zsae067.0898,NA,NA ,NA,"Howard, Q.; Hickman, R.; Griggs, S. (2024). Social Vulnerability and Sleep Health in Young Adults with Type 1 Diabetes. Sleep, 47(Supplement 1), A385-A386. doi:https://dx.doi.org/10.1093/sleep/zsae067.0898"
708,Critical management of COVID-19: Social determinants of health and public health preparedness,"Yee, V.; Moten, A.",adult; case report; clinical article; conference abstract; coronavirus disease 2 19; disease control; fatality; female; government; hospitalization; human; incidence; male; New York; pandemic; public health; social determinants of health; vulnerable population,2021,Critical Care Medicine,10.1097/01.ccm.0000726432.38346.52,New York,New York City,Tract State,"Yee, V., & Moten, A. (2020). 136: Critical Management of COVID-19: Social Determinants of Health and Public Health Preparedness. Critical Care Medicine, 49(1), 53-53. https://doi.org/10.1097/01.ccm.0000726432.38346.52"
709,The association of neighborhood social vulnerability and pediatric acute respiratory failure,"Najjar, N.; Fitzpatrick, A.; Grunwell, J.",acute respiratory failure; adolescent; census tract; child; cohort analysis; conference abstract; controlled study; critically ill patient; disability; female; household; housing; human; human tissue; intensive care; language; major clinical study; male; neighborhood; preschool child; retrospective study; social status; Social Vulnerability Index,2022,Critical Care Medicine,10.1097/01.ccm.0000806668.89205.49,Georgia,Atlanta,Tract Neighborhood,"Najjar, N., Fitzpatrick, A., & Grunwell, J. (2021). 51: THE ASSOCIATION OF NEIGHBORHOOD SOCIAL VULNERABILITY AND PEDIATRIC ACUTE RESPIRATORY FAILURE. Critical Care Medicine, 50(1), 26-26. https://doi.org/10.1097/01.ccm.0000806668.89205.49"
710,Social determinants of health impact hospital length of stay for children with severe sepsis,"West, A.; Hamilton, H.; Ammar, N.; Gunturkun, F.; Jones, T.; Chinthala, L.; Burroughs, A.; Shaban-Nejad, A.; Shah, S.",African American; algorithm; blight; census tract; child; conference abstract; controlled study; decision support system; demographics; economic stability; environmental health; female; human; length of stay; major clinical study; male; medical record; neighborhood; observational study; outcome assessment; poverty; preschool child; retrospective study; risk factor; sepsis; social determinants of health; social status; Social Vulnerability Index; Tennessee; univariate analysis,2022,Critical Care Medicine,10.1097/01.ccm.0000808388.04541.2b,Tennessee,Memphis,Tract County Urban Neighborhood Community,"West, A., Hamilton, H., Ammar, N., Gunturkun, F., Jones, T., Chinthala, L., Burroughs, A., Shaban-Nejad, A., & Shah, S. (2021). 516: SOCIAL DETERMINANTS OF HEALTH IMPACT HOSPITAL LENGTH OF STAY FOR CHILDREN WITH SEVERE SEPSIS. Critical Care Medicine, 50(1), 249-249. https://doi.org/10.1097/01.ccm.0000808388.04541.2b"
711,Social Vulnerability Index and Child Opportunity Index High in Asthma but Not Linked to Picu Stay,"Jones, J.; Adiwidjaja, A.; Keefer, M.; Ross, P.; Tan, J.",asthma; asthmatic state; bivariate analysis; California; census tract; child; conference abstract; controlled study; disease control; female; human; icd-1 ; length of stay; major clinical study; male; pediatric intensive care unit; pediatric ward; risk factor; social status; Social Vulnerability Index; United States,2023,Critical Care Medicine,10.1097/01.ccm.0000905996.74891.13,California,Los Angeles,Tract State Community,"Jones, J., Adiwidjaja, A., Keefer, M., Ross, P., & Tan, J. (2022). 30: SOCIAL VULNERABILITY INDEX AND CHILD OPPORTUNITY INDEX HIGH IN ASTHMA BUT NOT LINKED TO PICU STAY. Critical Care Medicine, 51(1), 15-15. https://doi.org/10.1097/01.ccm.0000905996.74891.13"
712,The Impact of Neighborhood Factors on Patient Disease Severity on Presentation to the Picu,"Magee, P.; Tuo, Y.; Paquette, E.",age; census tract; child; childhood; comorbidity; conference abstract; controlled study; correlation coefficient; electronic medical record; female; geography; human; insurance; Kruskal Wallis test; major clinical study; male; neighborhood characteristic; outcome assessment; patient coding; race; retrospective study; social status; Social Vulnerability Index; sociodemographics,2023,Critical Care Medicine,10.1097/01.ccm.0000908208.00829.14,NA,NA,Tract Neighborhood,"Magee, P., Tuo, Y., & Paquette, E. (2022). 619: THE IMPACT OF NEIGHBORHOOD FACTORS ON PATIENT DISEASE SEVERITY ON PRESENTATION TO THE PICU. Critical Care Medicine, 51(1), 299-299. https://doi.org/10.1097/01.ccm.0000908208.00829.14"
713,Social Deprivation and Short-Term Mortality among Critically Ill Patients with Covid-19,"Sharif, M. W.; Garza, J.; Shah, K.; Khair, H.; Gonzalez, L.; Muhammad, A.; Venkatesan, R.; Oud, L.","svi, social, patients, vulnerability, index, level, data, mortality, status, age, covid, association, compared, socioeconomic, analysis, patient, odds, conclusion, increased, population, adjusted, low, result",2024,Critical Care Medicine,10.1097/01.ccm.0000998500.19329.92,NA,NA ,NA,"Sharif, M. W.; Garza, J.; Shah, K.; Khair, H.; Gonzalez, L.; Muhammad, A.; Venkatesan, R.; Oud, L. (2024). Social Deprivation and Short-Term Mortality among Critically Ill Patients with Covid-19. Critical Care Medicine, 52(1 Supplement 1), S14. doi:https://dx.doi.org/10.1097/01.ccm.0000998500.19329.92"
714,Association of Social Vulnerability with County-Level Sepsis-Related Mortality in the United States,"Venkatesan, R.; Garza, J.; Khair, H.; Gonzalez, L.; Muhammad, A.; Sharif, M. W.; Shah, K.; Oud, L.","svi, social, vulnerability, index, level, data, outcomes, mortality, status, age, rates, association, vulnerable, counties, disparities, county, socioeconomic, regression, conclusion, race, black, increased, hispanic, adjusted, related, result",2024,Critical Care Medicine,10.1097/01.ccm.0001004492.89101.75,NA,NA ,NA,"Venkatesan, R.; Garza, J.; Khair, H.; Gonzalez, L.; Muhammad, A.; Sharif, M. W.; Shah, K.; Oud, L. (2024). Association of Social Vulnerability with County-Level Sepsis-Related Mortality in the United States. Critical Care Medicine, 52(1 Supplement 1), S763. doi:https://dx.doi.org/10.1097/01.ccm.0001004492.89101.75"
715,Social Vulnerability among Women with Urinary Incontinence Correlates to More Severe Urinary Symptoms and Worse Quality of Life,"Furuyama, W. M.; Rebullar, K.; Park, R.; Kaufman, M. R.; Dmochowski, R. R.; Reynolds, W. S.; Sebesta, E.","svi, social, vulnerability, health, index, level, study, data, outcomes, factors, disease, age, rates, association, results, compared, regression, census, patient, conclusion, access, low, result, significant",2024,Journal of Urology,10.1097/01.JU.0001008876.78012.90.08,NA,NA ,NA,"Furuyama, W. M.; Rebullar, K.; Park, R.; Kaufman, M. R.; Dmochowski, R. R.; Reynolds, W. S.; Sebesta, E. (2024). Social Vulnerability among Women with Urinary Incontinence Correlates to More Severe Urinary Symptoms and Worse Quality of Life. Journal of Urology, 211(5 Supplement), e573-e574. doi:https://dx.doi.org/10.1097/01.JU.0001008876.78012.90.08"
716,The Association between Individual and Population-Level Social Determinants of Health and Clinical Trials Awareness: A Hints-Seer Analysis,"Sekar, R.; Herrel, L.; Stensland, K.; Maganty, A.","svi, social, patients, vulnerability, health, index, level, outcomes, factors, cancer, status, disease, age, rates, association, results, vulnerable, compared, disparities, socioeconomic, regression, analysis, patient, odds, conclusion, race, lower, population, included, low, result, significant",2024,Journal of Urology,10.1097/01.JU.0001008876.78012.90.15,NA,NA ,NA,"Sekar, R.; Herrel, L.; Stensland, K.; Maganty, A. (2024). The Association between Individual and Population-Level Social Determinants of Health and Clinical Trials Awareness: A Hints-Seer Analysis. Journal of Urology, 211(5 Supplement), e576-e577. doi:https://dx.doi.org/10.1097/01.JU.0001008876.78012.90.15"
717,Disparities in Prostate Cancer Mortality and Clinical Trial Availability across Vulnerable Populations,"Sekar, R.; Stensland, K.; Herrel, L.","svi, social, vulnerability, health, index, level, study, data, care, mortality, cancer, disease, age, rates, association, results, vulnerable, counties, compared, disparities, county, regression, analysis, odds, conclusion, increased, lower, population, access, adjusted, included, low, result, significant",2024,Journal of Urology,10.1097/01.JU.0001009356.04608.d5.07,NA,NA ,NA,"Sekar, R.; Stensland, K.; Herrel, L. (2024). Disparities in Prostate Cancer Mortality and Clinical Trial Availability across Vulnerable Populations. Journal of Urology, 211(5 Supplement), e822. doi:https://dx.doi.org/10.1097/01.JU.0001009356.04608.d5.07"
718,Social Vulnerability and Emergency General Surgery among Medicare Beneficiaries,"Zhang, Y.; Kunnath, N.; Dimick, J. B.; Ibrahim, A. M.",abdominal wall hernia; appendectomy; cholecystectomy; colectomy; comorbidity; complication; conference abstract; controlled study; disability; female; general surgery; hernioplasty; hospital readmission; household; housing; human; language; male; medicare; mortality; natural disaster; outcome assessment; social status; Social Vulnerability Index; surgery,2022,Journal of the American College of Surgeons,10.1097/01.XCS.0000893684.91955.18,NA,NA,NA,"Zhang, Y., Kunnath, N., Dimick, J. B., & Ibrahim, A. M. (2022). Social Vulnerability and Emergency General Surgery among Medicare Beneficiaries. Journal of the American College of Surgeons, 235(5), S94-S95. https://doi.org/10.1097/01.xcs.0000893684.91955.18"
719,Neighborhood-Level Social Determinants of Health Are Associated with Greater Postoperative Complications in Children from a Tertiary Hospital in California,"Yap, A.; Laverde, R.; Thompson, A.; Ozgediz, D.; Ehie, O.; Vu, L.",anesthesiologist; California; census tract; child; cohort analysis; complication; conference abstract; controlled study; disability; female; health disparity; hospital readmission; household; housing; human; insurance; language; major clinical study; male; neighborhood; outcome assessment; postoperative complication; preoperative evaluation; public health; racism; reoperation; retrospective study; sepsis; social determinants of health; social status; Social Vulnerability Index; surgery; tertiary care center; total quality management; wound,2022,Journal of the American College of Surgeons,10.1097/01.XCS.0000894400.29259.3d,California,San Francisco,Tract Neighborhood,"Yap, A., Laverde, R., Thompson, A., Ozgediz, D., Ehie, O., & Vu, L. (2022). Neighborhood-Level Social Determinants of Health Are Associated with Greater Postoperative Complications in Children from a Tertiary Hospital in California. Journal of the American College of Surgeons, 235(5), S183-S183. https://doi.org/10.1097/01.xcs.0000894400.29259.3d"
720,Social Vulnerability Index Predicts Violent Crime in Chicago,"Polcari, A. M.; Slidell, M. B.; Nordgren, R.; Hoefer, L. E.; Zakrison, T. L.; Benjamin, A. J.",assault; built environment; census tract; conference abstract; controlled study; crime; disability; homicide; household; housing; human; Illinois; language; negative binomial regression; social aspect; social status; Social Vulnerability Index; trauma surgeon; violence,2022,Journal of the American College of Surgeons,10.1097/01.XCS.0000895336.61680.d6,Illinois,Chicago,Tract Community,"Polcari, A. M., Slidell, M. B., Nordgren, R., Hoefer, L. E., Zakrison, T. L., & Benjamin, A. J. (2022). Social Vulnerability Index Predicts Violent Crime in Chicago. Journal of the American College of Surgeons, 235(5), S296-S296. https://doi.org/10.1097/01.xcs.0000895336.61680.d6"
721,Social Vulnerability Is Associated with Worse Two-Year Survival after Lower Extremity Bypass,"Smith, E.; Matthay, Z.; Jaramillo, E.; Sanders, K.; Gasper, Md W. J.; Ozgediz, D. E.; Hiramoto, J. S.; Conte, M. S.; Iannuzzi, J. C.",aged; census tract; conference abstract; controlled study; critical limb ischemia; female; human; lower limb; major clinical study; male; retrospective study; Social Vulnerability Index,2022,Journal of the American College of Surgeons,10.1097/01.XCS.0000895584.05830.2b,NA,NA,Tract Community,"Smith, E., Matthay, Z., Jaramillo, E., Sanders, K., Gasper, W. J., Ozgediz, D. E., Hiramoto, J. S., Conte, M. S., & Iannuzzi, J. C. (2022). Social Vulnerability Is Associated with Worse Two-Year Survival after Lower Extremity Bypass. Journal of the American College of Surgeons, 235(5), S327-S327. https://doi.org/10.1097/01.xcs.0000895584.05830.2b"
722,Impact of Social Vulnerability on Long-Term Growth Outcomes in Sutureless vs Sutured Repair of Gastroschisis,"Barry, M.; Gozali, A.; Vu, L.","svi, social, patients, vulnerability, health, index, study, risk, outcomes, status, age, compared, regression, analysis, patient, conclusion, increased, lower, low, result, significant",2023,Journal of the American College of Surgeons,10.1097/01.XCS.0000933000.90064.63,NA,NA ,NA,"Barry, M.; Gozali, A.; Vu, L. (2023). Impact of Social Vulnerability on Long-Term Growth Outcomes in Sutureless vs Sutured Repair of Gastroschisis. Journal of the American College of Surgeons, 236(5 Supplement 3), S83. doi:https://dx.doi.org/10.1097/01.XCS.0000933000.90064.63"
723,Association Between Social Vulnerability and Achieving Glycemic Control Among Pregnant Individuals With Pregestational Diabetes,"Venkatesh, K. K.; Germann, K.; Joseph, J.; Kiefer, M.; Buschur, E.; Thung, S.; Costantine, M. M.; Gabbe, S.; Grobman, W. A.; Fareed, N.","Diabetes Mellitus, Type 2[Complications]; Diabetes Mellitus, Type 2[Therapy]; Diabetes Mellitus, Type 2; Female; Glycated Hemoglobin [Analysis]; Glycemic Control; Humans; Infant; Pregnancy; Pregnancy in Diabetics; Retrospective Studies; Social Vulnerability;",2022,Obstetrics & Gynecology,10.1097/AOG.0000000000004727,NA,NA,Tract Community,"Venkatesh, K. K., Germann, K., Joseph, J., Kiefer, M., Buschur, E., Thung, S., Costantine, M. M., Gabbe, S., Grobman, W. A., & Fareed, N. (2022). Association Between Social Vulnerability and Achieving Glycemic Control Among Pregnant Individuals With Pregestational Diabetes. Obstetrics &amp; Gynecology, 139(6), 1051-1060. https://doi.org/10.1097/aog.0000000000004727"
724,The Temporal Relationship Between the Coronavirus Disease 2019 (COVID-19) Pandemic and Preterm Birth,"Grobman, W. A.; Sandoval, G. J.; Metz, T. D.; Manuck, T. A.; Clifton, R. G.; Hughes, B. L.; Saade, G. R.; Longo, M.; Sowles, A.; Clark, K.; Simhan, H. N.; Rouse, D. J.; Mendez-Figueroa, H.; Gyamfi-Bannerman, C.; Bailit, J. L.; Costantine, M. M.; Sehdev, H. M.; Tita, A. T. N.; Macones, G. A.","svi, social, vulnerability, index, level, study, risk, status, disease, covid, rates, association, results, compared, socioeconomic, conclusion, race, adjusted, result, significant",2023,Obstetrics & Gynecology,10.1097/AOG.0000000000005171,NA,NA ,NA,"Grobman, W. A.; Sandoval, G. J.; Metz, T. D.; Manuck, T. A.; Clifton, R. G.; Hughes, B. L.; Saade, G. R.; Longo, M.; Sowles, A.; Clark, K.; Simhan, H. N.; Rouse, D. J.; Mendez-Figueroa, H.; Gyamfi-Bannerman, C.; Bailit, J. L.; Costantine, M. M.; Sehdev, H. M.; Tita, A. T. N.; Macones, G. A. (2023). The Temporal Relationship Between the Coronavirus Disease 2019 (COVID-19) Pandemic and Preterm Birth. Obstetrics & Gynecology, 141(6), 1171-1180. doi:https://dx.doi.org/10.1097/AOG.0000000000005171"
725,Community-Level Social Vulnerability and Patterns of Adolescent Injury,"Kwon, E. G.; Herrera-Escobar, J. P.; Bulger, E. M.; Rice-Townsend, S. E.; Nehra, D.","svi, social, patients, vulnerability, index, level, study, care, disease, age, results, compared, socioeconomic, regression, census, patient, odds, conclusion, increased, population, adjusted, included, low, related, result, significant, background",2023,"Annals of Surgery Open : Perspectives of Surgical History, Education, and Clinical Approaches",10.1097/AS9.0000000000000287,NA,NA ,NA,"Kwon, E. G.; Herrera-Escobar, J. P.; Bulger, E. M.; Rice-Townsend, S. E.; Nehra, D. (2023). Community-Level Social Vulnerability and Patterns of Adolescent Injury. Annals of Surgery Open : Perspectives of Surgical History, Education, and Clinical Approaches, 4(2), e287. doi:https://dx.doi.org/10.1097/AS9.0000000000000287"
726,Disparities in Pediatric Orthopedic Surgery Care during the COVID-19 Pandemic Pre-vaccine and Post-Vaccine Availability,"Culbert, A. A.; Ren, B. O.; Maheshwer, B.; Curtis, A.; Ajayakumar, J.; Gilmore, A.; Hardesty, C.; Mistovich, R. J.; Son-Hing, J.; Liu, R. W.; Glotzbecker, M. P.","svi, social, patients, vulnerability, health, index, level, study, care, factors, status, disease, age, covid, compared, socioeconomic, analysis, patient, conclusion, race, increased, lower, population, access, low, related, result, white, significant, background",2023,Journal of Pediatric Orthopaedics,10.1097/BPO.0000000000002469,NA,NA ,NA,"Culbert, A. A.; Ren, B. O.; Maheshwer, B.; Curtis, A.; Ajayakumar, J.; Gilmore, A.; Hardesty, C.; Mistovich, R. J.; Son-Hing, J.; Liu, R. W.; Glotzbecker, M. P. (2023). Disparities in Pediatric Orthopedic Surgery Care during the COVID-19 Pandemic Pre-vaccine and Post-Vaccine Availability. Journal of Pediatric Orthopaedics, 43(8), 529-535. doi:https://dx.doi.org/10.1097/BPO.0000000000002469"
727,Social Vulnerability Index Provides Greater Granularity Compared With the Area Deprivation Index When Assessing Outcomes Following Elective Lumbar Fusion,"Yang, P. T.; Shaikh, H.; Akoto, A.; Menga, E. N.; Molinari, R. W.; Rubery, P. T.; Puvanesarajah, V.","svi, social, patients, vulnerability, health, index, level, study, data, risk, outcomes, factors, status, age, results, socioeconomic, regression, patient, conclusion, race, based, low, result, significant, background",2024,Spine,10.1097/BRS.0000000000005089,NA,NA ,NA,"Yang, P. T.; Shaikh, H.; Akoto, A.; Menga, E. N.; Molinari, R. W.; Rubery, P. T.; Puvanesarajah, V. (2024). Social Vulnerability Index Provides Greater Granularity Compared With the Area Deprivation Index When Assessing Outcomes Following Elective Lumbar Fusion. Spine, 49(23), 1676-1684. doi:10.1097/BRS.0000000000005089"
728,Community-level Socioeconomic Status is a Poor Predictor of Outcomes Following Lumbar and Cervical Spine Surgery,"Lambrechts, M. J.; Issa, T. Z.; Lee, Y.; McCurdy, M. A.; Siegel, N.; Toci, G. R.; Sherman, M.; Baker, S.; Becsey, A.; Christianson, A.; Nanavati, R.; Canseco, J. A.; Hilibrand, A. S.; Vaccaro, A. R.; Schroeder, G. D.; Kepler, C. K.","svi, social, patients, vulnerability, health, index, level, study, data, outcomes, factors, status, association, results, disparities, socioeconomic, regression, analysis, patient, conclusion, based, low, result, significant, background",2024,Clinical Spine Surgery,10.1097/BSD.0000000000001676,NA,NA ,NA,"Lambrechts, M. J.; Issa, T. Z.; Lee, Y.; McCurdy, M. A.; Siegel, N.; Toci, G. R.; Sherman, M.; Baker, S.; Becsey, A.; Christianson, A.; Nanavati, R.; Canseco, J. A.; Hilibrand, A. S.; Vaccaro, A. R.; Schroeder, G. D.; Kepler, C. K. (2024). Community-level Socioeconomic Status is a Poor Predictor of Outcomes Following Lumbar and Cervical Spine Surgery. Clinical Spine Surgery. doi:10.1097/BSD.0000000000001676"
