"agency_acronym","agency_name","active_agency_name","policy_area","data_coordinator_appointed","data_inventory_or_inventory","open_data_plan_submitted","agency_open_data_publishing","agency_open_data_plan","current_reporting_period"
"SLO","Oregon State Library","STATE LIBRARY OF OREGON","EDUCATION","COMPLETED","COMPLETED","COMPLETED","PLANNING","""The State Library of Oregon is an independent state agency that provides leadership and resources to continue growing vibrant library services for three distinct groups: Oregonians who are print-disabled, the Legislature and state government, and all Oregonians through their local libraries.

We have identified two datasets maintained by our Library Support and Development Services division to be published on data.oregon.gov during the next biennium. The first is an online directory of libraries in Oregon, which contains basic contact information for over 340 entities. The information therein is critical to both the work of this division as well as to the public. Once published we will likely update this dataset on a monthly basis. The second dataset is the Oregon Public Library Statistics, a large annual census of public library data. We will use the data collected during the FY2020-21 period as a starting point and will publish new datasets from this program annually.""","2023"
"TSPC","Teacher Standards & Practices Commission","TEACHER STANDARDS & PRACTICES","EDUCATION","COMPLETED","EXCEPTION GRANTED","PENDING","PENDING",,"2023"
"BLSW","Board of Licensed Social Workers","LICENSED SOCIAL WORKERS BRD","HEALTH","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The mission of the Board of Licensed Social Workers is to protect the citizens of Oregon through licensing and regulation of Social Workers.

BLSW has completed an initial inventory of datasets related to our licensee regulation and compliance program.  The data includes licensee information such as testing and education, license status and compliance.  Many of our datasets may only be supplied via a public records request.  Publicly allowed data and publications are published on the BLSW website.","2025"
"BOA","Board of Accountancy","ACCOUNTANCY, OREGON BRD OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","EXCEPTION GRANTED","COMPLETED","MAINTENANCE","The mission of the Board of Accountancy is to protect Oregon consumers by ensuring only qualified licensees practice public accountancy in accordance with established professional standards and promulgated rules.

BOA has completed an initial inventory of datasets related to our licensee regulation and compliance program.  The data includes licensee information such as testing and education, license status and compliance.  Many of our datasets may only be supplied via a public records request.  Publicly allowed data and publications are published on the BOA website.","2025"
"BOLI","Bureau of Labor and Industries","LABOR & IND, BUREAU OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","PARTIAL","COMPLETED","PLANNING","The Bureau of Labor and Industries (BOLI) protects employment rights, advances employment opportunities, and protects access to housing and public accommodations free from discrimination for all Oregonians. It also regulates and supports apprenticeship programs to develop Oregon workforce.

The agency has five main areas that collect and maintain data: Commissioner Office, Civil Rights, Wage and Hour, Apprenticeship, and Employer Assistance. The agency operates out of three physical office locations and has remote employees providing services throughout the state.

BOLI is currently in the planning phase of the Open Data effort and has completed it's partial Data Inventory. As the agency embarks on a database replacement project over the next two years, opportunities for open data will be identified.","2025"
"BOP","Board of Pharmacy","PHARMACY, OREGON BRD OF","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","Mission: 
The Oregon Board of Pharmacy serves to promote and protect public health, safety, and welfare by ensuring high standards in the practice of pharmacy and through effective regulation of the manufacture and distribution of drugs.

Vision: All Oregonians have equitable access to medication and pharmacy services, provided safely and conveniently, through a network of highly skilled and dedicated Pharmacists, Interns and Pharmacy Technicians along with a well-regulated manufacturing and distribution network.

Equity Statement: The Oregon Board of Pharmacy is committed to Diversity, Equity, Inclusion, and Belonging (DEIB) within its organization and for the public it serves. This commitment is reflected in board membership, agency staffing, the services provided, and its efforts to promote patient safety and ensure access to quality pharmacy care. Our actions, outlined in our DEIB and Affirmative Action Plans, demonstrate this commitment. 
The following principles guide our approach: 
•	Promote a welcoming, safe, and inclusive culture for people of all backgrounds
•	Foster an inclusive environment where all current and prospective licensees and registrants receive fair and unbiased service from the agency staff and board
•	Advance Diversity and Equity in access through culturally responsive service delivery that addresses the changing climate within the pharmacy profession
•	Ensure all patients needing pharmacy services are able to receive safe and timely access to medications, regardless of place of residence, economic or social status, physical ability, ethnicity, or gender identity

Values: 
These values reflect both how our Board and staff strive to conduct ourselves, and the behaviors we seek to instill across the practice of pharmacy in Oregon.

Equity -  Each individual and group are valued, respected, and treated fairly ensuring equal access to medications and support for their unique and diverse requirements.
Service - We deliver a consistent standard of excellence in all work and respond promptly to the needs of patients, Licensees, Registrants, providers and partners.        
Safety - We are committed to protecting the health, safety and welfare of the public. Safety is the foundation of the board's Mission.
Adaptability - We are open to new ideas and to responding to the changing needs and challenges in the field of healthcare and pharmacy.
Integrity & Accountability - Transparency and honesty govern the board's work. We accept responsibility for our actions, products, decisions, and policies. 
Professionalism - We are committed to promoting excellence in pharmacy practice through expertise, commitment, and competence.

The agency identified data system inventories related to licensing, compliance and communication and submitted a data system inventory in 2023. The Oregon Board of Pharmacy continues to support the Open Data Program, however the agency has not been able to dedicate time or resources to prioritize moving to the next phase. Several factors have contributed to the agency’s ability to dedicate resources to the program such as Executive Director turnover, staff turnover, a record number of compliance cases, a record amount of administrative rulemaking, migrating to Windows 11, current licensing database replacement project, digital accessibility compliance for new federal law, EIS server migration and multiple EIS firewall projects, Board priorities such as immediate access to current COVID-19 and Influenza vaccines for Oregonians, multiple legislative mandates from the 2025 Legislative Session and agency compliance with new Governors Initiatives (DEI plan, IT strategic plan, Succession plan, etc.). The agency currently employees 21 FTE and has 3 open positions and is focused on meeting current service levels.","2025"
"BSPA","Board of Examiners for Speech-Language Pathology & Audiology","SPEECH-LANG. PATH & AUD, EXAM BRD","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2025"
"CCB","Oregon Construction Contractors Board","CONSTRUCTION CTR BRD","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The mission of Construction Contractors Board (CCB) is to protect and Serve Oregon Consumers, support responsible licensed contractors and promote a positive business climate.  We do that by delivering customer-focused, outcome-based programs that support a fair and competitive construction industry and robust consumer protections. The datasets captured within the CCB inventory each support one or more of the functions necessary to accomplish our mission.

CCB will continue publication of the “License Information – Currently Active” dataset during upcoming biennium.  Because CCB is currently working on replacing the core business software for all our functions, work on this effort will begin after the start of the fiscal year and will encompass that single dataset on data.oregon.gov.  Work has begun on this effort and we are currently in Stage Gate 2.","2025"
"CJC","Criminal Justice Commission","CRIMINAL JUSTICE CMSN","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Criminal Justice Commission (CJC) works to improve the legitimacy, efficiency, and effectiveness of state and local criminal justice systems. The purpose of the Commission is to improve the effectiveness and efficiency of state and local criminal justice systems by providing a centralized and impartial forum for statewide policy development and planning. 

The Oregon Statistical Analysis Center (SAC) is housed at CJC and is the state clearinghouse for criminal justice data and research. As the state Statistical Analysis Center, the agency provides the Governor, Legislature, and public safety partners with access to data, objective research, and analysis related to public safety. While CJC has access to many criminal justice data sources, the agency primarily collects a more limited number of data sources. 

CJC has inventoried six datasets and plans to focus publication on the STOP (Statistical Transparency of Policing) data and Sanctuary Promise reporting data as the agency’s most valuable data sources. CJC will work to publish this data on data.oregon.gov by the end of the current biennium.","2025"
"DAS","Department of Administrative Services","ADMINISTRATIVE SRVCS, DEPT OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Department of Administrative Services (DAS) is the central administrative agency of Oregon state government. Our mission is to lead state agencies through collaboration in service of Oregonians. DAS works to effectively implement the policy and financial decisions made by the Governor and the Oregon Legislature. The department also sets and monitors high standards of accountability to ensure that state government uses tax dollars productively. To fulfill its mission, DAS supports state agencies by providing a strong and stable management infrastructure. As part of this effort, DAS works with private enterprise, citizens, and other government entities to develop an efficient service delivery system.

DAS documented 28 datasets in its initial data inventory. While many datasets are statewide in scope, they represent only datasets that DAS (as a distinct agency) manages in its portfolio. The sensitive nature of DAS data, unique characteristics of each system, and differing technical readiness all necessitate intentional data preparation before publishing additional DAS datasets. DAS manages many systems of record for statewide operations that often contain sensitive data not partitioned for publication, and DAS datasets have been developed using a wide array of technical approaches across multiple decades. DAS open data efforts over the next two years will therefore focus on planning for additional publication where possible, including: 
1) ensuring a full and complete data inventory; 
2) resolving technical roadblocks in readying relevant legacy systems for publication; 
3) sufficiently partitioning data across relevant datasets; and 
4) advocating for and aligning any approved DAS investments in technical infrastructure that can equip open data readiness.","2025"
"DCBS","Department of Consumer and Business Services","CONSUMER & BUS SRVCS, DEPT","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Department of Consumer and Business Services (DCBS) works to protect and serve Oregon’s consumers and workers while supporting a positive business climate. As Oregon’s largest consumer protection and business regulatory agency, DCBS is a resource to consumers and businesses in areas involving finance (insurance, investments, Oregon-chartered banks and credit unions, consumer finance companies, mortgage lenders, pawnbrokers, and payday lenders), workplace health and safety, and building safety. 

DCBS has reviewed and updated the dataset inventory of 96 datasets. We will be in the planning phase during this biennium, with a strong focus on fully identifying existing reports on our agency website and current DCBS datasets being published on the data.oregon.gov portal. Our goals during this reporting period will be to analyze these existing data resources and modify them to ensure compliance with the technical standards set by the Open Data Program. 

DCBS has a complex data infrastructure containing numerous data systems and supporting many distinct program areas. We do not anticipate publishing any new datasets during this biennium. DCBS is in the early stages of data governance planning to guide agency-wide data management efforts. This progression will provide a critical framework for future Open Data efforts and directly support our movement towards prioritization leading to automated publishing on data.oregon.gov.","2025"
"DELC","Department of Early Learning and Care","EARLY LEARNING AND CARE, DEPT OF","EDUCATION","COMPLETED","PARTIAL","COMPLETED","PLANNING","The Department of Early Learning and Care (DELC) was created by the Oregon Legislature in 2021 to unify and strengthen Oregon’s early learning system. On July 1, 2023, DELC was established, bringing together the Oregon Early Learning Division (from the Department of Education) and the Employment Related Day Care (ERDC) program (from the Department of Human Services). 

As a new Oregon state agency, DELC supports the development and well-being of all Oregon children and ensures families across the state have access to high-quality early learning and care. DELC also supports child care professionals by providing technical assistance, professional development opportunities, business services, licensing, grants, and other resources. 

The mission of the DELC is to foster coordinated, culturally appropriate and family-centered services that recognize and respect the needs of all children, families, and early learning and care professionals. Our vision is that children, families, early care and education professionals, and communities are supported and empowered to thrive. 

To meet these goals, DELC collects data through child care licensing, publicly funded programs, and other related services. This includes information about child care providers and grantees as well as limited information about children and families who receive early education and care services. These datasets help support day-to-day operations and regular reporting requirements. As a new state agency, DELC is in the process of standing up data operations and is in the planning phase for Open Data. Specifically:  

- The agency is engaged in efforts to inventory relevant datasets.  

- Staff anticipate having an inventory of publicly funded programs datasets in 2024. 

- The agency will continue to add information to the inventory with the goal to provide a complete inventory by the end of the biennium.  

In the next biennium, DELC plans to prioritize publishing relevant state-funded programs information to the Open Data Portal. This will help shine light on how those programs are meeting statewide needs. Today, some of that information is publicly available and can be viewed on data dashboards under the agency data landing page of the DELC website. Future submissions to the Open Data Portal will be guided, in part, by state and federal privacy laws that protect some types of data from disclosure or require modifications, such as aggregation, prior to publication.","2025"
"DEQ","Department of Environmental Quality","ENVI QUALITY, DEPT","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Department of Environmental Quality (DEQ)’s mission is to be a leader in restoring, maintaining and enhancing the quality of Oregon's air, land and water. From monitoring and assessing the quality of our air, water and soil, through regulation that reduces pollution, and looking ahead to what climate change may bring, DEQ supports businesses, communities, and municipalities statewide to preserve and protect Oregon's natural resources and human health.

The datasets captured within the DEQ inventory encapsulate the data created, received, or maintained as each program area carries out their daily work. DEQ completed its first inventory in December 2022 with 251 datasets, though we have since identified additional datasets to be added in the next update. We also piloted publication of agency public records requests data to the state open data portal in 2023. 

DEQ will remain in the planning stage this biennium as we complete inventory updates, mature our data governance program, and establish a data stewardship framework. We requested and received an extension on submitting inventory updates until October 2024 pending onboarding of additional staff.","2025"
"DHS","Department of Human Services","HUMAN SERVICES, DEPT OF","HEALTH","COMPLETED","EXCEPTION GRANTED","COMPLETED","PLANNING","Oregon Department of Human Services (ODHS) serves 1.5 million people each year. ODHS has a significant reach through the ONE Eligibility system, local offices in every corner of the state, subcontracted provider relationships, and mandated responsibilities to protect and serve children, older adults, and people with disabilities. ODHS is guided by our Equity North Star and our commitment to becoming an anti-racist organization. Our strategic direction is shaped by our Diversity, Equity, Inclusion, and Belonging (DEIB) plan, Strategic Technology plan, RiSE culture initiative, and trauma-informed practices. 

ODHS is in the PLANNING phase for participating in Oregon’s Open Data Program; the agency is engaged in planning and preparation to publish datasets in the future. ODHS submitted an exception request for our data inventory to allow time for the Interim Chief Data Officer to get up to speed and assess the current state of ODHS’ inventory efforts. Further, because we are a large organization with a number of sensitive data sets, it is critical that we take steps to establish data governance and appropriately engage community partners before publishing data. Completing the inventory and taking steps toward creating data governance are the interim CDO's primary goals for the remainder of the calendar year. 

ODHS is aligned with the aims of the Oregon Open Data Program to increase transparency and accountability where data are concerned. We appreciate your patience as we manage this transition and prepare to meet the requirements.","2025"
"DLCD","Department of Land Conservation and Development","LAND CONSERV & DEV, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Department of Land Conservation and Development (DLCD) is in a planning phase for the Open Data Project. The majority of DLCD datasets are already publicly available via our Oregon.gov website or other available sources. We now have the authority from the Legislature to increase our staff capacity by adding a new data management work group.  In this new model, DLCD will be able to devote the necessary time to develop the plan for preparing the other datasets to be published. We anticipate this task to be taken on by the new agency data management personnel, led by the new CDIO position.  These positions are projected to be filled in the fall of 2024.","2025"
"DOC","Oregon Department of Corrections","CORRECTIONS, DEPT OF","PUBLIC SAFETY","COMPLETED","PARTIAL","COMPLETED","PLANNING","The Oregon Department of Corrections (ODOC) is responsible for the safe, secure, and humane management of adults in custody, the supervision of individuals on community supervision, and the provision of constitutionally required services within correctional environments. ODOC operates complex statewide systems that support custody operations, community corrections, health and behavioral health services, investigations, facility security, and statutory reporting obligations.
ODOC has completed a high-level data inventory aligned with statewide data governance guidance and has intentionally prioritized a governance first, risk managed approach to open data planning for this biennium. Due to the sensitive nature of correctional data and extensive statutory, regulatory, and privacy restrictions on disclosure, the majority of ODOC datasets are not appropriate for public release in raw or record level form without formal statutory interpretation, legal review, and data privacy assessment. For the current biennium, ODOC does not anticipate publishing new datasets to data.oregon.gov beyond what is already publicly available through existing statutory reports and dashboards, as no material changes in systems, governance structure, or staffing capacity have occurred that would support expansion of public data publication during this cycle.
ODOC’s ability to expand open data publication in future biennia is directly dependent on progress in foundational areas, including establishment of a formal enterprise data governance and stewardship structure, dedicated data management and metadata capacity, standardized data definitions and quality controls, clear internal approval pathways for public data release, and modernized data infrastructure that supports secure aggregation and disclosure controls. Based on its current inventory and governance capacity, ODOC has identified a limited set of highly aggregated, delayed, and de identified summary datasets derived from existing statutory and public reporting products as the most feasible candidates for future release, such as systemwide population trends, historical admissions and releases summarized by year and facility, high level demographic summaries, and aggregate program participation totals. Any dataset considered for publication would undergo legal review, security review, data quality validation, and executive approval prior to release.","2025"
"DOGAMI","Department of Geology And Mineral Industries","GEOLOGY & MINERAL IND, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","DOGAMI helps increase the understanding of Oregon geologic resources and hazards through science and stewardship. There are two (2) programs within the agency. (1) The Geological Survey & Services (GS&S) program develops maps, reports, and data to help Oregon manage natural resources and prepare for natural hazards with focus areas including geologic hazards (earthquakes, landslides, floods, and coastal erosion), geologic mapping, and high-resolution lidar data collection. (2) The Mineral Land Regulation & Reclamation (MLRR) program is a field-orientated regulatory program working with industry and the public that oversees the state mineral production and to minimize the impacts of natural resource extraction and maximize opportunities for land reclamation.

In previous years, DOGAMI has undertaken the activities to compile a data inventory and provide it to the Open Data portal. We have identified the locations of DOGAMI publication data inventories.

DOGAMI has previously submitted a listing of items for publishing on data.oregon.gov. This published dataset contains 4,454 records from the GS&S program that publishes geoscience research papers, bulletins, fact sheets, maps, and other documents to disseminate DOGAMI research findings to the public. The publications are currently housed in a searchable repository on the DOGAMI website that contains publications dated as early as 1937. New publications are added to the dataset frequently, averaging close to 20 publications annually.
Our web site is:    https://www.oregon.gov/dogami/pages/default.aspx

Annually, DOGAMI will review our data sources for new publications that will be added to the open data portal.","2025"
"DOJ","Department of Justice","JUSTICE, DEPT OF","PUBLIC SAFETY","COMPLETED","PARTIAL","COMPLETED","PUBLISHING","The Oregon Department of Justice (DOJ), headed by the Attorney General, serves as the state’s law firm. In addition to providing legal representation to state government, DOJ advocates for and protects all Oregonians, especially the most vulnerable, such as children and seniors. The Oregon DOJ and its ten divisions are tasked with running programs related to child support, charitable activities, district attorney assistance, crime victim compensation, and consumer protection. In all, DOJ and the attorney general have responsibility and authority under more than 350 state laws.

We have identified five datasets for the Open Data Program since our initial inventory. The first is the Attorney General Opinions that are accessible through an online database beginning in 1997 that continues to be updated as opinions are requested by public officials and responded to in writing. The second is the Charities Portal which provides registration information and reports from charities registered in Oregon. The Charities Application offers the same dataset in a downloadable zip .txt file that is updated monthly. DOJ’s fourth dataset provides reports of data exposures through the Data Breach public database. The fifth dataset is a catalog of Public Records Exemptions to assist public officials in determining what information is exempt from public disclosure. We will continue maintaining these datasets for the next biennium.","2025"
"DOR","Department of Revenue","REVENUE, DEPT OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","Open Data Plan for June 2024 through June 2026
The Oregon Department of Revenue administers Oregon tax laws, supports partners’ programs, and acts as a central debt collection agency for other state agencies, boards, commissions, and local governments. DOR provide services for the general public, tax professionals, cities, counties, local taxing districts, tribal governments, and other state agencies. The datasets captured within the DOR inventory have to do with tax returns, operations, and financial information for 63 revenue streams managed by the Department. The nature of tax data includes highly confidential information, which cannot be made public in its original form.
DOR has inventoried 193 datasets, approximately 40 of which are already published in some form by DOR or another agency. Last cycle DOR piloted posting some existing datasets to the data.oregon.gov website. In the 24-26 open data cycle DOR intends to expand on the pilot program and publish additional data from existing datasets that are already at a high level of readiness for publication. These datasets will come from the reports and data published by the DOR Research Section.","2025"
"DPSST","Department of Public Safety Standards and Training","PUBLIC SAFETY STANDARDS & TRNG","PUBLIC SAFETY","PENDING","PENDING","PENDING","PENDING",,"2025"
"DSL","Department of State Lands","LANDS, DEPT OF ST","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","Here is our updated Data Plan.  

Upon statehood, the Federal government granted Oregon 3.4 million acres of school lands to support public education. About 775,000 acres of school lands remain in state ownership today, the revenue from which helps fund K-12 public education. The Oregon Department of State Lands manages school lands and oversees the state’s publicly-owned waterways on behalf of the State Land Board. Over time, the Legislature has expanded the Department’s responsibilities to also include protections of regulated waters and wetlands and oversight of Oregon’s national estuarine research reserve. The Department’s mission is to ensure Oregon’s school land legacy and protect waterways and wetlands of the State through superior stewardship and service. The datasets we capture allow us to fulfill that mission.  

DSL has inventoried 19 datasets, most of which are geographic information system (GIS) data that are already published to our own public-facing GIS Portal in the form of maps and data services. Of the remaining datasets, the Land Administration System (LAS) dataset has been identified as having the most value to publish. The permits we issue often have information that is of interest to local communities and Oregonians need to be able to find information about such projects easily. This system, which was created in 1999, is being replaced next year by the Oregon Waters and Land System(OWLS)/State Land Online.  While we currently have two datasets from LAS published on data.oregon.gov, the underlying data structure will change and expand greatly with OWLS, and it will likely replace LAS as the most requested dataset.  When we go live, the LAS dataset will be migrated to OWLS and will be re-published to data.oregon.gov, depending on the need and as our data evolves.","2025"
"ERB","Employment Relations Board","EMPLOYMENT RELATIONS BRD","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","MAINTENANCE","The Employment Relations Board (ERB) provides dispute resolution and administers the collective bargaining law that covers public employees of the State of Oregon and its cities, counties, school districts, and other local governments; hears and decides appeals from state employees concerning personnel actions; and administers the collective bargaining law that regulates private employers who are not covered by the National Labor Relations Act.
The ERB is comprised of the Board, the Hearings Office, and the State Conciliation Service. The three-member Board is a neutral quasi-judicial body whose members are appointed by the Governor and confirmed by the Senate. The Governor selects one member as Board Chair to serve as the agency administrator. Board members apply the law in a neutral and objective manner without regard to their background. 
The Hearings Office is the point-of-entry for contested case and representation filings.  This division conducts hearings on contested cases and issues recommended orders. 
The State Conciliation Service mediates labor relations disputes and provides labor-management and bargaining training to employers and employees. The State Conciliator is the head of the State Conciliation Service.   
The ERB data inventory includes the 10 datasets that will be published in the 23-25 biennium.  ERB will annually publish the 10 existing datasets on data.oregon.gov.  ERB completes its agency data inventory in July of each fiscal year. ERB will continue to evaluate current published data to ensure this data meets the standards for open datasets set by the Open Data Program and revise or expand these datasets as necessary.","2025"
"HECC","Higher Education Coordinating Commission","HI-ED COORD CMSN","EDUCATION","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Higher Education Coordinating Commission (HECC) is the State of Oregon’s Commission and agency working to improve equitable access to and success in higher education and workforce training for Oregonians statewide. The HECC administers about $1.8 billion  per year in postsecondary education and workforce funding supporting community colleges, public universities, students, workforce boards, and other partners. We also coordinate postsecondary degrees, programs, and academic pathways; administer key Oregon financial aid, workforce, and other programs; evaluate the success of higher education efforts to guide progress; and provide strategic guidance to leaders and partners on a vision for Oregon higher education planning, funding, and policy. We directly serve Oregonians by awarding grant and scholarship aid to students, and connecting Oregonians with workforce and training resources.

HECC has inventoried nineteen datasets and identified seven that can be published to the Open Data portal. These datasets are related to workforce training programs, community colleges courses, and public universities. These datasets focus on: 
1.)	Dislocated worker events
2.)	Workforce training programs receiving funding from the federal Workforce Innovation Opportunity Act (WIOA)
3.)	Courses of study offered by Oregon community colleges
4.)	Financial overview reports of the Oregon community colleges
5.)	Detailed financial reports of the Oregon community colleges
6.)	Financial overview reports of the Oregon public universities
7.)	Statewide programs offered by Oregon public universities

Publication of these datasets began in July of 2022 and are now in an operational state. HECC will continue to maintain these and evaluate all new data collections to determine if they can be published.","2025"
"LTCO","Oregon Long Term Care Ombudsman","LONG TERM CARE OMBUD","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Office of the Long-Term Care Ombudsman (OLTCO) is an agency that functions separately and independently from any other state agency. The mission of the agency is to protect individual rights, promote independence, and ensure quality of life for Oregonians living in long-term care and residential facilities and for Oregonians with decisional limitations. 

The datasets identified in OLTCO’s inventory embody the data created by each program as they carry out their functions and duties. OLTCO has completed an initial inventory and identified data within the RTZ Get Care dataset as the most valuable to publish this biennium. This dataset contains the complaint investigation and facility visitation from the Long-Term Care Ombudsman program.

Since the agency already reports federally (federal fiscal year – Oct 1-Sept 30) on much of this information, the plan is to keep the same timeframes as is required for the agency’s federal reporting. 

The plan is to report complaint information: complaint codes (types of complaints received), status of those complaints – closed and pending, facility type, city, county, status of complaint, complaint verification, referrals made to other entities, complainant type.

We will report data as of October 2023 for this plan in June 2025.","2025"
"LUBA","Land Use Board of Appeals","LAND USE BRD OF APPEALS","NATURAL RESOURCES","PENDING","PENDING","PENDING","PENDING",,"2025"
"MHRA","Mental Health Regulatory Agency","MENTAL HEALTH REGULATORY AGY","HEALTH","COMPLETED","EXCEPTION GRANTED","COMPLETED","PLANNING","The Mental Health Regulatory Agency (MHRA) protects the health, safety, and wellbeing of Oregon citizens by overseeing and supporting the boards of Licensed Professional Counselors and Therapists (BLPCT) and Psychology (BOP).  MHRA serves as the operational entity for fulfilling the Boards’ functions of licensing and compliance.  Professions regulated by MHRA include licensed professional counselors (LPC), licensed marriage and family therapists (LMFT), psychologists, and psychologist associates.  

MHRA will accomplish an inventory of datasets during the current biennium.  The agency will focus on data created in carrying out core business functions, to include data related to licenses issued by the agency.  This dataset includes license and practice details such as type, status, issue and expiration dates, practice location, and public order status. 

From the identified inventory, MHRA will identify data for publishing.   This work is expected to begin in the current biennium and continue into future biennia as needed.  As much of this data is already available to the public via the Agency’s licensee lookup function, data will be reviewed and considered for publishing in an aggregated manner.   Activities will include assessing privacy protections, cleaning the data, building an extraction process, testing, and drafting metadata and a data dictionary. MHRA will also be evaluating existing and new datasets as part of a licensing system modernization project currently underway.","2025"
"OACO","Oregon Advocacy Commissions Office","ADVOCACY COMMISSIONS, OR","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Advocacy Commissions (OACs), leaders of underrepresented communities in Oregon, share their expertise and knowledge to inform equity in state policy. The OACs research issues, educate the public, and provide advice to state policy and decision makers, including the Governor, legislators, and state agency leadership. The OACs are continually looking for ways to improve the lives and livelihoods of all Oregonians, and encourage diverse leadership in state government.

The Oregon Advocacy Commissions Office (OACO) was established to support the statutory work of all four OACs:

Oregon Commission on Asian & Pacific Islander Affairs (OCAPIA)
Oregon Commission on Black Affairs (OCBA)
Oregon Commission on Hispanic Affairs (OCHA)
Oregon Commission for Women (OCFW)

Currently, the Oregon Advocacy Commissions Office is in the planning phase. We are assessing what dataset we can publish within the next biennium.","2025"
"OBCE","Oregon Board of Chiropractic Examiners","CHIROPRACTIC EXAM, BRD OF","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2025"
"OBD","Board of Dentistry","DENTISTRY, BRD OF","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Board of Dentistry (OBD) is charged with the regulation of the practice of dentistry, dental therapy and dental hygiene by setting standards for entry to practice, examination of applicants, issuance and renewal of licenses, and enforcing the standards of practice. The Board also is required by law to establish standards for the administration of anesthesia in dental offices. The Board determines dental procedures that may be delegated to dental assistants and establishes standards for training and certification of dental assistants. The mission of the Oregon Board of Dentistry is to promote quality oral healthcare and protect all communities in the State of Oregon by equitably and ethically regulating dental professionals.
The OBD has completed an initial inventory and identified data related to licensing and enforcement as the most ready and valued dataset to publish this biennium. This dataset covers OBD’ enforcement activities and licensing data. Publication of this dataset will begin at the beginning of the fiscal year and should encompass 2-4 datasets on data.oregon.gov.","2025"
"OBDD","Oregon Business Development Department","BUSINESS OREGON","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Business Development Department, dba Business Oregon, is the state’s economic development agency. Business Oregon invests in Oregon’s businesses, communities, and people to promote a globally competitive, diverse, and inclusive economy, in service of a vision of prosperity for all Oregonians. Core functions include rural community development and infrastructure financing; business retention, expansion, and recruitment; export promotion and international trade; industry research and development and entrepreneurship; small business assistance; and support for arts and cultural organizations. The overall work of the department is guided by a nine-member commission with additional input and expertise provided by several other advisory bodies and boards. Business Oregon’s datasets include the data created as each agency program conducts its activities and daily work. The most recent inventory has datasets that have been combined and refined as well as existing datasets and new datasets resulting from newer programs. 

Business Oregon’s Open Data Plan going forward consists of the following components: further refining inventory where needed, publishing 3-5 additional datasets, and starting to automate the publishing of our agency’s datasets. Business Oregon will continue publishing the 30 existing datasets on data.oregon.gov at an annual frequency and focus on ensuring that metadata and data dictionaries are updated and/or completed for all published datasets.  Business Oregon will continue to further identify and prioritize additional datasets for publication on data.oregon.gov during the ’25-‘27 biennium. Business Oregon will also evaluate current published datasets to ensure these datasets meet any new policies or standards for open datasets set by the Open Data Program and revise or expand these datasets as necessary. Business Oregon commits to publishing 3-5 additional datasets more than last biennium and working towards automating said datasets beyond the current 30 on data.oregon.gov by the beginning of the 2026 fiscal year.","2025"
"OBMI","Oregon Board of Medical Imaging","MEDICAL IMAGING, BRD OF","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","OBMI has inventoried 11 datasets related Applicant information, complaints, and professional training programs as the most valuable resources to publish this biennium.  Publication of these datasets will begin at the beginning of the fiscal year.","2025"
