Report Year,Agency Name,Data Set Title,Data Set Description,Update Frequency,Planned Release Date,Date Status,Agency Comment
2019,Department of Transportation (DOT),Agency Authorized Parking Permit (AAPP) or On Street Authorized Permit (OSAP),"Parking permits issued to government employees, teachers and private school facilities to travel between multiple facilities with authorized on-street parking spaces.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Agency Business Parking Permit (ABPP),"Parking permits issued to government employees who need to park while conducting official business, valid for three hour parking in No Parking, Truck Loading and metered zones, submitted through each agency’s DOT liaison and distributed by DOT through the employee’s agency liaison.",To Be Determined,12/31/2019,Updated,"Due to the complexity of the dataset, data will be released by 12/31/2019."
2019,Department of Transportation (DOT),"Annual Bridge Volume Counts 
 (Includes Manhattan River Crossings)","Traffic volume counts collected on all NYC major bridges. For three reports made public (NYC DOT Bridge Report, Manhattan Crossing Report, Screenline Report)",To Be Determined,12/31/2019,Updated,"Due to the complexity of the dataset, data will be released by 12/31/2019."
2019,Department of Transportation (DOT),Annual On-Street Parking Permit (AOSPP),"Travel permits issued to not-for-profits organizations, which allow vehicles conducting business to park for particular purposes in designated parking zones or locations for short, prearranged periods of time.",To Be Determined,12/31/2019,Updated,"Due to the complexity of the dataset, data will be released by 12/31/2019."
2019,Department of Transportation (DOT),Bicycle Counters,Proximity counters used to count how many bicyclists use bicycling infrastructure at key locations,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Bollards Tracking and Installations,Database that tracks bollards installed in-house,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Bridge Strike,Database of Bridge Strikes occurrences on NYC streets that have low clearances,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Bus Lanes,LION segments for all blocks with bus lanes in NYC,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Bus Pad Tracking,Inventory of defective and/or bus pad installation requests and contract status of each location.,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Central Business District Counts,Traffic (vehicle & bicycle) volume data on various avenues between 60th and 61st,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),City Owned Bicycle Rack Location Work Order,City- owned bicycle racks tracks repair and work orders.,Monthly,12/31/2020,New,
2019,Department of Transportation (DOT),Curb Metal Protruding Database,This database tracks all complaints and repair regarding steel that is protruding from the curb (defective steel faced curb),To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Design Marking Orders,Marking orders,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Enhanced Crosswalk,Uncontrolled crosswalk,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Expedited Sidewalk Repair Database,Database tracks property owner requests and sidewalk repair within the Expedited Program (quicker sidewalk repair at a premium cost to mobilize a sidewalk contract outside of the assigned Community Board),To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Express Lane Travel Permit,"Travel permits issued to companies with ambulates, commuter vans, shuttles, and vehicles bearing bus plates to provide access to the Long Island & Gowanus Expressways’ HOV Express lanes.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Highway Signs Installations,Database that tracks all signs installed in-house on highways,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Highway Travel Permit (Annual),Travel permits issued almost exclusively to companies operating high occupancy vehicles (i.e. commuter/ school buses and vans) for use of parkways otherwise available only to passenger vehicles.,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Highway Travel Permit (Single Use),"Travel permits issued to not-for-profit organizations, summer camps and others using high occupancy vehicles (e.g. Construction projects, school buses and vans) to access parkways otherwise available only to passenger cars for a short amount of time.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Leaning Bars,Resting Bars for Select Bus Service,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Martello Bollards,A bollard embedded in the ground to ensure a high level of impact protection from vehicles in pedestrian areas.,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Midtown in Motion- EZ Pass Readers,Counters that determine the number of EZ Pass-enabled cars in the Midtown in Motion focus area,Annually,12/31/2020,New,
2019,Department of Transportation (DOT),NYC Streets Capital Projects,"Intranet and mobile-based, GIS integrated Capital Project Search and Planning application for internal employees.",Monthly,12/31/2020,New,
2019,Department of Transportation (DOT),On-Street Application (SU) (Single Use ),"Travel permits issued for a particular purpose in designated parking zones or at specific locations for prearranged periods of time, and is not issued for commercial activities or to commercial vehicles.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Pedestrian Ramp Database,"The Pedramps application is used to record the accessibility of a street corner, type and grade of pedestrian ramps.",Daily,12/31/2020,New,
2019,Department of Transportation (DOT),Pedestrian Space Added,Tracking sheet of pedestrian space added.,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),PPPD Temporary On-Street Tracking (Single Use Tracking),Temporary Use On-Street Parking permit (NYC-PPPD)- 3 month permit issued to City PPPD permit holders whose permits have expired while awaiting a recertification decision by DOHMH.,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Private Ferry Monthly Ridership,Total ridership for private ferry operators,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Real Time Passenger Information (RTPI) Sign Locations,Bus stop points with Bus Time pole signs,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Regulatory sign repair,Average time to repair priority regulatory signs after notification (days),To Be Determined,12/31/2019,Updated,"Due to the complexity of the dataset, data will be released by 12/31/2019."
2019,Department of Transportation (DOT),Screenline Traffic Volume,Traffic volume entering and leaving the boundaries of the city,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Sidewalk Database,"Sidewalk Management tracks, organizes and reports on status of New York City sidewalks.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Sidewalk Dismissal Tracking,Database tracks dismissal inspection requests and results from property owners who repair their sidewalk privately.,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Sidewalks Correspondence,Database tracks all written correspondence for the Sidewalk Program.,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Special Events Inspection Reports,"Report of inspection results from a special events route. Defects such as potholes, sunken sewer drains, cracked sidewalks or construction work are noted on a spreadsheet.",Monthly,12/31/2020,New,
2019,Department of Transportation (DOT),Speed Reducers,"Workflow-based application to track Speed Reducer requests, studies and implementations.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Staten Island Ferry Dataset (Schedule),"The Staten Island Ferry carries over 24 million passengers a year between St. George Terminal in Staten Island and Whitehall Terminal in Manhattan. On a typical workday, the ferry makes 118 trips. This General Transit Feed Specification (GTFS) (https://developers.google.com/transit/gtfs/) dataset includes information about the ferry terminal, and all scheduled weekday, weekend and holiday trips. The ferry's schedule may be adjusted due to heavy weather or low visibility. Adjustments are announced by email and in DOT's Twitter stream.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Staten Island Ferry Passenger Counts,Total ridership for Staten Island Ferry,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Step Streets Locations,Step Streets are streets that are composed entirely of steps instead of a roadway. They were built to avoid extreme steep roadway and provide access for public use. They represent an outdoor stairway that connect two different elevations,Annually,12/31/2019,New,
2019,Department of Transportation (DOT),Street Improvement Project (SIP),All completed and planned street changes that are part of a street improvement projects,To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Street Seats,"Street Seats is a citywide program where partners apply to transform underused streets into vibrant, social public spaces between the months of March through December (the Season). Street Seats are installed in the roadbed along the curb line to create an attractive setting for eating, reading, working, meeting a friend or taking a rest.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Street Travel Permit,"Permit to allow approved business vehicles to travel on Church Street Bus Way at Battery Park and Greenwich Street, an otherwise restricted road.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Temporary Art Community Commissions Tracking,"DOT Art collaborates with community-based organizations to commission artists to design and install temporary art on DOT property. A minimum of one priority site is identified by local organizations with support from DOT Borough Offices and Operating Units in each borough per application cycle. Selected artists are eligible to receive up to $12,000 towards direct project costs in addition to engineering support. Partner organizations work closely with selected artists throughout the project phases and must agree to maintain the artwork and remediate the site upon completion of the display period. Artwork remains installed for 11 months.",To Be Determined,12/31/2019,No Change,
2019,Mayor's Office of ThriveNYC,Outcome measures,Data on the approximately 95 outcome indicators associated with Thrive's programmatic work.,Annually,12/31/2019,New,
2020,Campaign Finance Board (CFB),2001-2017 Financial Analysis,"Financial Analysis of 2001, 2003, 2005, 2009, 2013 and 2017 Election campaigns",Historical Data,12/31/2020,New,
2019,Department of Transportation (DOT),Traffic Information Management System- TIMS,"TIMS standardizes the workflow for accessing and analyzing traffic count data, capturing accurate geographic and temporal information and Streamlining the process of requesting data.",To Be Determined,12/31/2019,No Change,
2019,Department of Transportation (DOT),Weigh in Motion,"Provides truck volume, speed, gross vehicle weight, axle weight of trucks at Weigh-In—Motion sensors embedded within the roadway located on Van Dam St and Rockaway Blvd in Queens, NY",To Be Determined,12/31/2019,No Change,
2019,Department of Veterans' Services (DVS),DVS-ServiceRequests,Information pertaining to requests for accessing and navigating services and benefits.,Annually,12/31/2019,New,
2019,Department of Veterans' Services (DVS),DVS-VeteranResource-Map,"Information pertaining to resources and services available to veterans, service members, and their families. Data includes location, hours of operations, and types of services or resources.",Annually,12/31/2019,New,
2019,Department of Veterans' Services (DVS),DVS-VPC-Housing-Report,Dataset includes the cases of veterans and veterans with families moved through the Veteran Peer Coordinator (VPC) Program.,Annually,12/31/2019,New,
2019,Fire Department of New York City (FDNY),Location of Operational Call Boxes,Location of operational Call Boxes.,Annually,10/31/2019,Updated,Additional data cleaning and release approval
2019,Mayor Office to End Domestic and Gender-Based Violence (ENDGBV),Annual Report on Family Justice Center Client Satisfaction Surveys,"This data is from an annual report to be provided in compliance of Local Law 40 of 2019, covering the time period July 1 through June 30. The data set includes: disaggregated by borough. The dataset includes: services received, utilization of language interpretation services, language of interpretation, what the client found most helpful about visit to FJC and would the client recommend the Family Justice Center to others. The data will be disaggregated by borough.",Annually,11/30/2019,New,
2019,Mayor Office to End Domestic and Gender-Based Violence (ENDGBV),Annual Report on Outreach to and Training of Cosmetologists,"This data is from an annual report to be provided in compliance of Local Law 39 of 2019, covering the time period July 1 through June 30. The data set includes:  a summary of outreach efforts to the cosmetology community, including the number of trainings provided for cosmetologists, disaggregated by borough.",Annually,11/30/2019,New,
2019,Mayor's Office of Contract Services (MOCS),CBO Expense Report,Annual Capacity Building Oversight spend and budget.,Annually,12/31/2019,Updated,MOCS is revising its data release process so more time is needed to gather this information in accordance with the new process.
2019,Mayor's Office of Contract Services (MOCS),Contract List,"List of contracts by vendor.  The report will include City Agency, contract vendor, award method, and contract value.",Annually,12/31/2019,Updated,MOCS is revising its data release process so more time is needed to gather this information in accordance with the new process.
2019,Mayor's Office of Contract Services (MOCS),Local Law 22 of 2015 Worker Cooperative Reports,"The report includes the following: the number and total dollar value of City contracts awarded to worker cooperatives, disaggregated by agency and type of business; the number and total dollar value of all City contracts, disaggregated by agency and type of business; and the percentage of City contracts awarded to worker cooperatives, disaggregated by agency and type of business.",Annually,12/31/2019,Updated,MOCS is revising its data release process so more time is needed to gather this information in accordance with the new process.
2019,Mayor's Office of Contract Services (MOCS),Vendor List by Commodity,This list will include commodity enrollments by Passport-enrolled vendors.,To Be Determined,12/31/2019,New,
2019,Mayor's Office of Criminal Justice (MOCJ),Supervised Release,"Monthly reporting on screenings, intakes and outcomes.",Quarterly,02/29/2020,New,
2019,Mayor's Office of Immigrant Affairs (MOIA),Legal Initiatives and Immigrant Inclusion,"Know your rights workshops conducted (date, borough, zip code, geocode, # attendees, social issue(s) raised/addressed)Legal Screenings Conducted (date, borough, zip code, site type, geocode)Interpretations Provided (date, borough, zip code, type (mayoral vs. other), language(s) provided, geocode).",As Needed,12/31/2019,Updated,The data is under agency review.
2019,Mayor's Office of Management and Budget (OMB),State of Good Repair Needs,"This dataset contains information for a select number of agencies, showing the needs necessary to preserve the structural integrity for each of their capital assets. The numbers can be summarized by Agency to match the Asset Management Executive Summary publication. Amounts are in dollars. The dataset is updated once a year.",Annually,11/22/2019,New,
2019,Mayor's Office of Operations (OPS),Agency Based Voter Registration,"Number of voter registration forms distributed, the number of registration forms completed at an agency office to the extent readily ascertainable, and the number of registration forms transmitted to the Board of Elections. Participating agencies include:  ACS, BIC, CCRB, CCHR, SBS, DFTA, DCAS, DCP, DCA, DOC, DCLA, DEP, DOF, DOHMH, DHS, HPD, DPR, DOP, DORIS, TLC, DOT, DYCD, FDNY, HRA.",Bi-Annually,10/31/2019,New,
2019,Mayor's Office of Operations (OPS),Agency Performance Mapping,Critical city agency performance measures at the community level.,Annually,10/31/2019,New,
2019,Mayor's Office of Operations (OPS),NYC Rezoning Tracker,Capital and programmatic commitments associated with neighborhood-scale rezonings.,Annually,10/31/2019,New,
2019,Mayor's Office of Operations (OPS),Three Quarter Housing Violations Report,Violations found in three-quarter housing.,Quarterly,10/31/2019,New,
2020,Campaign Finance Board (CFB),2001-2017 Intermediaries,"Intermediary contributions to 2001, 2003, 2005, 2009, 2013, and 2017 Election campaigns",Historical Data,12/31/2020,New,
2020,Campaign Finance Board (CFB),2013 Public Funds Payments,Public Funds payments to 2013 Election campaigns,Historical Data,12/31/2020,New,
2020,Campaign Finance Board (CFB),2017 Public Funds Payments,Public Funds payments to 2017 Election campaigns,Biannually,12/31/2020,New,
2024,Department of Parks and Recreation (DPR),Forestry Permits and Plan Review,Tracking of applications for work involving  NYC Parks trees,Monthly,12/31/2025,Updated,Reduced staffing resources at NYC Parks have limited our capacity to properly scope and prepare this dataset for publication.
2024,Department of Parks and Recreation (DPR),Let's Green NYC,"This dataset captures information (Park, dates, number of volunteers, etc.) for the NYC Parks Let's Green NYC volunteer opportunity program",To be Determined,12/31/2024,No Change,
2019,Mayor's Office of Operations (OPS),Veterans Receiving Certain City Services,"Number of veterans applying for and being approved for Mitchell-Lama housing, the number of fee-exempt mobile food vending licenses and permits issued by the Department of Health and Mental Hygiene to veterans, the number of general vending licenses issued by the Department of Consumer Affairs to veterans, the number of veterans who submitted applications to the Department of Consumer Affairs for a general vending license, the total number of veterans residing in the city who utilized a HUD-VASH voucher, and the total number of civil service examination applications received by the Department of Citywide Administrative Services for which the applicant claimed a veterans credit.",Annually,10/31/2019,New,
2019,City Council (NYCC),Land use items,This list contains information related to land use items before the Council.,Monthly,12/31/2019,No Change,
2019,City Council (NYCC),NYC Council Capital Projects,A dataset of capital projects funded by the Council.,Annually,12/31/2019,Updated,Being prepared as part of overall data set updates on this topic.
2019,Public Design Commission (PDC),Public Art Database,"Inventory of the City's collection of outdoor public art, monuments and commemorative markers.",As needed,12/31/2019,New,
2019,Queens Borough President (QBP),Capital Grant Awards,List of funding from the Queens Borough President's Office for capital projects,Annually,12/31/2019,New,
2019,Queens Borough President (QBP),Discretionary Grant Awards,List of discretionary grants issued by the Queens Borough President's Office,Annually,12/31/2019,New,
2019,Small Business Services (SBS),Businesses Receiving Training Fund Awards,Listing of businesses who received an award from the Training Funds program.,Annually,10/31/2019,Updated,Delay release due to Agency relocation to new building
2019,Taxi and Limousine Commission (TLC),For-Hire Vehicle Initial Inspection Schedule,"This list will mirror the Medallion Taxi Initial Inspection Schedule dataset, to include information for FHV inspections.",Daily,06/30/2020,New,
2019,Taxi and Limousine Commission (TLC),TLC Licensed Driver Drug Test Schedule,"For each TLC-licensed driver, this list will show the date by which they must complete their next drug test, allowing the drivers and businesses who employ them to check the date and send reminders.",Daily,06/30/2020,New,
2019,Taxi and Limousine Commission (TLC),TLC Licensed Drivers,"This list will replace the separate lists for Yellow, Green and FHV drivers that we presently have on open data, which confuse and mislead users. Includes identifying information for the driver (name, license no.), status information for the driver (TLC license status, TLC license expiration, DMV license status) and the classes of vehicles that can be driven (wav? Commuter van? Stretch limo? Paratransit?)",Daily,03/31/2020,New,
2019,Taxi and Limousine Commission (TLC),TLC Licensed Vehicles,"This list will replace the separate lists of vehicles for FHV, SHL and Medallion and acknowledge the difference between the vehicle and corresponding permits that authorize the vehicle to operate. Includes vehicle-identifying information (license number, license type, vehicle type, VIN), information about the corresponding permit (SHL permit, medallion number) vehicle status information (current/inactive?, in storage?, expiration/retirement data), etc.",Daily,03/31/2020,New,
2019,Taxi and Limousine Commission (TLC),TLC New Vehicle Application Status,"This list will mirror the TLC New Driver Application Status list, to show the status of vehicles that are working through the application process and highlight outstanding requirements.",Daily,06/30/2020,New,
2020,Administration for Children's Services (ACS),Detention Admissions by Community District,The table displays detention admissions by youth home community district.,Annually,12/31/2020,New,
2020,Brooklyn Borough President (BPBK),Bike Lanes,Bike lanes in Brooklyn,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),BK Cornerstone Recipients,Listing of cornerstone recipients.  These recipients are chosen by their block associations,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),Brooklyn Arts Council Grantees,This map represents awardees of Destination Brooklyn to support the promotion of arts and culture,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),"Brooklyn Hospitals, Urgent Care & Health Centers","Listing of hospitals, urgent care, and health centers and their location",As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),Brooklyn Parks,Map of all parks in Brooklyn,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),Brooklyn Police Precincts,Listing of precincts and their contact information,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),Brooklyn's MWBE Firms,Directory of certified Brooklyn MWBE firms,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),Capital Budget,Listing of capital projects with BPs allocation and their respective community districts,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),Food Pantries,Location of food pantries in Brooklyn and the distribution schedule,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),Green Markets,Listing of green markets with their hours of operation,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),NYCHA Housing,Listing of NYCHA housing and their locations,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),Public Pools,Public pools in Brooklyn,As Needed,06/30/2021,New,
2020,Brooklyn Borough President (BPBK),Public Schools,Directory of public schools in Brooklyn,As Needed,06/30/2021,New,
2020,Business Integrity Commission (BIC),Fatal Collisions,Details of fatal collisions that occurred in NYC and involve a BIC-Regulated Vehicle.,Quarterly,03/31/2021,New,
2020,Campaign Finance Board (CFB),Contributions to 2021 Election campaigns,Contributions to 2021 Election campaigns,Biannually,12/31/2020,New,
2020,Campaign Finance Board (CFB),Doing Business Contributions Summary,List of Contributors found in the Doing Business database,Biannually,12/31/2020,New,
2020,Campaign Finance Board (CFB),Expenditures by 2021 Election campaigns,Expenditures of 2021 Election campaigns,Biannually,12/31/2020,New,
2020,Campaign Finance Board (CFB),Financial Analysis of 2021 Election campaigns,Financial Analysis of 2021 Election campaigns,Biannually,12/31/2020,New,
2020,Campaign Finance Board (CFB),Intermediary contributions to 2021 Election campaigns,Intermediary contributions to 2021 Election campaigns,Biannually,12/31/2020,New,
2020,Campaign Finance Board (CFB),Late/Missing Disclosure Statements,List of Late and Missing Disclosure Statements,Biannually,12/31/2020,New,
2020,Commission on Human Rights (CCHR),Pre-Complaint Resolutions in 2019,The dataset contains the number of pre-complaint resolutions by the Commission's  each month.,Annually,12/31/2020,New,
2020,Department of Buildings (DOB),DOB AHVs,After Hours Variances issued,Daily,12/31/2020,New,
2020,Department of Buildings (DOB),DOB NOW: Build LAA,All Limited Alteration Application (LAA) filings in DOB NOW.,Daily,06/30/2021,Updated,This data set requires additional time for technical implementation
2020,Department of Buildings (DOB),DOB NOW: Build PA/TPA,All Place of Assembly (PA)/Temporary Place of Assembly (TPA) filings in DOB NOW.,Daily,12/31/2021,Updated,This data set requires additional time for technical implementation
2020,Department of Buildings (DOB),DOB NOW: Licensing,All applications for a professional license in DOB NOW.,Daily,06/30/2022,Updated,This data set requires additional time for technical implementation
2020,Department of Buildings (DOB),DOB NOW: Safety Elevator Compliance Filings,All Elevator Compliance Filings in DOB NOW.,Daily,12/31/2022,Updated,This data set requires additional time for technical implementation
2020,Department of City Planning (DCP),ZAP Search data,"Data related to filed Land Use Applications, both ULURP & Non-ULURP. Data includes project name, project status, project description, project geography and other general project info.",Monthly,10/31/2020,Updated,DCP is in the process of finalizing which fields are actively being used in the ZAP database. We are also in the process of actively updating and modifying the entities that house the data. Since the database and data are not stable we are waiting for that to be completed before creating a final data product.
2020,Department of City Planning (DCP),2010 Census Demographic Profile 2000-2010 (NYC/Borough level),Demographic profile comparing 2000-2010 census data at city and borough level,Decennially,12/31/2020,New,
2020,Department of City Planning (DCP),2010 Census Demographic Profile 2010 (NYC/Borough level),Demographic profile of 2010 census data at city and borough level,Decennially,12/31/2020,New,
2020,Department of City Planning (DCP),Base Flood Elevation - 2015 PFIRMS (Elevation Above Grade),The height of the 2015 PFIRM BFEs above ground elevation based on the 2010 NYC Digital Elevation Model.,As Needed,12/31/2020,New,
2020,Department of City Planning (DCP),"Census Block Equivalency, 1990 to 2000 NYC",New York City 1990 to 2000 Census Block Equivalency,Historical Data,12/31/2020,New,
2020,Department of City Planning (DCP),Future Floodplain 2080 (100 yr),future floodplains in the 2080s based on a layering of high estimates for SLR by NPCC on top of the 2013 PFIRM BFEs for the 1% annual chance floodplain,As Needed,12/31/2020,New,
2020,Department of City Planning (DCP),Future Floodplain 2100 (100 yr),future floodplains in the 2100s based on a layering of high estimates for SLR by NPCC on top of the 2013 PFIRM BFEs for the 1% annual chance floodplain,As Needed,12/31/2020,New,
2020,Department of City Planning (DCP),Limit of Moderate Wave Action (LiMWA) - 2015 PFIRMs,"The LiMWA identifies areas that will be affected by waves with a 1.5 foot wave height or greater within the coastal A zone. While FEMA does not require special floodplain management standards based on LiMWA delineations, it is likely that properties and structures within the LiMWA will receive substantial damage from wave action during a 1%-annual-chance flood event.",As Needed,12/31/2020,New,
2020,Department of City Planning (DCP),Community District Profile Indicators,"Socio-economic, demographic and other indicators for each Community District of NYC",As Needed,07/31/2021,New,
2020,Department of Citywide Administrative Services (DCAS),Agency Military Liaisons,A list of agency military liaisons for the Extended Military Benefits Program,As needed,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Annual City Council Report on Eligible List Utilization,The annual report to the City Council on eligible list utilization,Annually,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Annual Examination Schedule of Each Fiscal Year,"An annual list of civil service exams. The exam schedule is posted every July, lists all upcoming exams for the fiscal year, and is updated every month. Civil service exams may be available only for a limited time and it may be a few years before a certain exam is offered again.",Annually,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Charter Mandated Quarterly Report on Provisionals,The number of provisional employees by agency and title,Quarterly,11/30/2020,New,
2020,Department of Consumer and Worker Protection (DCWP),Labor Policy and Standards Intake Records,Intake records created in response to inquiries and complaints received by DCA's Office of Labor Policy and Standards,Monthly,12/31/2020,New,
2020,Department of Consumer and Worker Protection (DCWP),Language Line Interpretation Services,List of all Language Line calls made by DCA to provide translation services.,Monthly,12/31/2020,New,
2020,Department of Consumer and Worker Protection (DCWP),New Yorkers' Use of Banks and Their Perception of Financial Security,An online data visualization tool created to better understand New Yorkers’ use of banks and sense of financial health and develop more effective future programming and products.,Historical Data,12/31/2020,New,
2023,Department of City Planning (DCP),Base Flood Elevation - 2015 PFIRMS (Elevation Above Grade),The height of the 2015 PFIRM BFEs above ground elevation based on the 2010 NYC Digital Elevation Model.,As Needed,12/31/2023,Updated,This is not DCP data but we agreed to post on behalf of FEMA since this appears in a DCP application. We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and these are lower priority than other datasets.
2023,Department of City Planning (DCP),"Census Block Equivalency, 1990 to 2000 NYC",New York City 1990 to 2000 Census Block Equivalency,Historical Data,12/31/2023,Updated,We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and these are lower priority than other datasets.
2020,Department of Citywide Administrative Services (DCAS),"Civil Service Titles Subject to Investigation Before Appointment as Determined by the The Fair Chance Act, Local Law 63 of 2015","New Subdivision 11-a(a) of Section 8-107 of the Administrative Code of the City of New York (the New York City Human Rights Law), added by Local Law 63 of 2015 (the Fair Chance Act), prohibits employers, including City agencies, from inquiring or making a statement about an employment applicant's record of arrests and criminal convictions until after the employer has extended a conditional offer of employment to the applicant.

Pursuant to Section 8-107(11-a)(f)(2), the prohibition does not apply to an application for a position with the City of New York that the Commissioner of Citywide Administrative Services has determined involves law enforcement, is susceptible to bribery or other corruption, or entails the provision of services to or safeguarding of persons who, because of age, disability, infirmity or other condition, are vulnerable to abuse. The Commissioner has determined that these titles, also known as ""Investigation before Appointment"" (IBA) titles, meet those conditions and are exempt from the prohibition pursuant to the section 8-107(11-a)(f)(2). DCAS, or an agency to which it has delegated authority, conducts the investigations of Investigation before Appointment titles.",As needed,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),EEO-4 Reports,"A federally-mandated report that provides a summary of a jurisdiction's workforce composition by agency function, job category, salary, race/ethnicity, and gender",Biennially,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Inventory of Eligible Lists,A summary of the number of eligibles on certified promotional and open competitive exam lists.,Monthly,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),NYC EV Fleet Station Network,A list/map of charging stations at city garages and parking locations around the city to support electric and hybrid plug-in vehicles,As needed,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Pre-Qualified List,"The Office of Citywide Procurement established a list of pre-qualified general contractors for furnishing all labor, materials and equipment, necessary and required to perform energy efficient work on various capital and expense funded projects throughout the City.",As needed,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Provisional Reduction Report - Illegal Indicator,An anonymized list of provisionals by agency and civil service titles indicating whether they are illegally serving in the title,Monthly,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Real World Fuel Efficiency,A report of city vehicles and actual MPG compared to EPA estimated MPG,Annually,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Senior Building Custodian of DCAS-Managed Buildings,A list of the Senior Building Custodian of every DCAS-managed building,As needed,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Upcoming Opportunities for M/WBEs under the M/WBE Non-Competitive Small Purchase Method for City-Certified M/WBEs,The vital NYC Minority and Women-Owned Business Enterprise program (M/WBE) is designed to promote City government contracting and subcontracting opportunities for businesses certified as minority and women-owned with a real and substantial presence in New York City and surrounding counties,As needed,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Vehicle Auction List,A list of vehicles to be auctioned at PropertyRoom.com,Bi-Weekly,11/30/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Building Auditing Report,"This report reviews annual progress implementing
the audit and retro-commissioning requirements of
LL87 of 2009",Annually,12/31/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Headcount summary,A summary report on the number of provisional and illegal provisional employees,Monthly,12/31/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Real-time Metering Report,"This report details  annual electricity and fossil fuel usage, real-time metering, and assessments of or improvements made to the envelopes of covered facilities for four years from the effective date of the law. This is the second of the four reports.",Annually,12/31/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Solar PV Readiness Report,An inventory of current solar PV installations on City facilities. This dataset also shows City facilities that have the potential to adopt solar PV.,Biennially,12/31/2020,New,
2020,Department of Citywide Administrative Services (DCAS),Energy Storage Report,This report will list all City facilities that are capable of hosting energy storage systems.,Historical Data,12/31/2021,New,
2020,Department of Citywide Administrative Services (DCAS),Solar Thermal Report,This report will list all City facilities that are capable of hosting solar thermal systems.,Historical Data,12/31/2021,New,
