#,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
2526,Bug,New,Normal,Records preserving its position in the sorting index for adaptive query,"",11/16/2016 12:23 PM,0
4462,Bug,New,Normal,NOW with comparison operators,"",12/11/2019 04:50 PM,0
2448,Bug,New,Normal, DynamicQueryHelper.parse accepts predicate with garbage after terminating dot,"",11/21/2014 04:53 PM,0
2496,Bug,New,Normal,Static conversion of legacy field names does not preserve original case,"",01/22/2015 03:38 PM,0
4108,Bug,New,Normal,CLIENT-PRINCIPAL:EXPORT-PRINCIPAL method quirk (4GL bug?),"",06/08/2019 06:07 AM,0
3711,Bug,New,Normal,improve/fix comments conversion problems,"",03/04/2026 12:47 PM,0
3041,Bug,New,Normal,ambiguous field references are allowed in a CAN-FIND,"",03/25/2016 01:09 PM,0
2395,Bug,New,Normal,db admin rights requirement for the system table query,"",09/19/2014 10:30 AM,0
2178,Bug,New,Normal,Asymmetric sequence behavior,"",09/06/2013 12:23 PM,0
6870,Bug,New,Normal,implement a request queue for remote OpenClient connections,"",10/20/2022 10:36 AM,0
7836,Bug,New,Normal,explicit buffer scope when defined at external program and used in an internal entry,"",09/22/2023 12:12 PM,0
8251,Bug,New,Normal,Fine tune CompoundQuery optimization when contains clauses are used,"",02/07/2024 04:46 AM,0
8589,Bug,New,Normal,Deprecate the shared temporary database completely,"",04/05/2024 06:11 PM,0
3833,Bug,New,Normal,Conversion broken by multithreading,"",12/15/2018 06:12 PM,0
8,Bug,New,Normal,misconversion of single-table REPEAT/DO for FIRST/LAST/UNIQUE,"",10/03/2011 12:00 PM,0
1708,Bug,New,Normal,charva/awt/ScreenBitmap.java cleanup,"",10/29/2012 08:48 AM,0
8259,Bug,New,Normal,Reduce the work done by PreselectQuery.coreFetch,"",02/09/2024 04:57 AM,0
2413,Bug,New,Normal,"Invalid multi-table conversion (Compound(Preselect, Adaptive) instead of Preselect)","",10/06/2014 07:25 AM,0
2420,Bug,New,Low,Fully reproduce QUERY-OFF-END behavior,"",10/15/2014 04:19 PM,0
