"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
intensity_grade2,adverse_event_form_r,,radio,"Intensity (Maximum severity grade of event by he time of this report)","1, Grade 1 or mild | 2, Grade 2 or moderate | 3, Grade 3 or severe | 4, Grade 4 | 5, Grade 5 | 9, Unknown",,,,,,"[cardiovascular_ae2] = '0' or [cardiovascular_ae2] = '1' or [chemistry_ae2] = '0' or [chemistry_ae2] = '1' or [chemistry_ae2] = '2' or [ear_ae2] = '0' or [ear_ae2] = '1' or [ear_ae2] = '2' or [endocrine_ae2] = '0' or [enzymes_ae2] = '0' or [enzymes_ae2] = '1' or [eye_ae2] = '0' or [eye_ae2] = '1' or [eye_ae2] = '2' or [eye_ae2] = '3' or [gastrointestinal_ae2] = '0' or [gastrointestinal_ae2] = '1' or [gastrointestinal_ae2] = '2' or [gastrointestinal_ae2] = '3' or [gastrointestinal_ae2] = '5' or [haematology_ae2] = '0' or [haematology_ae2] = '1' or [haematology_ae2] = '2' or [immune_ae2] = '0' or [immune_ae2] = '1' or [immune_ae2] = '2' or [musculoskeletal_ae2] = '0' or [musculoskeletal_ae2] = '1' or [musculoskeletal_ae2] = '2' or [musculoskeletal_ae2] = '3' or [neurological_ae2] = '0' or [neurological_ae2] = '1' or [neurological_ae2] = '2' or [neurological_ae2] = '3' or [reproductive_ae2] = '0' or [psychiatric_ae2] = '0' or [psychiatric_ae2] = '1' or [psychiatric_ae2] = '2' or [psychiatric_ae2] = '3' or [psychiatric_ae2] = '4' or [renal_ae2] = '0' or [renal_ae2] = '1' or [renal_ae2] = '2' or [renal_ae2] = '3' or [renal_ae2] = '4' or [skin_ae2] = '0' or [skin_ae2] = '1' or [skin_ae2] = '2' or [skin_ae2] = '3'",,,,,,
sae2,adverse_event_form_r,,yesno,"Was this a serious  adverse event (SAE)?",,,,,,,"[cardiovascular_ae2] = '0' or [cardiovascular_ae2] = '1' or [chemistry_ae2] = '0' or [chemistry_ae2] = '1' or [chemistry_ae2] = '2' or [ear_ae2] = '0' or [ear_ae2] = '1' or [ear_ae2] = '2' or [endocrine_ae2] = '0' or [enzymes_ae2] = '0' or [enzymes_ae2] = '1' or [eye_ae2] = '0' or [eye_ae2] = '1' or [eye_ae2] = '2' or [eye_ae2] = '3' or [gastrointestinal_ae2] = '0' or [gastrointestinal_ae2] = '1' or [gastrointestinal_ae2] = '2' or [gastrointestinal_ae2] = '3' or [gastrointestinal_ae2] = '5' or [haematology_ae2] = '0' or [haematology_ae2] = '1' or [haematology_ae2] = '2' or [immune_ae2] = '0' or [immune_ae2] = '1' or [immune_ae2] = '2' or [musculoskeletal_ae2] = '0' or [musculoskeletal_ae2] = '1' or [musculoskeletal_ae2] = '2' or [musculoskeletal_ae2] = '3' or [neurological_ae2] = '0' or [neurological_ae2] = '1' or [neurological_ae2] = '2' or [neurological_ae2] = '3' or [reproductive_ae2] = '0' or [psychiatric_ae2] = '0' or [psychiatric_ae2] = '1' or [psychiatric_ae2] = '2' or [psychiatric_ae2] = '3' or [psychiatric_ae2] = '4' or [renal_ae2] = '0' or [renal_ae2] = '1' or [renal_ae2] = '2' or [renal_ae2] = '3' or [renal_ae2] = '4' or [skin_ae2] = '0' or [skin_ae2] = '1' or [skin_ae2] = '2' or [skin_ae2] = '3'",,,,,,
type_of_sae2,adverse_event_form_r,,checkbox,"Indicate type (select all that appy)","0, Death | 1, Life threatening experience | 2, Hospitalization or prolongation of hospitalization | 3, Persistently or significantly disabling event | 4, Congenital anomaly or birth defect",,,,,,"[cardiovascular_ae2] = '0' or [cardiovascular_ae2] = '1' or [chemistry_ae2] = '0' or [chemistry_ae2] = '1' or [chemistry_ae2] = '2' or [ear_ae2] = '0' or [ear_ae2] = '1' or [ear_ae2] = '2' or [endocrine_ae2] = '0' or [enzymes_ae2] = '0' or [enzymes_ae2] = '1' or [eye_ae2] = '0' or [eye_ae2] = '1' or [eye_ae2] = '2' or [eye_ae2] = '3' or [gastrointestinal_ae2] = '0' or [gastrointestinal_ae2] = '1' or [gastrointestinal_ae2] = '2' or [gastrointestinal_ae2] = '3' or [gastrointestinal_ae2] = '5' or [haematology_ae2] = '0' or [haematology_ae2] = '1' or [haematology_ae2] = '2' or [immune_ae2] = '0' or [immune_ae2] = '1' or [immune_ae2] = '2' or [musculoskeletal_ae2] = '0' or [musculoskeletal_ae2] = '1' or [musculoskeletal_ae2] = '2' or [neurological_ae2] = '0' or [neurological_ae2] = '1' or [neurological_ae2] = '2' or [neurological_ae2] = '3' or [reproductive_ae2] = '0' or [psychiatric_ae2] = '0' or [psychiatric_ae2] = '1' or [psychiatric_ae2] = '2' or [psychiatric_ae2] = '3' or [psychiatric_ae2] = '4' or [renal_ae2] = '0' or [renal_ae2] = '1' or [renal_ae2] = '2' or [renal_ae2] = '3' or [renal_ae2] = '4' or [skin_ae2] = '0' or [skin_ae2] = '1' or [skin_ae2] = '2' or [skin_ae2] = '3'",,,,,,
clinician_action2,adverse_event_form_r,,radio,"Clinician action taken with regard to study treatment:","0, Dose note changed | 1, Dose reduced | 5, Dose Increased | 2, Drug interrupted | 3, Drug withdrawn | 4, Not applicable | 6, Unknown",,,,,,"[cardiovascular_ae2] = '0' or [cardiovascular_ae2] = '1' or [chemistry_ae2] = '0' or [chemistry_ae2] = '1' or [chemistry_ae2] = '2' or [ear_ae2] = '0' or [ear_ae2] = '1' or [ear_ae2] = '2' or [endocrine_ae2] = '0' or [enzymes_ae2] = '0' or [enzymes_ae2] = '1' or [eye_ae2] = '0' or [eye_ae2] = '2' or [eye_ae2] = '3' or [gastrointestinal_ae2] = '0' or [gastrointestinal_ae2] = '1' or [gastrointestinal_ae2] = '2' or [gastrointestinal_ae2] = '3' or [gastrointestinal_ae2] = '5' or [haematology_ae2] = '0' or [haematology_ae2] = '1' or [haematology_ae2] = '2' or [immune_ae2] = '0' or [immune_ae2] = '1' or [immune_ae2] = '2' or [musculoskeletal_ae2] = '0' or [musculoskeletal_ae2] = '1' or [musculoskeletal_ae2] = '2' or [musculoskeletal_ae2] = '3' or [neurological_ae2] = '0' or [neurological_ae2] = '1' or [neurological_ae2] = '2' or [neurological_ae2] = '3' or [reproductive_ae2] = '0' or [psychiatric_ae2] = '0' or [psychiatric_ae2] = '1' or [psychiatric_ae2] = '2' or [psychiatric_ae2] = '3' or [psychiatric_ae2] = '4' or [renal_ae2] = '0' or [renal_ae2] = '1' or [renal_ae2] = '2' or [renal_ae2] = '3' or [renal_ae2] = '4' or [skin_ae2] = '0' or [skin_ae2] = '1' or [skin_ae2] = '2' or [skin_ae2] = '3'",,,,,,
status_of_ae2,adverse_event_form_r,,radio,"Outcome (Status of the AE)","0, Resolved | 1, Resolved with sequelae | 2, Fatal | 3, Resolving | 4, Not resolved (i.e., ongoing or worsening) | 5, Unknown",,,,,,"[cardiovascular_ae2] = '0' or [cardiovascular_ae2] = '1' or [chemistry_ae2] = '0' or [chemistry_ae2] = '1' or [chemistry_ae2] = '2' or [ear_ae2] = '0' or [ear_ae2] = '1' or [ear_ae2] = '2' or [endocrine_ae2] = '0' or [enzymes_ae2] = '0' or [enzymes_ae2] = '1' or [eye_ae2] = '0' or [eye_ae2] = '1' or [eye_ae2] = '2' or [eye_ae2] = '3' or [gastrointestinal_ae2] = '0' or [gastrointestinal_ae2] = '1' or [gastrointestinal_ae2] = '2' or [gastrointestinal_ae2] = '3' or [gastrointestinal_ae2] = '5' or [haematology_ae2] = '0' or [haematology_ae2] = '1' or [haematology_ae2] = '2' or [immune_ae2] = '0' or [immune_ae2] = '1' or [immune_ae2] = '2' or [musculoskeletal_ae2] = '0' or [musculoskeletal_ae2] = '1' or [musculoskeletal_ae2] = '2' or [musculoskeletal_ae2] = '3' or [neurological_ae2] = '0' or [neurological_ae2] = '1' or [neurological_ae2] = '2' or [neurological_ae2] = '3' or [reproductive_ae2] = '0' or [psychiatric_ae2] = '0' or [psychiatric_ae2] = '1' or [psychiatric_ae2] = '2' or [psychiatric_ae2] = '3' or [psychiatric_ae2] = '4' or [renal_ae2] = '0' or [renal_ae2] = '1' or [renal_ae2] = '2' or [renal_ae2] = '3' or [skin_ae2] = '0' or [skin_ae2] = '1' or [skin_ae2] = '2' or [skin_ae2] = '3'",,,,,,
resolution_date2,adverse_event_form_r,,text,"Resolution date",,,date_dmy,,,,"[status_of_ae2] = '0' or [status_of_ae2] = '1'",,,,,,
ae_attributed2,adverse_event_form_r,,radio,"Was the AE attributed to one or more anti-tuberculosis drugs?","0, Definite | 1, Probable | 2, Possible | 3, Unlikely | 4, Not related | 5, Insufficient data to assess",,,,,,"[cardiovascular_ae2] = '0' or [cardiovascular_ae2] = '1' or [chemistry_ae2] = '0' or [chemistry_ae2] = '1' or [chemistry_ae2] = '2' or [ear_ae2] = '0' or [ear_ae2] = '1' or [ear_ae2] = '2' or [endocrine_ae2] = '0' or [enzymes_ae2] = '0' or [enzymes_ae2] = '1' or [eye_ae2] = '0' or [eye_ae2] = '1' or [eye_ae2] = '2' or [eye_ae2] = '3' or [gastrointestinal_ae2] = '0' or [gastrointestinal_ae2] = '1' or [gastrointestinal_ae2] = '2' or [gastrointestinal_ae2] = '3' or [gastrointestinal_ae2] = '5' or [haematology_ae2] = '0' or [haematology_ae2] = '1' or [haematology_ae2] = '2' or [immune_ae2] = '0' or [immune_ae2] = '1' or [immune_ae2] = '2' or [musculoskeletal_ae2] = '0' or [musculoskeletal_ae2] = '1' or [musculoskeletal_ae2] = '2' or [musculoskeletal_ae2] = '3' or [neurological_ae2] = '0' or [neurological_ae2] = '1' or [neurological_ae2] = '2' or [neurological_ae2] = '3' or [reproductive_ae2] = '0' or [psychiatric_ae2] = '0' or [psychiatric_ae2] = '1' or [psychiatric_ae2] = '2' or [psychiatric_ae2] = '3' or [psychiatric_ae2] = '4' or [renal_ae2] = '0' or [renal_ae2] = '1' or [renal_ae2] = '2' or [renal_ae2] = '3' or [renal_ae2] = '4' or [skin_ae2] = '0' or [skin_ae2] = '1' or [skin_ae2] = '2' or [skin_ae2] = '3'",,,,,,
likely_drugs2,adverse_event_form_r,,notes,"Record likely drug(s) that the AE may be attributed to (enter drug abbreviation from the Field Manual)",,,,,,,"[cardiovascular_ae2] = '0' or [cardiovascular_ae2] = '1' or [chemistry_ae2] = '0' or [chemistry_ae2] = '2' or [chemistry_ae2] = '1' or [ear_ae2] = '0' or [ear_ae2] = '1' or [ear_ae2] = '2' or [endocrine_ae2] = '0' or [enzymes_ae2] = '0' or [enzymes_ae2] = '1' or [eye_ae2] = '0' or [eye_ae2] = '1' or [eye_ae2] = '2' or [eye_ae2] = '3' or [gastrointestinal_ae2] = '0' or [gastrointestinal_ae2] = '1' or [gastrointestinal_ae2] = '2' or [gastrointestinal_ae2] = '3' or [gastrointestinal_ae2] = '5' or [haematology_ae2] = '0' or [haematology_ae2] = '1' or [haematology_ae2] = '2' or [immune_ae2] = '0' or [immune_ae2] = '1' or [immune_ae2] = '2' or [musculoskeletal_ae2] = '0' or [musculoskeletal_ae2] = '1' or [musculoskeletal_ae2] = '2' or [musculoskeletal_ae2] = '3' or [neurological_ae2] = '0' or [neurological_ae2] = '1' or [neurological_ae2] = '2' or [neurological_ae2] = '3' or [reproductive_ae2] = '0' or [psychiatric_ae2] = '0' or [psychiatric_ae2] = '1' or [psychiatric_ae2] = '2' or [psychiatric_ae2] = '3' or [psychiatric_ae2] = '4' or [renal_ae2] = '0' or [renal_ae2] = '1' or [renal_ae2] = '2' or [renal_ae2] = '3' or [renal_ae2] = '4' or [skin_ae2] = '0' or [skin_ae2] = '1' or [skin_ae2] = '2' or [skin_ae2] = '3'",,,,,,
investigator_narrative2,adverse_event_form_r,,radio,"Investigator Narrative ","0, Narrative 1 | 1, Narrative 2 | 2, Narrative 3",,,,,,"[cardiovascular_ae2] = '0' or [cardiovascular_ae2] = '1' or [chemistry_ae2] = '0' or [chemistry_ae2] = '1' or [chemistry_ae2] = '2' or [ear_ae2] = '0' or [ear_ae2] = '1' or [ear_ae2] = '2' or [endocrine_ae2] = '0' or [enzymes_ae2] = '0' or [enzymes_ae2] = '1' or [eye_ae2] = '0' or [eye_ae2] = '1' or [eye_ae2] = '2' or [eye_ae2] = '3' or [gastrointestinal_ae2] = '0' or [gastrointestinal_ae2] = '1' or [gastrointestinal_ae2] = '2' or [gastrointestinal_ae2] = '3' or [gastrointestinal_ae2] = '5' or [haematology_ae2] = '0' or [haematology_ae2] = '1' or [haematology_ae2] = '2' or [immune_ae2] = '0' or [immune_ae2] = '1' or [immune_ae2] = '2' or [musculoskeletal_ae2] = '0' or [musculoskeletal_ae2] = '1' or [musculoskeletal_ae2] = '2' or [musculoskeletal_ae2] = '3' or [neurological_ae2] = '0' or [neurological_ae2] = '1' or [neurological_ae2] = '2' or [neurological_ae2] = '3' or [reproductive_ae2] = '0' or [psychiatric_ae2] = '0' or [psychiatric_ae2] = '1' or [psychiatric_ae2] = '2' or [psychiatric_ae2] = '3' or [psychiatric_ae2] = '4' or [renal_ae2] = '0' or [renal_ae2] = '1' or [renal_ae2] = '2' or [renal_ae2] = '3' or [renal_ae2] = '4' or [skin_ae2] = '0' or [skin_ae2] = '1' or [skin_ae2] = '2' or [skin_ae2] = '3'",,,,,,
narrative2,adverse_event_form_r,,notes,Narrative,,,,,,,"[investigator_narrative2] = '0' or [investigator_narrative2] = '1' or [investigator_narrative2] = '2'",,,,,,
other_action2,adverse_event_form_r,,notes,"Other action taken",,,,,,,"[investigator_narrative2] = '0' and [investigator_narrative2] = '1' and [investigator_narrative2] = '2'",,,,,,
ae_still_ongoing2,adverse_event_form_r,,radio,"Is the adverse event still ongoing?","1, Stopped | 2, Still Present",,,,,,"[another_ae_occur] = '0'",,,,,,
ae_stopped_date2,adverse_event_form_r,,text,"Date stopped",,,date_dmy,,,,"[ae_still_ongoing2] = '1'",,,,,,
discontinued2,adverse_event_form_r,,radio,"Did the adverse event cause the subject to be discontinued from the study?","0, Yes | 1, No",,,,,,"[another_ae_occur] = '0'",,,,,,
reported_to_irb2,adverse_event_form_r,,radio,"Has this event been reported to the Local IRB?","0, Yes | 1, No",,,,,,"[another_ae_occur] = '0'",,,,,,
another_ae_occur2,adverse_event_form_r,,radio,"Did another Adverse Event occur?","0, Yes | 1, No",,,,,,"[another_ae_occur] = '0'",,,,,,
organ_system3,adverse_event_form_r,,radio,"Diagnosis (If known)or signs / symptoms","0, Cardiovascular disorders | 1, Chemistry | 2, Ear disorders | 3, Endocrine disorders | 4, Enzymes | 5, Eye disorders | 6, Gastrointestinal disorders | 7, Haematology | 8, Immune disorders | 9, Musculoskeletal disorders | 10, Neurological disorders | 11, Reproductive system and breast disorders | 12, Psychiatric disoders | 13, Renal and urinary disorders | 14, Skin disorders | 15, Other adverse event",,,,,,"[another_ae_occur2] = '0'",,,,,,
cardiovascular_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Cardiovascular","0, Cardiac rhythm | 1, Prolonged (corrected) QT interval",,,,,,"[organ_system3] = '0'",,,,,,
chemistry_ae3,adverse_event_form_r,,radio,"Common adverse events in Chemistry","0, Hypokalemia (K<=3.4 mEq/L) | 1, Hypomagnesemia (Mg<=1.4 mmol/L) | 2, Lactate (Serum lactate greater than ULN)",,,,,,"[organ_system3] = '1'",,,,,,
ear_ae3,adverse_event_form_r,,radio,"Common adverse events in Ear","0, Hearing impairment (hearing loss) | 1, Tinnitus | 2, Vestibular disorder",,,,,,"[organ_system3] = '2'",,,,,,
endocrine_ae3,adverse_event_form_r,,radio,"Common Adverse Event in Endocrine","0, Hypothyroidism",,,,,,"[organ_system3] = '3'",,,,,,
enzymes_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Enzymes","0, ALT increased | 1, AST increased",,,,,,"[organ_system3] = '4'",,,,,,
eye_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Eye","0, Optic nerve disorders (optic neuritis) | 1, Myopia | 2, Metropia | 3, Color blindness",,,,,,"[organ_system3] = '5'",,,,,,
gastrointestinal_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Gastrointestinal","0, Diarrhea | 1, Dyspepsia | 2, Nausea | 3, Oral discomfort / dysphagia | 5, Vomiting",,,,,,"[organ_system3] = '6'",,,,,,
haematology_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Haematology","0, Absolute neutrophil count low (ANC<=1500/mm3) | 1, Anemia (Hb < 10.5 g/dL) | 2, Platelets decrease (< 75,000/mm3)",,,,,,"[organ_system3] = '7'",,,,,,
immune_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Immune","0, Itching | 1, Swelling | 2, Rashes",,,,,,"[organ_system3] = '8'",,,,,,
musculoskeletal_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Musculoskeletal","0, Arthralgia | 1, Arthritis | 2, Myalgia | 3, Tendinopathy",,,,,,"[organ_system3] = '9'",,,,,,
neurological_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Neurological","0, Dysgeusia (Change in taste) | 1, Headache | 2, Peripheral neuropathy (neurosensory disorder or paresthesia) | 3, seizure",,,,,,"[organ_system3] = '10'",,,,,,
reproductive_ae3,adverse_event_form_r,,radio,"Common Adverse Events in reproductive system","0, Gynecomastia",,,,,,"[organ_system3] = '11'",,,,,,
psychiatric_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Psychiatric ","0, Anxiety | 1, Depression | 2, Psychosis | 3, Suicidal ideation | 4, Hallucination",,,,,,"[organ_system3] = '12'",,,,,,
renal_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Renal and Urine","0, Acute kidney injury (acute renal failure) | 1, Dysuria | 2, Haematuria | 3, Urinary frequency | 4, Urinary discoloration",,,,,,"[organ_system3] = '13'",,,,,,
skin_ae3,adverse_event_form_r,,radio,"Common Adverse Events in Skin","0, Mucocutaneous symptoms (includes rash) | 1, Pruritus | 2, Skin hypo- or hyper-pigmentation | 3, Photosensitivity",,,,,,"[organ_system3] = '14'",,,,,,
not_listed_ae3,adverse_event_form_r,,notes,"Enter one adverse event if not listed in the common list:",,,,,,,"[organ_system3] = '15'",,,,,,
started_date3,adverse_event_form_r,,text,"What is the date the Adverse Events started?",,,date_dmy,,,,"[cardiovascular_ae3] = '0' or [cardiovascular_ae3] = '1' or [chemistry_ae3] = '0' or [chemistry_ae3] = '1' or [chemistry_ae3] = '2' or [ear_ae3] = '0' or [ear_ae3] = '1' or [ear_ae3] = '2' or [endocrine_ae3] = '0' or [enzymes_ae3] = '0' or [enzymes_ae3] = '1' or [eye_ae3] = '0' or [eye_ae3] = '1' or [eye_ae3] = '2' or [eye_ae3] = '3' or [gastrointestinal_ae3] = '0' or [gastrointestinal_ae3] = '1' or [gastrointestinal_ae3] = '2' or [gastrointestinal_ae3] = '3' or [gastrointestinal_ae3] = '5' or [haematology_ae3] = '0' or [haematology_ae3] = '1' or [haematology_ae3] = '2' or [immune_ae3] = '0' or [immune_ae3] = '1' or [immune_ae3] = '2' or [musculoskeletal_ae3] = '0' or [musculoskeletal_ae3] = '1' or [musculoskeletal_ae3] = '2' or [musculoskeletal_ae3] = '3' or [neurological_ae3] = '0' or [neurological_ae3] = '1' or [neurological_ae3] = '2' or [neurological_ae3] = '3' or [reproductive_ae3] = '0' or [psychiatric_ae3] = '0' or [psychiatric_ae3] = '1' or [psychiatric_ae3] = '2' or [psychiatric_ae3] = '3' or [psychiatric_ae3] = '4' or [renal_ae3] = '0' or [renal_ae3] = '1' or [renal_ae3] = '2' or [renal_ae3] = '3' or [renal_ae3] = '4' or [skin_ae3] = '0' or [skin_ae3] = '1' or [skin_ae3] = '2' or [skin_ae3] = '3'",,,,,,
intensity_grade3,adverse_event_form_r,,radio,"Intensity (Maximum severity grade of event by he time of this report)","1, Grade 1 or mild | 2, Grade 2 or moderate | 3, Grade 3 or severe | 4, Grade 4 | 5, Grade 5 | 9, Unknown",,,,,,"[cardiovascular_ae3] = '0' or [cardiovascular_ae3] = '1' or [chemistry_ae3] = '0' or [chemistry_ae3] = '1' or [chemistry_ae3] = '2' or [ear_ae3] = '0' or [ear_ae3] = '1' or [ear_ae3] = '2' or [endocrine_ae3] = '0' or [enzymes_ae3] = '0' or [enzymes_ae3] = '1' or [eye_ae3] = '0' or [eye_ae3] = '1' or [eye_ae3] = '2' or [eye_ae3] = '3' or [gastrointestinal_ae3] = '0' or [gastrointestinal_ae3] = '1' or [gastrointestinal_ae3] = '2' or [gastrointestinal_ae3] = '3' or [gastrointestinal_ae3] = '5' or [haematology_ae3] = '0' or [haematology_ae3] = '1' or [haematology_ae3] = '2' or [immune_ae3] = '0' or [immune_ae3] = '1' or [immune_ae3] = '2' or [musculoskeletal_ae3] = '0' or [musculoskeletal_ae3] = '1' or [musculoskeletal_ae3] = '2' or [musculoskeletal_ae3] = '3' or [neurological_ae3] = '0' or [neurological_ae3] = '1' or [neurological_ae3] = '2' or [neurological_ae3] = '3' or [reproductive_ae3] = '0' or [psychiatric_ae3] = '0' or [psychiatric_ae3] = '1' or [psychiatric_ae3] = '2' or [psychiatric_ae3] = '3' or [psychiatric_ae3] = '4' or [renal_ae3] = '0' or [renal_ae3] = '1' or [renal_ae3] = '2' or [renal_ae3] = '3' or [renal_ae3] = '4' or [skin_ae3] = '0' or [skin_ae3] = '1' or [skin_ae3] = '2' or [skin_ae3] = '3'",,,,,,
sae3,adverse_event_form_r,,yesno,"Was this a serious  adverse event (SAE)?",,,,,,,"[cardiovascular_ae3] = '0' or [cardiovascular_ae3] = '1' or [chemistry_ae3] = '0' or [chemistry_ae3] = '1' or [chemistry_ae3] = '2' or [ear_ae3] = '0' or [ear_ae3] = '1' or [ear_ae3] = '2' or [endocrine_ae3] = '0' or [enzymes_ae3] = '0' or [enzymes_ae3] = '1' or [eye_ae3] = '0' or [eye_ae3] = '1' or [eye_ae3] = '2' or [eye_ae3] = '3' or [gastrointestinal_ae3] = '0' or [gastrointestinal_ae3] = '1' or [gastrointestinal_ae3] = '2' or [gastrointestinal_ae3] = '3' or [gastrointestinal_ae3] = '5' or [haematology_ae3] = '0' or [haematology_ae3] = '1' or [haematology_ae3] = '2' or [immune_ae3] = '0' or [immune_ae3] = '1' or [immune_ae3] = '2' or [musculoskeletal_ae3] = '0' or [musculoskeletal_ae3] = '1' or [musculoskeletal_ae3] = '2' or [musculoskeletal_ae3] = '3' or [neurological_ae3] = '0' or [neurological_ae3] = '1' or [neurological_ae3] = '2' or [neurological_ae3] = '3' or [reproductive_ae3] = '0' or [psychiatric_ae3] = '0' or [psychiatric_ae3] = '1' or [psychiatric_ae3] = '2' or [psychiatric_ae3] = '3' or [psychiatric_ae3] = '4' or [renal_ae3] = '0' or [renal_ae3] = '1' or [renal_ae3] = '2' or [renal_ae3] = '3' or [renal_ae3] = '4' or [skin_ae3] = '0' or [skin_ae3] = '1' or [skin_ae3] = '2' or [skin_ae3] = '3'",,,,,,
type_of_sae3,adverse_event_form_r,,checkbox,"Indicate type (select all that appy)","0, Death | 1, Life threatening experience | 2, Hospitalization or prolongation of hospitalization | 3, Persistently or significantly disabling event | 4, Congenital anomaly or birth defect",,,,,,"[cardiovascular_ae3] = '0' or [cardiovascular_ae3] = '1' or [chemistry_ae3] = '0' or [chemistry_ae3] = '1' or [chemistry_ae3] = '2' or [ear_ae3] = '0' or [ear_ae3] = '1' or [ear_ae3] = '2' or [endocrine_ae3] = '0' or [enzymes_ae3] = '0' or [enzymes_ae3] = '1' or [eye_ae3] = '0' or [eye_ae3] = '1' or [eye_ae3] = '2' or [eye_ae3] = '3' or [gastrointestinal_ae3] = '0' or [gastrointestinal_ae3] = '1' or [gastrointestinal_ae3] = '2' or [gastrointestinal_ae3] = '3' or [gastrointestinal_ae3] = '5' or [haematology_ae3] = '0' or [haematology_ae3] = '1' or [haematology_ae3] = '2' or [immune_ae3] = '0' or [immune_ae3] = '1' or [immune_ae3] = '2' or [musculoskeletal_ae3] = '0' or [musculoskeletal_ae3] = '1' or [musculoskeletal_ae3] = '2' or [musculoskeletal_ae3] = '3' or [neurological_ae3] = '0' or [neurological_ae3] = '1' or [neurological_ae3] = '2' or [neurological_ae3] = '3' or [reproductive_ae3] = '0' or [psychiatric_ae3] = '0' or [psychiatric_ae3] = '1' or [psychiatric_ae3] = '2' or [psychiatric_ae3] = '3' or [psychiatric_ae3] = '4' or [renal_ae3] = '0' or [renal_ae3] = '1' or [renal_ae3] = '2' or [renal_ae3] = '3' or [renal_ae3] = '4' or [skin_ae3] = '0' or [skin_ae3] = '1' or [skin_ae3] = '2' or [skin_ae3] = '3'",,,,,,
clinician_action3,adverse_event_form_r,,radio,"Clinician action taken with regard to study treatment:","0, Dose note changed | 1, Dose reduced | 5, Dose Increased | 2, Drug interrupted | 3, Drug withdrawn | 4, Not applicable | 6, Unknown",,,,,,"[cardiovascular_ae3] = '0' or [cardiovascular_ae3] = '1' or [chemistry_ae3] = '0' or [chemistry_ae3] = '1' or [chemistry_ae3] = '2' or [ear_ae3] = '0' or [ear_ae3] = '1' or [ear_ae3] = '2' or [endocrine_ae3] = '0' or [enzymes_ae3] = '0' or [enzymes_ae3] = '1' or [eye_ae3] = '0' or [eye_ae3] = '1' or [eye_ae3] = '2' or [eye_ae3] = '3' or [gastrointestinal_ae3] = '0' or [gastrointestinal_ae3] = '1' or [gastrointestinal_ae3] = '2' or [gastrointestinal_ae3] = '3' or [gastrointestinal_ae3] = '5' or [haematology_ae3] = '0' or [haematology_ae3] = '1' or [haematology_ae3] = '2' or [immune_ae3] = '0' or [immune_ae3] = '1' or [immune_ae3] = '2' or [musculoskeletal_ae3] = '0' or [musculoskeletal_ae3] = '1' or [musculoskeletal_ae3] = '2' or [musculoskeletal_ae3] = '3' or [neurological_ae3] = '0' or [neurological_ae3] = '1' or [neurological_ae3] = '2' or [neurological_ae3] = '3' or [reproductive_ae3] = '0' or [psychiatric_ae3] = '0' or [psychiatric_ae3] = '1' or [psychiatric_ae3] = '2' or [psychiatric_ae3] = '3' or [psychiatric_ae3] = '4' or [renal_ae3] = '0' or [renal_ae3] = '1' or [renal_ae3] = '2' or [renal_ae3] = '3' or [renal_ae3] = '4' or [skin_ae3] = '0' or [skin_ae3] = '1' or [skin_ae3] = '2' or [skin_ae3] = '3'",,,,,,
