id labor	Valdkond	VK sort	Paneel	P kood	Analüüsi nimetus	A kood	Kehtiv	Kehtiv lõpp	Tellitav	Vahendatav	T lühend	Kasutatav nimetus	T Nimetus	Vastuskood	T Ühik	Labor ühik	Seade	Diagnostikumi_tootja	Sort	Risttabel	id algandmed	Loinc #	Component	Property	Time Aspects	System	Scale	Method	Ex UCUM Units	Ex Units	%99+ Common Tests	Class	Long Common Name	Short Name	Type	Order/Obs	Doc/Section	Ext
1680	AL	19			Anisakise IgE	P4_IGE-TST	JAH		JAH	JAH	S,P-p4 IgE	Anisakise IgE	Anisakisevastane IgE seerumis/plasmas	QN	kU/L	ku/l			436	JAH	4137	10919-9	Anisakis Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L	3	ALLERGY	Anisakis IgE Ab [Units/volume] in Serum	Anisakis IgE Qn	1	Both		9,6909
728	AL	19			Segu tx5: lepa, sarapuu, paju, jalaka, papli IgE	TX5_IGE-TST	JAH		JAH	EI	S,P-tx5 IgE	Segu tx5: lepa, sarapuu, paju, jalaka, papli IgE	Puude õietolmu (segu 5: lepp, sarapuu, paju, jalakas, pappel) vastane IgE seerumis/plasmas	QN	kU/L	kU/L			442	JAH	773	69959-5	(Alnus incana+Corylus avellana+Ulmus americana+Salix caprea+Populus deltoides) Ab.IgE	ACnc	Pt	Ser	Qn	Multidisk	k[IU]/L	kIU/L		ALLERGY	Tree Allergen Mix 5 (Grey alder+Hazelnut+White elm+Willow+Cottonwood) IgE Ab [Units/volume] in Serum by Multidisk	Tree Allerg Mix5 IgE Qn	1	Both		11,4729
729	AL	19			Segu tx9: lepa, sarapuu, paju, kase, tamme IgE	TX9_IGE-TST	JAH		JAH	EI	S,P-tx9 IgE	Segu tx9: lepa, sarapuu, paju, kase, tamme IgE	Puude õietolmu (segu 9: lepp, sarapuu, paju, kask, tamm) vastane IgE seerumis/plasmas kvalitatiivne!	QN	kU/L	kU/L			443	JAH	1529	71371-9	(Alnus incana+Betula verrucosa+Corylus avellana+Quercus alba+Salix caprea) Ab.IgE	ACnc	Pt	Ser	Qn	Multidisk	k[IU]/L	kIU/L		ALLERGY	Tree Allergen Mix 9 (Grey alder+Silver birch+Hazelnut+White oak+Willow) IgE Ab [Units/volume] in Serum by Multidisk	Tree Allerg Mix 9 IgE Qn	1	Both		11,4729
730	AL	19			Lepa õietolmu IgE	T2_IGE-TST	JAH		JAH	EI	S,P-t2 IgE	Lepa õietolmu IgE	Sanglepa õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			444	JAH	774	15284-3	Alnus incana Ab.IgE	ACnc	Pt	Ser	Qn					ALLERGY	Grey Alder IgE Ab [Units/volume] in Serum	Grey Alder IgE Qn	1	Both		
731	AL	19	Tolmuallergia pakett	DUST_AL-X-PNL	Kase õietolmu IgE	T3_IGE-TST	JAH		JAH	EI	S,P-t3 IgE	Kase õietolmu IgE	Arukase õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			446	JAH	775	15283-5	Betula verrucosa Ab.IgE	ACnc	Pt	Ser	Qn		kU/L	kU/L		ALLERGY	Silver Birch IgE Ab [Units/volume] in Serum	Silver Birch IgE Qn	1	Both		
2556	AL	19			Pekaanipuu ehk hikkoripuu IgE	T22_IGE-TST	JAH		JAH	JAH	S,P-t22 IgE	Pekaanipuu ehk hikkoripuu IgE	Pekaanipuu ehk hikkoripuu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			448	JAH	7473	6209-1	Carya illinoinensis tree Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kU/L		ALLERGY	Pecan or Hickory Tree IgE Ab [Units/volume] in Serum	Pecan/Hick Tree IgE Qn	Laboratory	Both		
2354	AL	19			Hariliku saare IgE	S-T25_IGE-MT	EI	2025-05-13	JAH	JAH	S,P-t25 IgE	Hariliku saare õietolmu IgE	Hariliku saare õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			449	JAH	6959	60238-3	Fraxinus excelsior Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	European Ash IgE Ab [Units/volume] in Serum	European Ash IgE Qn	1	Both		
2555	AL	19			Valge mooruspuu IgE	T70_IGE-TST	JAH		JAH	JAH	S,P-t70 IgE	Valge mooruspuu IgE	Valge mooruspuu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			450	JAH	7472	6281-0	Morus alba Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kU/L		ALLERGY		White mulberry IgE Qn	Laboratory	Both		
1364	AL	19			Hobukastani õietolmu IgE	T203_IGE-TST	JAH		JAH	JAH	S,P-t203 IgE	Hobukastani õietolmu IgE	Hobukastani õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			451	JAH	5408	7220-7	Aesculus hippocastanum Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Horse Chestnut IgE Ab [Units/volume] in Serum	Horse Chestnut IgE Qn	1	Both		
732	AL	19			Kase õietolmu Bet v 1 (PR-10 valk) IgE	T215_IGE-TST	JAH		JAH	EI	S,P-t215 IgE	Kase õietolmu Bet v 1 (PR-10 valk) IgE	Kase õietolmu komponendi Bet v 1 (PR-10 valk) vastane IgE seerumis/plasmas	QN	kU/L	kU/l			452	JAH	2994	30984-9	Betula verrucosa recombinant (rBet v) 1 Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L			ALLERGY	Silver Birch recombinant (rBet v) 1 IgE Ab [Units/volume] in Serum	Silver Birch (rBet v) 1 IgE Qn	1	Both		11,4729
2350	AL	19			Õlipalmi õietolmu IgE	S-T223_IGE-MT	EI	2025-05-13	JAH	JAH	S,P-t223 IgE	Õlipalmi õietolmu IgE	Õlipalmi õietolmu vastane IgE seerumis/plasmas	QN	kU/L	ku/l			457	JAH	6955	40790-8	Elaeis guineensis Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Oil palm IgE Ab [Units/volume] in Serum	Oil palm IgE Qn	1	Both		
733	AL	19			Sarapuu õietolmu IgE	T4_IGE-TST	JAH		JAH	EI	S,P-t4 IgE	Sarapuu õietolmu IgE	Sarapuu õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			459	JAH	776	6137-4	Corylus avellana pollen Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Hazelnut Pollen IgE Ab [Units/volume] in Serum	Hazelnut Poln IgE Qn	1	Both		
1319	AL	19			Sabiina kadaka õietolmu IgE	T6_IGE-TST	JAH		JAH	JAH	S,P-t6 IgE	Sabiina kadaka õietolmu IgE	Sabiina kadaka õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			461	JAH	5368	6178-8	Juniperus sabinoides Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Mountain Juniper IgE Ab [Units/volume] in Serum	Mt Juniper IgE Qn	1	Both		
734	AL	19			Tamme õietolmu IgE	T7_IGE-TST	JAH		JAH	EI	S,P-t7 IgE	Tamme õietolmu IgE	Tamme õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			462	JAH	777	6189-5	Quercus alba Ab.IgE	ACnc	Pt	Ser	Qn					ALLERGY	White Oak IgE Ab [Units/volume] in Serum	White Oak IgE Qn	1	Both		
1922	AL	19			Jalaka õietolmu IgE	T8_IGE-TST	JAH		JAH	JAH	S,P-t8 IgE	Jalaka õietolmu IgE	Jalaka õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			464	JAH	3144	6109-3	Ulmus americana Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L; kU/L	1511	ALLERGY	White Elm IgE Ab [Units/volume] in Serum	White Elm IgE Qn	1	Both		10,4927
735	AL	19			Paju õietolmu IgE	T12_IGE-TST	JAH		JAH	EI	S,P-t12 IgE	Paju õietolmu IgE	Paju õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			465	JAH	1928	6285-1	Salix caprea Ab.IgE	ACnc	Pt	Ser	Qn			kIU/L; kU/L		ALLERGY	Willow IgE Ab [Units/volume] in Serum	Willow IgE Qn	1	Both		
736	AL	19			Papli õietolmu IgE	T14_IGE-TST	JAH		JAH	EI	S,P-t14 IgE	Papli õietolmu IgE	Papli õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			466	JAH	1929	6090-5	Populus deltoides Ab.IgE	ACnc	Pt	Ser	Qn			kIU/L; kU/L		ALLERGY	Cottonwood IgE Ab [Units/volume] in Serum	Cottonwood IgE Qn	1	Both		
737	AL	19			Männi õietolmu IgE	T16_IGE-TST	JAH		JAH	EI	S,P-t16 IgE	Männi õietolmu IgE	Männi õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			467	JAH	778	6282-8	Pinus strobus Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Eastern White Pine IgE Ab [Units/volume] in Serum	East White Pine IgE Qn	1	Both		
738	AL	19			Kuuse õietolmu IgE	T201_IGE-TST	JAH		JAH	EI	S,P-t201 IgE	Kuuse õietolmu IgE	Kuuse õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			468	JAH	3143	6857-7	Picea excelsa Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Spruce IgE Ab [Units/volume] in Serum	Spruce IgE Qn	1	Both		16,3154
1242	AL	19			Kastanipuu õietolmu IgE	T206_IGE-TST	JAH		JAH	JAH	S,P-t206 IgE	Kastanipuu õietolmu IgE	Kastanipuu õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			469	JAH	5318	6069-9	Castanea sativa pollen Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Chestnut Pollen IgE Ab [Units/volume] in Serum	Chestnut Poln IgE Qn	1	Both		17,8252
2100	AL	19			Pärna õietolmu IgE	T208_IGE-TST	JAH		JAH	JAH	S,P-t208 IgE	Pärna õietolmu IgE	Pärna õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			470	JAH	6432	11179-9	Tilia cordata Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Linden IgE Ab [Units/volume] in Serum	Linden IgE Qn	1	Both		
739	AL	19			Segu wx3: puju, süstlehise teelehe, valge hanemaltsa, hariliku kuldvitsa, kõrvenõgese IgE	WX3_IGE-TST	JAH		JAH	EI	S,P-wx3 IgE	Segu wx3: puju, süstlehise teelehe, valge hanemaltsa, hariliku kuldvitsa, kõrvenõgese IgE	Umbrohtude õietolmu (segu 3: puju, süstlehine teeleht, valge hanemalts, harilik kuldvits, kõrvenõges) vastane IgE seerumis/plasmas	QN	kU/L	kU/L			472	JAH	779	46709-2	(Artemisia vulgaris+Chenopodium album+Plantago lanceolata+Solidago virgaurea+Urtica dioica) Ab.IgE	MCnc	Pt	Ser	Qn	Multidisk				ALLERGY	Weed Allergen Mix 3 (Mugwort+Goosefoot or Lambs quarters+English plantain+Goldenrod+Nettle) IgE Ab [Mass/volume] in Serum by Multidisk	Weed Allerg Mix3 IgE-mCnc	1	Both		
1305	AL	19			Segu wx5: hariliku ambroosia, puju, härjasilma, võilille, hariliku kuldvitsa IgE	WX5_IGE-TST	JAH		JAH	JAH	S,P-wx5 IgE	Segu wx5: hariliku ambroosia, puju, härjasilma, võilille, hariliku kuldvitsa IgE	Umbrohtude õietolmu (segu 5: harilik ambroosia, puju, härjasilm, võilill, harilik kuldvits) vastane IgE seerumis/plasmas	QN	kU/L	kU/l			473	JAH	4590	63197-8	(Ambrosia elatior+Artemisia vulgaris+Chrysanthemum leucathemum+Taraxacum vulgare+Solidago virgaurea) Ab.IgE	ACnc	Pt	Ser	Qn	Multidisk	k[IU]/L	kIU/L		ALLERGY	Weed Allergen Mix 5 (Common ragweed+Mugwort+Ox-eye daisy+Dandelion+Goldenrod) IgE Ab [Units/volume] in Serum by Multidisk	Weed Allerg Mix5 IgE Qn	1	Both		15,792
2558	AL	19			Pujulehise ambroosia IgE	W1_IGE-TST	JAH		JAH	JAH	S,P-w1 IgE	Pujulehise ambroosia IgE	Pujulehise ambroosia vastane IgE seerumis/plasmas	QN	kU/L	kU/L			475	JAH	7475	6085-5	Ambrosia elatior Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kU/L		ALLERGY	Common Ragweed IgE Ab [Units/volume] in Serum	Common Ragweed IgE Qn	Laboratory	Both		
740	AL	19	Tolmuallergia pakett	DUST_AL-X-PNL	Puju õietolmu IgE	W6_IGE-TST	JAH		JAH	EI	S,P-w6 IgE	Puju õietolmu IgE	Puju õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			477	JAH	780	6183-8	Artemisia vulgaris Ab.IgE	ACnc	Pt	Ser	Qn					ALLERGY	Mugwort IgE Ab [Units/volume] in Serum	Mugwort IgE Qn	1	Both		
741	AL	19			Võilille õietolmu IgE	W8_IGE-TST	JAH		JAH	EI	S,P-w8 IgE	Võilille õietolmu IgE	Võilille õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			480	JAH	781	6097-0	Taraxacum vulgare Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Dandelion IgE Ab [Units/volume] in Serum	Dandelion IgE Qn	1	Both		
742	AL	19			Teelehe õietolmu IgE	W9_IGE-TST	JAH		JAH	EI	S,P-w9 IgE	Teelehe õietolmu IgE	Teelehe õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			481	JAH	782	6110-1	Plantago lanceolata Ab.IgE	ACnc	Pt	Ser	Qn					ALLERGY	English Plantain IgE Ab [Units/volume] in Serum	Engl Plantain IgE Qn	1	Both		
2535	AL	19			Hanemaltsa IgE	W10_IGE-TST	JAH		JAH	EI	S,P-w10 IgE	Hanemaltsa IgE	Hanemaltsa vastane IgE seerumis/plasmas	QN	kU/L	kU/L			483	JAH	7439	6156-4	Chenopodium album Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kU/L		ALLERGY	Goosefoot IgE Ab [Units/volume] in Serum	Goosefoot IgE Qn	Laboratory	Both		
2534	AL	19			Hariliku kuldvitsa IgE	W12_IGE-TST	JAH		JAH	EI	S,P-w12 IgE	Hariliku kuldvitsa IgE	Hariliku kuldvitsa vastane IgE seerumis/plasmas	QN	kU/L	kU/L			484	JAH	7438	6128-3	Solidago virgaurea Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kU/L		ALLERGY	Goldenrod IgE Ab [Units/volume] in Serum	Goldenrod IgE Qn	Laboratory	Both		
2557	AL	19			Väikse oblika IgE	W18_IGE-TST	JAH		JAH	JAH	S,P-w18 IgE	Väikse oblika IgE	Väikse oblika vastane IgE seerumis/plasmas	QN	kU/L	kU/L			485	JAH	7474	6244-8	Rumex acetosella Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kU/L		ALLERGY	Sheep Sorrel IgE Ab [Units/volume] in Serum	Sheep Sorrel IgE Qn	Laboratory	Both		
743	AL	19			Kõrvenõgese õietolmu IgE	W20_IGE-TST	JAH		JAH	EI	S,P-w20 IgE	Kõrvenõgese õietolmu IgE	Kõrvenõgese õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			486	JAH	1941	6186-1	Urtica dioica Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Nettle IgE Ab [Units/volume] in Serum	Nettle IgE Qn	1	Both		
1285	AL	19			Kummeli õietolmu IgE	W206_IGE-TST	JAH		JAH	JAH	S,P-w206 IgE	Kummeli õietolmu IgE	Kummeli õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/l			488	JAH	4150	6057-4	Matricaria chamomilla Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L	2	ALLERGY	Chamomile IgE Ab [Units/volume] in Serum	Chamomile IgE Qn	1	Both		17,7979
2062	AL	19			Lupiini õietolmu IgE	W207_IGE-TST	JAH		JAH	JAH	S,P-w207 IgE	Lupiini õietolmu IgE	Lupiini õietolmu vastane IgE seerumis/plasmas	QN	kU/L	kU/L			489	JAH	4151	11180-7	Lupinus spp Ab.IgE	ACnc	Pt	Ser	Qn		k[IU]/L	kIU/L		ALLERGY	Lupin IgE Ab [Units/volume] in Serum	Lupin IgE Qn	1	Both		17,7979
1293	AL	19			IgE paneel (ISAC)	ISAC_IGE-TST	JAH		JAH	JAH	S,P-IgE panel (ISAC)	IgE paneel (ISAC)	Immuunglobuliin E seerumis/plasmas (paneel, ISAC)	Paneel					492	JAH	5084	L-5084																
2082	VIR	20			Meningiiditekitajate bakterite DNA paneel liikvoris	CSF-MENING_BACT_DNA-Panel	EI	2025-05-14	JAH	JAH	CSF-MeningitisBac DNA panel	Meningiiditekitajate bakterite DNA paneel liikvoris	Meningiiditekitajate bakterite DNA liikvoris (paneel)	Paneel		" "			1	EI/Paneel	2750	L-2750																
2455	VIR	20			Meningiiditekitajate DNA/RNA paneel liikvoris	MENING_PAT_DNA_RNA-X-PNL	JAH		JAH	JAH	CSF-Meningitis pathogen DNA/RNA panel	Meningiiditekitajate DNA/RNA paneel	Meningiiditekitajate DNA/RNA paneel liikvoris	Paneel		" "			3	EI/Paneel	6716	L-5476																
1495	VIR	20			Hingamisteede viiruste ja bakterite RNA/DNA paneel	RESP_VIR_BAC-TST	EI	2026-01-05	JAH	JAH	XXX-RespVirBac RNA/DNA panel	Hingamisteede viiruste ja bakterite RNA/DNA paneel	Hingamisteede viiruste ja bakterite RNA/DNA täpsustamata materjalis (paneel)	Paneel					4	EI/Paneel	5631	L-5380																
2832	VIR	20			Hingamisteede bakterite DNA paneel	RESP_BACT_DNA-X-PNL	JAH		JAH	EI	XXX-RespBac DNA panel	Hingamisteede bakterite DNA paneel	Hingamisteede bakterite DNA täpsustamata materjalis (paneel)	Paneel		" "			6	EI/Paneel	2752	L-2752																
2077	VIR	20	Hingamisteede bakterite DNA paneel; Meningiiditekitajate DNA/RNA paneel	RESP_BACT_DNA-X-PNL; MENING_PAT_DNA_RNA-X-PNL	Streptococcus pneumoniae DNA	S_PNEUM_DNA_CSF-TST	JAH		EI	JAH	XXX-S pneumoniae DNA	Streptococcus pneumoniae DNA	Streptococcus pneumoniae DNA	N/P					8	JAH	634	49672-9	Streptococcus pneumoniae DNA	ACnc	Pt	XXX	Ord	Probe.amp.tar				MICRO	Streptococcus pneumoniae DNA [Presence] in Unspecified specimen by Probe & target amplification method	S pneum DNA XXX Ql PCR	1	Both		
2078	VIR	20	Hingamisteede bakterite DNA paneel; Meningiiditekitajate DNA/RNA paneel	RESP_BACT_DNA-X-PNL; MENING_PAT_DNA_RNA-X-PNL	Haemophilus influenzae DNA	H_INFL_DNA_CSF-TST	JAH		EI	JAH	XXX-H influenzae DNA	Haemophilus influenzae DNA	Haemophilus influenzae DNA	N/P					10	JAH	662	61366-1	Haemophilus influenzae DNA	ACnc	Pt	XXX	Ord	Probe.amp.tar				MICRO	Haemophilus influenzae DNA [Presence] in Unspecified specimen by Probe & target amplification method	Haem influ DNA XXX Ql PCR	1	Both		
2079	VIR	20	Meningiiditekitajate DNA/RNA paneel	MENING_PAT_DNA_RNA-X-PNL	Neisseria meningitidis DNA	N_MENING_DNA_CSF-TST	JAH		EI	JAH	XXX-N meningitidis DNA	Neisseria meningitidis DNA	Neisseria meningitidis DNA	N/P					14	JAH	636	49671-1	Neisseria meningitidis DNA	ACnc	Pt	XXX	Ord	Probe.amp.tar				MICRO	Neisseria meningitidis DNA [Presence] in Unspecified specimen by Probe & target amplification method	N men DNA XXX Ql PCR	1	Both		
2168	VIR	20	Neisseria meningitidis serotüüpide IgG tiitrite paneel	MENING_IMC-X-PNL	Neisseria meningitidis A IgG tiiter	MENING_A_IGG-TST	EI	2025-10-22	EI	JAH	S,P-N meningitidis A IgG titr	Neisseria meningitidis A IgG tiiter	Neisseria meningitidis serotüüp A vastase IgG tiiter seerumis/plasmas	SemiQN					20	JAH	6535	A-5549																
2169	VIR	20	Neisseria meningitidis serotüüpide IgG tiitrite paneel	MENING_IMC-X-PNL	Neisseria meningitidis B IgG tiiter	MENING_B_IGG-TST	EI	2025-10-22	EI	JAH	S,P-N meningitidis B IgG titr	Neisseria meningitidis B IgG tiiter	Neisseria meningitidis serotüüp B vastase IgG tiiter seerumis/plasmas	SemiQN					21	JAH	6536	A-5548																
2170	VIR	20	Neisseria meningitidis serotüüpide IgG tiitrite paneel	MENING_IMC-X-PNL	Neisseria meningitidis C IgG tiiter	MENING_C_IGG-TST	EI	2025-10-22	EI	JAH	S,P-N meningitidis C IgG titr	Neisseria meningitidis C IgG tiiter	Neisseria meningitidis serotüüp C vastase IgG tiiter seerumis/plasmas	SemiQN					22	JAH	6537	A-5547																
2171	VIR	20	Neisseria meningitidis serotüüpide IgG tiitrite paneel	MENING_IMC-X-PNL	Neisseria meningitidis W135 IgG tiiter	MENING_W_IGG-TST	EI	2025-10-22	EI	JAH	S,P-N meningitidis W135 IgG titr	Neisseria meningitidis W135 IgG tiiter	Neisseria meningitidis serotüüp W135 vastase IgG tiiter seerumis/plasmas	SemiQN					23	JAH	6538	A-5546																
2172	VIR	20	Neisseria meningitidis serotüüpide IgG tiitrite paneel	MENING_IMC-X-PNL	Neisseria meningitidis Y IgG tiiter	MENING_Y_IGG-TST	EI	2025-10-22	EI	JAH	S,P-N meningitidis Y IgG titr	Neisseria meningitidis Y IgG tiiter	Neisseria meningitidis serotüüp Y vastase IgG tiiter seerumis/plasmas	SemiQN					24	JAH	6539	22431-1	Neisseria meningitidis serogroup Y Ab	Titr	Pt	XXX	SemiQn		{titer}	titer		MICRO	Neisseria meningitidis serogroup Y Ab [Titer] in Specimen	N men sg Y Ab Titr Spec	1	Both		
1227	VIR	20	Meningiiditekitajate DNA/RNA paneel	MENING_PAT_DNA_RNA-X-PNL	Listeria monocytogenes DNA	LIST_DNA-TST	JAH		JAH	JAH	XXX-L monocytogenes DNA	Listeria monocytogenes DNA	Listeria monocytogenes DNA	N/P					25	JAH	638	61369-5	Listeria monocytogenes DNA	ACnc	Pt	XXX	Ord	Probe.amp.tar				MICRO	Listeria monocytogenes DNA [Presence] in Unspecified specimen by Probe & target amplification method	L monocytog DNA XXX Ql PCR	1	Both		
744	VIR	20			Listeria Ab	S-LISTERIA_AB-MT	EI	2021-03-31	JAH	JAH	S,P-Listeria Ab	Listeria Ab	Listeria-vastased antikehad seerumis/plasmas	N/Pp/P					26	JAH	3721	23210-8	Listeria sp Ab	ACnc	Pt	Ser	Ord					MICRO	Listeria sp Ab [Presence] in Serum	Listeria Ab Ser Ql	1	Both		
2080	VIR	20	Meningiiditekitajate DNA/RNA paneel	MENING_PAT_DNA_RNA-X-PNL	Streptococcus agalactiae DNA	S_AGALA_DNA_CSF-TST	JAH		EI	JAH	XXX-S agalactiae DNA	Streptococcus agalactiae DNA	Streptococcus agalactiae DNA	N/P					28	JAH	637	48683-7	Streptococcus agalactiae DNA	ACnc	Pt	XXX	Ord	Probe.amp.tar				MICRO	Streptococcus agalactiae DNA [Presence] in Unspecified specimen by Probe & target amplification method	Gp B Strep DNA XXX Ql PCR	1	Both		
2364	VIR	20			Ahvirõugete viiruse DNA	TH-MPX-PCR	EI	2024-08-30	JAH	EI	XXX-Monkeypox virus DNA	Ahvirõugete viiruse DNA	Ahvirõugete viiruse DNA	N/P		" "			38	JAH	6631	100383-9	Monkeypox virus DNA	PrThr	Pt	XXX	Ord	Probe.amp.tar							Laboratory			
2502	VIR	20	Sooleparasiitide DNA paneel roojas	GE_PARA_DNA-X-PNL	Dientamoeba fragilis DNA roojas	DF_DNA-TST	JAH		EI	EI	St-D fragilis DNA	Dientamoeba fragilis DNA roojas	Dientamoeba fragilis DNA roojas	N/P					41	JAH	7229	70295-1	Dientamoeba fragilis DNA	PrThr	Pt	Stool	Ord	Probe.amp.tar				MICRO	Dientamoeba fragilis DNA [Presence] in Stool by NAA with probe detection	D fragilis DNA Stl Ql NAA+probe	Laboratory	Both		
2152	VIR	20			Chlamydia psittaci DNA	C_PSITTACI_DNA-TST	JAH		JAH	JAH	XXX-C psittaci DNA	Chlamydia psittaci DNA	Chlamydia psittaci DNA	N/P					42	JAH	6518	23001-1	Chlamydophila psittaci DNA	PrThr	Pt	XXX	Ord	Probe.amp.tar				MICRO	Chlamydophila psittaci DNA [Presence] in Specimen by NAA with probe detection	C psittaci DNA Spec Ql NAA+probe	1	Both		
2081	VIR	20			Escherichia coli DNA	E_COLI_DNA_CSF-TST_	EI	2025-11-01	EI	JAH	XXX-E coli DNA	Escherichia coli DNA	Escherichia coli DNA	N/P					49	JAH	1554	61398-4	Escherichia coli DNA	ACnc	Pt	XXX	Ord	Probe.amp.tar				MICRO	Escherichia coli DNA [Presence] in Unspecified specimen by Probe & target amplification method	E coli DNA XXX Ql PCR	1	Both		
2797	VIR	20	Meningiiditekitajate DNA/RNA paneel	MENING_PAT_DNA_RNA-X-PNL	Escherichia coli K1 DNA	E_COLI_DNA_CSF-TST	JAH		EI	JAH	XXX-E coli K1 DNA	Escherichia coli K1 DNA	Escherichia coli K1 DNA täpsustamata materjalis	N/P		" "			50	JAH	5523	A-5363																
1135	VIR	20			Staphylococcus aureus PVL geen	PVL_GENE-TST	JAH		JAH	JAH	XXX-S aureus PVL gene	Staphylococcus aureus PVL geen	Staphylococcus aureus Panton-Valentine leukotsidiini geen	Tekst					62	JAH	5025	48816-3	Staphylococcus aureus Panton-Valentine leukocidin gene	PrThr	Pt	XXX	Ord	Probe.amp.tar				MICRO	Staphylococcus aureus Panton-Valentine leukocidin gene [Presence] in Unspecified specimen by NAA with probe detection	S aureus PVL gene XXX Ql NAA+probe	1	Both		18,5231
2456	VIR	20	Meningiiditekitajate DNA/RNA paneel	MENING_PAT_DNA_RNA-X-PNL	Streptococcus pyogenes DNA liikvoris	S_PYOG_DNA_CSF-TST	JAH		EI	JAH	XXX-S pyogenes DNA	Streptococcus pyogenes DNA	Streptococcus pyogenes DNA	N/P					66	JAH	1549	49610-9	Streptococcus pyogenes DNA	Prid	Pt	XXX	Nom	Probe.amp.tar				MICRO	Streptococcus pyogenes DNA [Identifier] in Unspecified specimen by Probe & target amplification method	S pyo DNA XXX PCR	1	Both		
2076	VIR	20			Meningiiditekitajate viiruste RNA/DNA paneel liikvoris	CSF-MENING_VIR_RNA_DNA-Panel	EI	2023-07-18	JAH	JAH	CSF-MeningitisVir RNA/DNA panel	Meningiiditekitajate viiruste RNA/DNA paneel liikvoris	Meningiiditekitajate viiruste RNA/DNA liikvoris (paneel)	Paneel		" "			69	EI/Paneel	2751	L-2751																
745	VIR	20			Herpes simplex viiruse 1,2 DNA	HSV-PCR-MUU	EI	2025-05-14	JAH	EI	XXX-HSV1,2 DNA panel	HSV1,2 DNA paneel	Lihtherpeseviiruse 1. ja 2. tüübi DNA (paneel)	Paneel					70	EI/Paneel	2711	L-2711																
2577	VIR	20			HSV1, HSV2, VZV DNA paneel	HSV1_2_VZV_DNA-X-PNL	JAH		JAH	EI	XXX-HSV1, HSV2, VZV DNA panel	HSV1, HSV2, VZV DNA paneel	Lihtherpeseviiruse 1. ja 2. tüübi ja tuulerõugeviiruse DNA (paneel)	Paneel		" "			71	EI/Paneel	4821	L-4821																
