word,n,
nbs,3,
ncdl,3,
nct01370525,3,
nct01370538,3,
ndbo,3,
ndi,3,
necrotic,3,
needless,3,
neighboring,3,
neocate,3,
neopharynx,3,
nepalese,3,
nephrolithiasis,3,
neuroleptic,3,
neurologist,3,
neurotic,3,
neutralizes,3,
newcastle,3,
nfl,3,
ngab,3,
nge,3,
nijmegen,3,
ninefold,3,
nintedanib,3,
niti,3,
nitro,3,
nitroglycerin,3,
nitrosodimethylamine,3,
niv,3,
nl,3,
nlctt,3,
nldo,3,
nlinv,3,
nmds,3,
nodir,3,
nonachalasia,3,
nonachalasic,3,
nonbilious,3,
noncarditis,3,
noncarriers,3,
nonclassic,3,
noncomplicated,3,
noncontact,3,
nondepolarizing,3,
noneradicated,3,
nonesophagitis,3,
nonexistent,3,
nonfeed,3,
nonhhr,3,
nonimmune,3,
noninvasively,3,
nonliquid,3,
nonmalignant,3,
nonneoplastic,3,
nonpatient,3,
nonpropagated,3,
nonrecurrent,3,
nonrelapse,3,
nonresorbable,3,
nonscoliotic,3,
nonstatistically,3,
nonsurfers,3,
nonsurveyed,3,
nonsurvivors,3,
nonsymptomatic,3,
nonsyndromic,3,
nontransplanted,3,
nontrauma,3,
nonvalvular,3,
noonan's,3,
nordasco,3,
normalcy,3,
noticeably,3,
notified,3,
nottingham,3,
nov,3,
nova,3,
novice,3,
novosibirsk,3,
nsnpt,3,
nsnsaids,3,
nssd,3,
nssds,3,
ntx,3,
nucleotides,3,
nudging,3,
numbness,3,
nutramigen,3,
nv,3,
o.p.d,3,
oahi,3,
obfes,3,
obstetrics,3,
obtainable,3,
obtuse,3,
oc1,3,
oc23,3,
occupations,3,
occurence,3,
oesophagomyotomy,3,
oesophagram,3,
oestradiol,3,
officer,3,
officers,3,
ohb,3,
ohm,3,
oip,3,
oligomers,3,
oligosymptomatic,3,
ols,3,
omnicarb,3,
omt,3,
oncogene,3,
one's,3,
ooh,3,
opacities,3,
opaque,3,
openings,3,
operability,3,
ophthalmological,3,
opium,3,
opposing,3,
opsonic,3,
organizing,3,
organoaxial,3,
orient,3,
orifices,3,
originator,3,
oropharyngoesophageal,3,
orq5vs.q1,3,
orthopaedic,3,
oscillation,3,
oss,3,
otohns,3,
outdated,3,
oval,3,
overdose,3,
overprescribing,3,
oximeter,3,
p25,3,
p75,3,
pab,3,
pacemaking,3,
pacifier,3,
packed,3,
pacu,3,
padua,3,
pager,3,
pains,3,
palatability,3,
palatoplasty,3,
palpable,3,
palpated,3,
pancreaticoduodenectomy,3,
pantoprazol,3,
papillotome,3,
papules,3,
paradigms,3,
paraparesis,3,
paraplegics,3,
parietex,3,
particles,3,
particulate,3,
passages,3,
passes,3,
patchy,3,
patented,3,
pathogenetically,3,
pathomechanisms,3,
patiens,3,
patients.the,3,
paul,3,
paull,3,
pbec,3,
pch2,3,
pea,3,
peanut,3,
pedigree,3,
pefs,3,
pellicle,3,
pem,3,
pemds,3,
pentaacetic,3,
pepsins,3,
peptostreptococcus,3,
perceptive,3,
percussive,3,
perennial,3,
performer,3,
perfusate,3,
perfusing,3,
perioral,3,
periostin,3,
peristalses,3,
perk,3,
permission,3,
permutation,3,
peroxynitrite,3,
perpetuate,3,
perpetuating,3,
person's,3,
perturbed,3,
petechiae,3,
pex,3,
pharmacopuncture,3,
pharyngocutaneous,3,
phccs,3,
phenoconversion,3,
phenotyped,3,
phenytoin,3,
phg,3,
phmedian,3,
photo,3,
photograph,3,
phtn,3,
physiopathologic,3,
pictogram,3,
piecemeal,3,
piglet,3,
pinellia,3,
pipf,3,
pixel,3,
pj,3,
plac,3,
placements,3,
plates,3,
player,3,
plenty,3,
pls,3,
pmas,3,
pmk,3,
po1,3,
pod,3,
pods,3,
polo,3,
polyethylene,3,
polymers,3,
polymorphonuclear,3,
polymyositis,3,
polyols,3,
polypectomy,3,
polysomnograms,3,
polytomous,3,
polyurethane,3,
pondok,3,
pools,3,
pork,3,
porto,3,
portoenterostomy,3,
postallogeneic,3,
postatropine,3,
postdiagnosis,3,
posted,3,
poster,3,
posterolateral,3,
postinfusion,3,
postlaryngectomy,3,
postponed,3,
postsleeve,3,
poststimulation,3,
poststudy,3,
postswallow,3,
posttransplantation,3,
posturing,3,
postvagotomy,3,
potatoes,3,
potentiate,3,
potentiates,3,
potently,3,
poverty,3,
powers,3,
pra,3,
practicality,3,
precibal,3,
precipitates,3,
precludes,3,
precluding,3,
precooked,3,
precuneus,3,
prediagnosis,3,
predominately,3,
preexistent,3,
prefrontal,3,
prefundoplication,3,
prehospital,3,
preindex,3,
preinvestigation,3,
preliminarily,3,
prenatally,3,
preprandially,3,
preserves,3,
pressor,3,
presumptively,3,
preterminal,3,
prethickened,3,
preto,3,
pretransplantation,3,
prevalently,3,
prey,3,
pricing,3,
priest,3,
primiparous,3,
printed,3,
prioritization,3,
prioritized,3,
prism,3,
prn,3,
professions,3,
progenitor,3,
progestogen,3,
prognoses,3,
programmes,3,
proinsulin,3,
projectile,3,
projection,3,
proliferating,3,
prometheus,3,
prompts,3,
propagating,3,
propagations,3,
prophylactically,3,
propionic,3,
proposition,3,
prostate,3,
protectant,3,
prp,3,
prv,3,
psc,3,
pshrv,3,
psr,3,
pstat3,3,
pstat5,3,
psychology,3,
psychoticism,3,
pte,3,
pten,3,
ptgs2,3,
pulses,3,
puqe,3,
purchase,3,
purchased,3,
purchasing,3,
purified,3,
pursued,3,
push,3,
pushed,3,
pustule,3,
putting,3,
pvt,3,
pwcf,3,
pyr,3,
pyramid,3,
pyridine,3,
pyrosequencing,3,
p√©cs,3,
q.h.s,3,
qalms,3,
qds,3,
qh,3,
qolars,3,
qpm,3,
quadratic,3,
quasi,3,
querying,3,
questionaire,3,
quicki,3,
quitting,3,
r1,3,
r100,3,
rabbits,3,
rabeprasol,3,
radioisotope,3,
radiotracer,3,
rahs,3,
ramen,3,
ramifications,3,
ranch,3,
rapamycin,3,
rard,3,
rash,3,
rationality,3,
rations,3,
rbs,3,
rdp,3,
rdw,3,
reacted,3,
readout,3,
reagent,3,
reanalysis,3,
reapproximated,3,
recession,3,
recessive,3,
recirculation,3,
reclining,3,
recreating,3,
redone,3,
reds,3,
referent,3,
refining,3,
regrowth,3,
regulations,3,
reherniations,3,
reinke,3,
relaxants,3,
releasing,3,
reminders,3,
remitted,3,
repetitions,3,
reporter,3,
repositioned,3,
repositioning,3,
requesting,3,
rescaled,3,
resembles,3,
reserving,3,
reservoirs,3,
restenosis,3,
restitution,3,
restorations,3,
result:there,3,
resume,3,
resurgence,3,
retains,3,
retentions,3,
retransplant,3,
retrieve,3,
rett,3,
returns,3,
reversely,3,
revisionary,3,
rewarding,3,
rhamnose,3,
rhamnosus,3,
rhd,3,
rhesus,3,
rheumatologists,3,
rhino,3,
rhinology,3,
rhinorrhea,3,
rhinoscopy,3,
risky,3,
rldp,3,
rlsg,3,
rm,3,
rmssd,3,
rocket,3,
rocuronium,3,
rodent,3,
rodnan,3,
roi,3,
roll,3,
rolling,3,
ror,3,
rossetti's,3,
routes,3,
rrm,3,
rrm2,3,
rs2687201,3,
ruminators,3,
rx,3,
ryn,3,
s.e,3,
s2k,3,
s6k1,3,
saccharides,3,
saccharin,3,
sad,3,
safoof,3,
sai,3,
salpingo,3,
sandwich,3,
santa,3,
sarcoma,3,
sasf,3,
saxon,3,
sbt,3,
scaffold,3,
scandinavian,3,
scene,3,
schizophrenic,3,
scientifically,3,
scintigram,3,
sclerosant,3,
scopinaro,3,
scoping,3,
scorable,3,
scotia,3,
scotland,3,
scrutinized,3,
sctc_git,3,
sdai,3,
sealed,3,
seasonality,3,
seats,3,
sebaceous,3,
sedative,3,
sedatives,3,
segd,3,
segregating,3,
segregation,3,
seldinger,3,
semirecumbency,3,
seniors,3,
sensorial,3,
sensorineural,3,
seric,3,
sero,3,
serologically,3,
seromucinous,3,
serostatus,3,
sers,3,
server,3,
sessile,3,
sestamibi,3,
settle,3,
settling,3,
severance,3,
sewing,3,
sf8,3,
sfi,3,
sgrny,3,
sgvs,3,
shaq,3,
shear,3,
sheath,3,
shigella,3,
shimane,3,
shuddering,3,
sialorrhea,3,
sichuan,3,
sig,3,
sigma,3,
sigmoidoscopy,3,
signify,3,
signifying,3,
signiÔ¨Åcantly,3,
sikkimese,3,
silk,3,
simplification,3,
simplify,3,
simpson,3,
simvastatin,3,
singleton,3,
singletons,3,
singular,3,
skepticism,3,
sleeves,3,
sleuth,3,
slf,3,
sligkv,3,
slps,3,
slrnygb,3,
slsbe,3,
smad,3,
smear,3,
smt,3,
snacking,3,
sneezes,3,
sneezing,3,
snf2,3,
sniffing,3,
snr,3,
socially,3,
softer,3,
solubility,3,
somnipathy,3,
sophia,3,
sophisticated,3,
sopran,3,
sort,3,
sounds,3,
sourced,3,
southeastern,3,
southernmost,3,
space1,3,
spacer,3,
spatially,3,
spatio,3,
spc,3,
spectrometer,3,
spectrophotometer,3,
spell,3,
sphere,3,
spiked,3,
spit,3,
splitting,3,
spm,3,
spouses,3,
spreadsheet,3,
sputa,3,
srgb,3,
srpsg,3,
staffing,3,
staples,3,
starvation,3,
stata,3,
steatorrhea,3,
steeply,3,
stemming,3,
stems,3,
stenotic,3,
sternum,3,
sterol,3,
stertor,3,
stews,3,
sticsa,3,
stimulatory,3,
stomachache,3,
stomatobaculum,3,
stood,3,
story,3,
streamline,3,
stretch,3,
strictured,3,
strobovideolaryngoscopic,3,
struggling,3,
subaortic,3,
subcostal,3,
subcutaneously,3,
subglottis,3,
submental,3,
submit,3,
submitting,3,
subphenotype,3,
subsection,3,
substitutes,3,
substituting,3,
substitutions,3,
successes,3,
sucrase,3,
sugary,3,
summation,3,
superarray,3,
supposedly,3,
supracricoid,3,
supraglottis,3,
supraoesophageal,3,
surgisis,3,
surveymonkey,3,
survivor,3,
sustainable,3,
suxamethonium,3,
sve,3,
swab,3,
sweat,3,
swimming,3,
swine,3,
swls,3,
symmetry,3,
symposium,3,
symptom's,3,
symptomology,3,
synbiotic,3,
synetics,3,
synthesize,3,
t12,3,
t15,3,
t30,3,
tablespoon,3,
tabulation,3,
tactics,3,
taipei,3,
talking,3,
taped,3,
tapp,3,
tas,3,
taub,3,
taurodeoxycholic,3,
tbs,3,
tdq,3,
te7,3,
teach,3,
teacher,3,
teae,3,
tearing,3,
teg,3,
telemetric,3,
telephonic,3,
telescoping,3,
telopeptide,3,
template,3,
temuco,3,
tens,3,
teratology,3,
terrorist,3,
tethered,3,
textbooks,3,
tff2,3,
tgd,3,
theorized,3,
thereof,3,
theta,3,
thickenings,3,
thinner,3,
thiocyanate,3,
thirsty,3,
threat,3,
throughs,3,
thymic,3,
thyrohyoid,3,
thyroiditis,3,
tib,3,
tied,3,
timepoint,3,
titers,3,
titrate,3,
tlm,3,
tocopherol,3,
tod,3,
tog,3,
tolerant,3,
tomograms,3,
toothbrush,3,
toothwear,3,
topokki,3,
tops,3,
torsion,3,
torso,3,
tot,3,
totaling,3,
touted,3,
tp53,3,
tpp,3,
tracheobronchomalacia,3,
tracheostomies,3,
tracts,3,
traffic,3,
trafficking,3,
trainer,3,
transaminitis,3,
transcranial,3,
transcriptionally,3,
transcriptomes,3,
transcriptomics,3,
transesophageal,3,
transgenic,3,
transitioning,3,
transits,3,
transmitter,3,
transplantations,3,
trappen,3,
triage,3,
trial's,3,
triamine,3,
triangle,3,
trianglem,3,
triathlon,3,
trichrome,3,
trio,3,
triphosphatase,3,
troubled,3,
troubles,3,
truncation,3,
truven,3,
tsc1,3,
tsh,3,
tsoe,3,
ttp,3,
tty,3,
tuition,3,
tukey,3,
tukey's,3,
tuna,3,
tunisian,3,
tv,3,
twists,3,
tympanic,3,
typed,3,
typify,3,
u1,3,
uas,3,
ubiquitously,3,
ulcerogenic,3,
ulcerous,3,
ulns,3,
ultrasonographical,3,
umbrella,3,
unblinded,3,
unco,3,
unconscious,3,
uncontrollable,3,
uncorrelated,3,
underdiagnosis,3,
underlies,3,
undertreated,3,
underutilized,3,
underway,3,
undesired,3,
undigested,3,
undue,3,
uneasiness,3,
unemployed,3,
unequivocally,3,
uneradicated,3,
uneventfully,3,
unex,3,
unfavourable,3,
unhappy,3,
unilevel,3,
unimportant,3,
uninfluenced,3,
uninformed,3,
unintentional,3,
univariately,3,
universality,3,
unlicensed,3,
unmarried,3,
unnecessarily,3,
unobserved,3,
unrealistic,3,
unrecognised,3,
unreported,3,
unresectable,3,
unscreened,3,
unsuccessfully,3,
unsuspected,3,
untargeted,3,
unwarranted,3,
uo,3,
updates,3,
uphill,3,
uq,3,
ureters,3,
url,3,
usages,3,
vaccination,3,
vaccine,3,
vacterl,3,
vacuolization,3,
vacuum,3,
variances,3,
variate,3,
variously,3,
varix,3,
vascularized,3,
vasculature,3,
vb,3,
vco,3,
vds,3,
vdss,3,
veins,3,
ventilators,3,
vermont,3,
verses,3,
vertebrae,3,
vertically,3,
vgp,3,
vicinity,3,
vicious,3,
vicryl,3,
victims,3,
videoendoscopic,3,
vigorously,3,
violations,3,
virtue,3,
visualisation,3,
visualizing,3,
vlcd,3,
vocalis,3,
voluntarily,3,
vomited,3,
vomits,3,
vomitus,3,
voted,3,
vsclcs,3,
w.ac,3,
waited,3,
waitlist,3,
wanfang,3,
wang,3,
warnings,3,
warrick,3,
warthin,3,
washings,3,
wbc,3,
websites,3,
weekends,3,
weishu,3,
weiss,3,
weisu,3,
welfare,3,
wessel,3,
whereof,3,
widened,3,
widowers,3,
wildtype,3,
wistar,3,
withdraw,3,
woke,3,
wounding,3,
wounds,3,
wrapped,3,
wso,3,
wssg,3,
wus,3,
xanthan,3,
xanthine,3,
xanthines,3,
xi,3,
xinjiang,3,
xt,3,
yahoo,3,
yc,3,
year's,3,
yeas,3,
yeasts,3,
yersinia,3,
yokohama,3,
z1,3,
z3,3,
z4,3,
zeep,3,
zell,3,
zsas,3,
√ü,3,
Œ±1,3,
Œ≤1,3,
Œºl,3,
œÑ,3,
‚Ä?,3,
‚Ä?.003,3,
‚Ä?.02,3,
‚Ä?.9,3,
‚Ä?4,3,
‚Ä?,3,
"‚Ö?,3
19337""","0,002",2
0.00012,2,
0.0034,2,
0.0037,2,
0.0043,2,
0.0047,2,
0.0051,2,
0.0053,2,
0.0057,2,
0.0058,2,
0.0064,2,
0.0065,2,
0.0066,2,
0.0069,2,
0.0071,2,
0.0073,2,
0.0076,2,
0.0083,2,
0.0094,2,
0.0096,2,
0.0098,2,
0.0107,2,
0.0109,2,
0.0124,2,
0.0131,2,
0.0132,2,
0.0151,2,
0.0152,2,
0.0163,2,
0.0178,2,
0.0182,2,
0.0188,2,
0.019,2,
0.0211,2,
0.0212,2,
0.0215,2,
0.0219,2,
0.0228,2,
0.0231,2,
0.0232,2,
0.0233,2,
0.0242,2,
0.029,2,
0.0295,2,
0.0345,2,
0.0378,2,
0.0385,2,
0.0455,2,
0.05906,2,
0.06,2,
0.076,2,
0.08,2,
0.081,2,
0.087,2,
0.091,2,
0.092,2,
0.093,2,
0.096,2,
0.1,2,
0.106,2,
0.108,2,
0.109,2,
0.115,2,
0.117,2,
0.123,2,
0.125,2,
0.135,2,
0.139,2,
0.14,2,
0.141,2,
0.142,2,
0.145,2,
0.156,2,
0.159,2,
0.164,2,
0.171,2,
0.173,2,
0.174,2,
0.177,2,
0.186,2,
0.188,2,
0.191,2,
0.192,2,
0.195,2,
0.196,2,
0.204,2,
0.209,2,
0.211,2,
0.212,2,
0.218,2,
0.221,2,
0.224,2,
0.227,2,
0.231,2,
0.233,2,
0.243,2,
0.246,2,
0.247,2,
0.249,2,
0.25,2,
0.252,2,
0.254,2,
0.255,2,
0.256,2,
0.26,2,
0.263,2,
0.27,2,
0.271,2,
0.272,2,
0.274,2,
0.277,2,
0.278,2,
0.279,2,
0.28,2,
0.281,2,
0.288,2,
0.297,2,
0.305,2,
0.307,2,
0.308,2,
0.312,2,
0.319,2,
0.32,2,
0.321,2,
0.329,2,
0.331,2,
0.333,2,
0.334,2,
0.335,2,
0.342,2,
0.344,2,
0.347,2,
0.348,2,
0.349,2,
0.353,2,
0.356,2,
0.358,2,
0.379,2,
0.38,2,
0.386,2,
0.398,2,
0.404,2,
0.405,2,
0.409,2,
0.412,2,
0.413,2,
0.419,2,
0.42,2,
0.424,2,
0.439,2,
0.44,2,
0.447,2,
0.448,2,
0.452,2,
0.453,2,
0.464,2,
0.467,2,
0.473,2,
0.475,2,
0.478,2,
0.482,2,
0.483,2,
0.486,2,
0.487,2,
0.488,2,
0.494,2,
0.499,2,
0.505,2,
0.506,2,
0.513,2,
0.517,2,
0.519,2,
0.533,2,
0.535,2,
0.539,2,
0.54,2,
0.542,2,
0.543,2,
0.547,2,
0.548,2,
0.552,2,
0.553,2,
0.555,2,
0.557,2,
0.559,2,
0.56,2,
0.561,2,
0.563,2,
0.564,2,
0.565,2,
0.566,2,
0.569,2,
0.573,2,
0.575,2,
0.578,2,
0.582,2,
0.583,2,
0.584,2,
0.585,2,
0.586,2,
0.587,2,
0.588,2,
0.592,2,
0.61,2,
0.616,2,
0.618,2,
0.621,2,
0.631,2,
0.635,2,
0.642,2,
0.646,2,
0.652,2,
0.653,2,
0.654,2,
0.659,2,
0.66,2,
0.664,2,
0.672,2,
0.674,2,
0.677,2,
0.684,2,
0.689,2,
0.703,2,
0.715,2,
0.717,2,
0.723,2,
0.725,2,
0.728,2,
0.733,2,
0.735,2,
0.739,2,
0.741,2,
0.742,2,
0.744,2,
0.749,2,
0.752,2,
0.756,2,
0.757,2,
0.759,2,
0.76,2,
0.764,2,
0.766,2,
0.773,2,
0.775,2,
0.779,2,
0.783,2,
0.786,2,
0.801,2,
0.803,2,
0.815,2,
0.816,2,
0.818,2,
0.819,2,
0.821,2,
0.823,2,
0.831,2,
0.836,2,
0.838,2,
0.839,2,
0.84,2,
0.847,2,
0.852,2,
0.859,2,
0.86,2,
0.863,2,
0.874,2,
0.876,2,
0.882,2,
0.883,2,
0.885,2,
0.889,2,
0.89,2,
0.903,2,
0.907,2,
0.911,2,
0.912,2,
0.934,2,
0.936,2,
0.94,2,
0.942,2,
0.944,2,
0.946,2,
0.95,2,
0.953,2,
0.954,2,
0.956,2,
0.958,2,
0.959,2,
0.962,2,
0.963,2,
0.968,2,
0.969,2,
0.977,2,
0.979,2,
0.982,2,
0.991,2,
0.992,2,
0.993,2,
0.996,2,
1,2,
12,2,
16,2,
17,2,
23,2,
27,2,
49,2,
78,2,
216,2,
3,2,
50,2,
56,2,
59,2,
60,2,
7,2,
72,2,
73,2,
800,2,
0a,2,
0d,2,
"1,001",2,
"1,002",2,
"1,003",2,
"1,044",2,
"1,064",2,
"1,071",2,
"1,082",2,
"1,103",2,
"1,122",2,
"1,140",2,
"1,183",2,
"1,197",2,
"1,207",2,
"1,209",2,
"1,290",2,
"1,35",2,
"1,354",2,
"1,367",2,
"1,384",2,
"1,4",2,
"1,437",2,
"1,462",2,
"1,555",2,
"1,580",2,
"1,582",2,
"1,593",2,
"1,651",2,
"1,725",2,
"1,819",2,
"1,852",2,
"1,878",2,
"1,945",2,
"1,959",2,
1.001,2,
1.002,2,
1.005,2,
1.006,2,
1.012,2,
1.02,2,
1.025,2,
1.029,2,
1.031,2,
1.035,2,
1.04,2,
1.043,2,
1.056,2,
1.057,2,
1.06,2,
1.062,2,
1.063,2,
1.065,2,
1.067,2,
1.069,2,
1.087,2,
1.088,2,
1.093,2,
1.094,2,
1.111,2,
1.118,2,
1.124,2,
1.125,2,
1.127,2,
1.148,2,
1.163,2,
1.176,2,
1.182,2,
1.183,2,
1.204,2,
1.206,2,
1.207,2,
1.215,2,
1.222,2,
1.245,2,
1.254,2,
1.281,2,
1.291,2,
1.306,2,
1.325,2,
1.342,2,
1.343,2,
1.349,2,
1.398,2,
1.406,2,
1.427,2,
1.439,2,
1.461,2,
1.495,2,
1.499,2,
1.508,2,
1.544,2,
1.562,2,
1.57,2,
1.613,2,
1.656,2,
1.721,2,
1.75,2,
1.766,2,
1.786,2,
1.811,2,
1.828,2,
1.88,2,
1.98,2,
"10,028",2,
"10,102",2,
"10,537",2,
"10,545",2,
"10,623",2,
"10,644",2,
"10,815",2,
"10,837",2,
10.06,2,
10.07,2,
10.15,2,
10.16,2,
10.18,2,
10.19,2,
10.25,2,
10.51,2,
10.53,2,
10.56,2,
10.69,2,
10.72,2,
10.8,2,
10.83,2,
10.85,2,
10.89,2,
10.93,2,
10.97,2,
100,2,
100.6,2,
100.7,2,
100.8,2,
1002,2,
1003,2,
1007,2,
1009,2,
"100‚Ä?,2
19793""",101.3,2
1014,2,
1018,2,
102.2,2,
102.6,2,
103.7,2,
1030,2,
1031,2,
1034,2,
104.2,2,
104.3,2,
1040,2,
1041,2,
1043,2,
1044,2,
1046,2,
1048,2,
105.5,2,
105.8,2,
1050,2,
1054,2,
106.2,2,
106.7,2,
106.9,2,
1061,2,
1063,2,
1064,2,
107,2,
107.6,2,
1070,2,
1072,2,
1077,2,
108.3,2,
1080,2,
1081,2,
1083,2,
1089,2,
109.5,2,
1090,2,
1095,2,
"11,653",2,
"11,685",2,
"11,691",2,
11.02,2,
11.07,2,
11.23,2,
11.28,2,
11.34,2,
11.3min,2,
11.47,2,
11.58,2,
11.67,2,
11.68,2,
11.71,2,
11.74,2,
11.75,2,
11.82,2,
11.87,2,
11.9,2,
11.91,2,
11.96,2,
1100,2,
1105,2,
1107,2,
1108,2,
1109,2,
111.2,2,
1114,2,
1116,2,
111in,2,
112.6,2,
114.2,2,
1142,2,
1148,2,
1152,2,
"116,502",2,
116.1,2,
1163,2,
1164,2,
1169,2,
117.5,2,
117.9,2,
1172,2,
1173,2,
118.3,2,
118.7,2,
118.9,2,
119,2,
119.3,2,
119.8,2,
1192,2,
1198,2,
11h,2,
11q,2,
11years,2,
"12,653",2,
"12,655",2,
12.1,2,
12.13,2,
12.16,2,
12.17,2,
12.18,2,
12.19,2,
12.24,2,
12.32,2,
12.35,2,
12.42,2,
12.43,2,
12.45,2,
12.53,2,
12.55,2,
12.56,2,
12.57,2,
12.73,2,
12.88,2,
12.89,2,
12.91,2,
12.94,2,
12.98,2,
120.1,2,
1201,2,
1203,2,
1205,2,
120min,2,
121,2,
121.2,2,
1212,2,
1217,2,
1220,2,
1232,2,
1238,2,
1239,2,
1242,2,
1244,2,
1245,2,
1258,2,
126.5,2,
1260,2,
1265,2,
1272,2,
1278,2,
128.8,2,
1280,2,
1287,2,
1288,2,
1289,2,
1292,2,
1297,2,
12p70,2,
"13,416",2,
"13,6",2,
"13,8",2,
13,2,
13.01,2,
13.1,2,
13.11,2,
13.12,2,
13.23,2,
13.29,2,
13.33,2,
13.38,2,
13.64,2,
13.71,2,
13.85,2,
13.87,2,
13.95,2,
130.2,2,
1300,2,
1301,2,
1307,2,
131,2,
1312,2,
1318,2,
"132,140",2,
1336,2,
1337,2,
134.3,2,
1340,2,
1345,2,
1348,2,
1360,2,
1361,2,
1363,2,
1368,2,
137.2,2,
137.3,2,
1376,2,
1378,2,
1389,2,
1399,2,
13co2,2,
13‚Ä?05,2,
"14,102",2,
14.02,2,
14.05,2,
14.17,2,
14.24,2,
14.28,2,
14.36,2,
14.42,2,
14.75,2,
1409,2,
1410,2,
1414,2,
1415,2,
1422,2,
142285,2,
1435,2,
1439,2,
145.3,2,
145.4,2,
1451,2,
147.2,2,
1472,2,
148.5,2,
1480,2,
1487,2,
1490,2,
1496,2,
"15,715",2,
15.09,2,
15.18,2,
15.21,2,
15.22,2,
15.33,2,
15.38,2,
15.42,2,
15.55,2,
15.63,2,
15.67,2,
15.75,2,
15.8,2,
15.86,2,
15.94,2,
1518,2,
152.5,2,
1524,2,
1533,2,
1535,2,
1560,2,
1570,2,
1589,2,
1592,2,
1598,2,
15qd,2,
16.03,2,
16.04,2,
16.11,2,
16.25,2,
16.27,2,
16.32,2,
16.51,2,
16.96,2,
1600,2,
1603,2,
160983,2,
1640,2,
1650,2,
1658,2,
1671,2,
1677,2,
1683,2,
1698,2,
16f,2,
17.07,2,
17.09,2,
17.12,2,
17.19,2,
17.22,2,
17.24,2,
17.25,2,
17.28,2,
17.31,2,
17.32,2,
17.38,2,
17.44,2,
17.46,2,
17.59,2,
17.65,2,
17.68,2,
17.75,2,
17.95,2,
17.97,2,
1725,2,
1738,2,
1741,2,
1749,2,
1751,2,
1753,2,
1770,2,
1775,2,
1777,2,
1779,2,
17p,2,
17years,2,
"18,412",2,
18.07,2,
18.26,2,
18.36,2,
18.54,2,
18.63,2,
18.69,2,
18.91,2,
18.96,2,
1807,2,
1809,2,
181.5,2,
1832,2,
1840,2,
1851,2,
1859,2,
186.9,2,
1862,2,
1885,2,
1887,2,
1888,2,
18f,2,
18th,2,
18‚ÄØyears,2,
19,2,
19.03,2,
19.05,2,
19.22,2,
19.47,2,
19.5,2,
19.53,2,
19.54,2,
19.61,2,
19.87,2,
19.98,2,
1900,2,
1916,2,
1920,2,
1921,2,
193.81,2,
1930,2,
1946,2,
1947,2,
1948,2,
1950,2,
1961,2,
1e,2,
1g,2,
1mg,2,
1stpp,2,
1y,2,
1‚ÄØyear,2,
"2,000",2,
"2,002",2,
"2,034",2,
"2,118",2,
"2,187",2,
"2,202",2,
"2,204",2,
"2,220",2,
"2,225",2,
"2,306",2,
"2,368",2,
"2,515",2,
"2,540",2,
"2,547",2,
"2,561",2,
"2,588",2,
"2,874.10",2,
"2,936",2,
2.021,2,
2.059,2,
2.114,2,
2.249,2,
2.263,2,
2.317,2,
2.381,2,
2.433,2,
2.438,2,
2.499,2,
2.592,2,
2.655,2,
2.767,2,
20.18,2,
20.25,2,
20.27,2,
20.32,2,
20.33,2,
20.35,2,
20.4,2,
20.69,2,
20.73,2,
20.95,2,
2016;51,2,
2017;52,2,
2044,2,
206.3,2,
2061,2,
207.5,2,
2094,2,
20‚ÄØmg,2,
"21,486",2,
"21,610",2,
"21,674",2,
21.07,2,
21.16,2,
21.32,2,
21.43,2,
21.59,2,
21.6,2,
21.71,2,
21.74,2,
2116,2,
2140,2,
2162,2,
2170,2,
2178,2,
2186,2,
22.04,2,
22.09,2,
22.4,2,
22.68,2,
22.76,2,
22.8,2,
221.7,2,
"229,140",2,
"23,489",2,
23.0.0,2,
23.01,2,
23.1,2,
23.11,2,
23.22,2,
23.34,2,
23.36,2,
23.72,2,
23.79,2,
23.93,2,
23.99,2,
2303,2,
2310,2,
2313,2,
"233,004",2,
2340,2,
2367,2,
2368,2,
2375,2,
23andme,2,
24.16,2,
24.24,2,
24.73,2,
24.83,2,
24.92,2,
2406,2,
2412,2,
2413,2,
2416,2,
2417,2,
2425,2,
2448,2,
248.8,2,
2486,2,
2495,2,
24ph,2,
"25,000",2,
25,2,
25.2,2,
25.92,2,
2520,2,
2542,2,
2572,2,
2575,2,
2579,2,
"26,460",2,
26.25,2,
26.41,2,
26.47,2,
26.83,2,
2604,2,
2608,2,
2635,2,
"264,280",2,
2640,2,
2641,2,
2643,2,
2655,2,
2680,2,
2684,2,
27.14,2,
27.27,2,
27.88,2,
2700,2,
2731,2,
2752,2,
28,2,
28.08,2,
2817,2,
2844,2,
2854,2,
2876,2,
2879,2,
2886,2,
"29,404",2,
29,2,
29.11,2,
29.14,2,
29.17,2,
29.25,2,
29.75,2,
29.99,2,
2900,2,
2922,2,
2950,2,
2973,2,
298.5,2,
29d,2,
2g,2,
2h,2,
2mo,2,
2r,2,
2x,2,
"2‚Ä?,2
20309""","3,5",2
"3,500",2,
"3,505",2,
"3,655",2,
"3,788",2,
3.09,2,
3.0‚ÄØg,2,
3.213,2,
3.72,2,
3.739,2,
3.93,2,
30,2,
30.16,2,
30.43,2,
30.48,2,
30.61,2,
30.75,2,
30.76,2,
30.85,2,
30.95,2,
300,2,
3027,2,
3040,2,
3043,2,
3050,2,
3065,2,
30mm,2,
30n,2,
31.08,2,
31.67,2,
